county,precinct,office,district,party,candidate,votes,absentee_by_mail,election_day,advance_in_person_1,advance_in_person_2,provisional
Cobb,East Piedmont 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,261,13,223,16,9,0
Cobb,Fair Oaks 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,357,28,211,117,1,0
Cobb,Fair Oaks 04,Secretary Of State,,REP,BRAD RAFFENSPERGER,261,28,162,71,0,0
Cobb,Fullers Park 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,592,52,421,12,104,3
Cobb,Ford 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,610,29,441,122,17,1
Cobb,Frey 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,484,47,321,38,78,0
Cobb,Garrison Mill 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,522,36,418,14,54,0
Cobb,Gritters 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,687,46,567,43,27,4
Cobb,Harmony-Leland 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,204,27,129,19,29,0
Cobb,Harrison 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,635,52,385,180,18,0
Cobb,Hightower 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,773,82,543,7,141,0
Cobb,Hayes 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,753,64,484,77,127,1
Cobb,Kennesaw 1A,Secretary Of State,,REP,BRAD RAFFENSPERGER,232,9,183,11,28,1
Cobb,Kennesaw 2A,Secretary Of State,,REP,BRAD RAFFENSPERGER,467,42,326,25,73,1
Cobb,Kennesaw 3A,Secretary Of State,,REP,BRAD RAFFENSPERGER,403,49,269,57,25,3
Cobb,Kennesaw 4A,Secretary Of State,,REP,BRAD RAFFENSPERGER,422,35,301,18,68,0
Cobb,Kennesaw 5A,Secretary Of State,,REP,BRAD RAFFENSPERGER,562,19,468,2,73,0
Cobb,Kell 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,350,26,300,11,12,1
Cobb,Kemp 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,446,22,282,140,1,1
Cobb,Kemp 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,676,51,436,186,3,0
Cobb,Kemp 03,Secretary Of State,,REP,BRAD RAFFENSPERGER,848,56,522,260,10,0
Cobb,Lassiter 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,683,40,575,25,42,1
Cobb,Lindley 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,219,22,163,16,17,1
Cobb,Lost Mountain 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,687,40,337,305,5,0
Cobb,Lost Mountain 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,794,76,504,190,24,0
Cobb,Lost Mountain 03,Secretary Of State,,REP,BRAD RAFFENSPERGER,964,58,464,439,3,0
Cobb,Lost Mountain 04,Secretary Of State,,REP,BRAD RAFFENSPERGER,517,41,345,104,27,0
Cobb,Mableton 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,358,62,228,62,6,0
Cobb,Mableton 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,178,19,126,17,16,0
Cobb,Mableton 03,Secretary Of State,,REP,BRAD RAFFENSPERGER,398,37,303,49,9,0
Cobb,Mableton 04,Secretary Of State,,REP,BRAD RAFFENSPERGER,251,20,193,30,7,1
Cobb,Mabry 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,344,23,293,4,24,0
Cobb,Macland 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,271,16,183,72,0,0
Cobb,Murdock 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,795,50,622,10,113,0
Cobb,McEachern 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,430,33,301,96,0,0
Cobb,McCleskey 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,335,11,298,8,18,0
Cobb,McClure 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,572,41,403,14,113,1
Cobb,Marietta 1A,Secretary Of State,,REP,BRAD RAFFENSPERGER,179,20,123,32,4,0
Cobb,Marietta 2A,Secretary Of State,,REP,BRAD RAFFENSPERGER,434,26,274,134,0,0
Cobb,Marietta 2B,Secretary Of State,,REP,BRAD RAFFENSPERGER,508,31,321,151,4,1
Cobb,Marietta 3A,Secretary Of State,,REP,BRAD RAFFENSPERGER,633,57,397,176,2,1
Cobb,Marietta 4A,Secretary Of State,,REP,BRAD RAFFENSPERGER,505,28,343,134,0,0
Cobb,Marietta 4B,Secretary Of State,,REP,BRAD RAFFENSPERGER,254,34,162,56,2,0
Cobb,Marietta 4C,Secretary Of State,,REP,BRAD RAFFENSPERGER,559,37,331,187,4,0
Cobb,Marietta 5A,Secretary Of State,,REP,BRAD RAFFENSPERGER,179,11,122,42,3,1
Cobb,Marietta 5B,Secretary Of State,,REP,BRAD RAFFENSPERGER,63,3,45,13,1,1
Cobb,Marietta 6A,Secretary Of State,,REP,BRAD RAFFENSPERGER,87,7,59,14,7,0
Cobb,Marietta 6B,Secretary Of State,,REP,BRAD RAFFENSPERGER,408,23,322,31,32,0
Cobb,Marietta 7A,Secretary Of State,,REP,BRAD RAFFENSPERGER,84,14,55,11,4,0
Cobb,Mars Hill 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,612,57,442,23,90,0
Cobb,Mars Hill 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,365,25,259,11,70,0
Cobb,Mount Bethel 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,792,42,562,3,184,1
Cobb,Mount Bethel 03,Secretary Of State,,REP,BRAD RAFFENSPERGER,547,38,315,0,194,0
Cobb,Mount Bethel 04,Secretary Of State,,REP,BRAD RAFFENSPERGER,607,61,362,0,183,1
Cobb,North Cobb 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,311,33,210,5,63,0
Cobb,Nickajack 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,136,9,108,13,6,0
Cobb,Norton Park 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,463,50,328,83,1,1
Cobb,Nicholson 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,394,24,344,17,9,0
Cobb,Oakdale 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,348,32,264,49,3,0
Cobb,Oregon 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,336,14,224,98,0,0
Cobb,Oregon 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,342,33,202,102,5,0
Cobb,Oregon 03,Secretary Of State,,REP,BRAD RAFFENSPERGER,233,27,132,70,1,3
Cobb,Oregon 04,Secretary Of State,,REP,BRAD RAFFENSPERGER,328,40,206,81,0,1
Cobb,Oregon 05,Secretary Of State,,REP,BRAD RAFFENSPERGER,469,22,353,90,4,0
Cobb,Pebblebrook 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,190,21,134,7,28,0
Cobb,Powers Ferry 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,449,30,327,28,64,0
Cobb,Pine Mountain 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,659,60,462,107,27,3
Cobb,Pine Mountain 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,789,51,562,169,7,0
Cobb,Post Oak 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,748,31,671,8,38,0
Cobb,Pope 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,546,46,404,8,88,0
Cobb,Palmer 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,390,35,318,9,28,0
Cobb,Powder Springs 1A,Secretary Of State,,REP,BRAD RAFFENSPERGER,333,23,240,70,0,0
Cobb,Powder Springs 2A,Secretary Of State,,REP,BRAD RAFFENSPERGER,137,7,93,35,2,0
Cobb,Powder Springs 3A,Secretary Of State,,REP,BRAD RAFFENSPERGER,280,36,203,41,0,0
Cobb,Pitner 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,360,23,307,10,20,0
Cobb,Rocky Mount 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,600,19,546,7,26,2
Cobb,Riverside 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,31,4,21,0,6,0
Cobb,Roswell 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,969,64,718,7,180,0
Cobb,Roswell 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,672,27,546,3,96,0
Cobb,Sandy Plains 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,449,37,365,7,40,0
Cobb,Shallowford Falls 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,628,35,506,7,80,0
Cobb,Simpson 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,286,22,233,5,24,2
Cobb,Sewell Mill 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,562,42,432,5,83,0
Cobb,Sewell Mill 03,Secretary Of State,,REP,BRAD RAFFENSPERGER,539,50,424,12,53,0
Cobb,Smyrna 1A,Secretary Of State,,REP,BRAD RAFFENSPERGER,143,18,111,12,2,0
Cobb,Smyrna 2A,Secretary Of State,,REP,BRAD RAFFENSPERGER,231,24,178,24,5,0
Cobb,Smyrna 3A,Secretary Of State,,REP,BRAD RAFFENSPERGER,449,34,351,60,4,0
Cobb,Smyrna 4A,Secretary Of State,,REP,BRAD RAFFENSPERGER,700,91,477,124,7,1
Cobb,Smyrna 5A,Secretary Of State,,REP,BRAD RAFFENSPERGER,268,40,185,41,1,1
Cobb,Smyrna 6A,Secretary Of State,,REP,BRAD RAFFENSPERGER,643,76,503,60,4,0
Cobb,Smyrna 7A,Secretary Of State,,REP,BRAD RAFFENSPERGER,378,35,284,38,21,0
Cobb,Sope Creek 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,498,43,322,2,131,0
Cobb,Sope Creek 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,659,56,453,16,134,0
Cobb,Sope Creek 03,Secretary Of State,,REP,BRAD RAFFENSPERGER,527,39,379,4,103,2
Cobb,Sweetwater 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,343,22,256,64,1,0
Cobb,Sweetwater 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,139,29,86,21,1,2
Cobb,Terrell Mill 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,379,21,276,4,78,0
Cobb,Timber Ridge 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,426,27,311,0,88,0
Cobb,Vaughan 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,666,27,460,174,4,1
Cobb,Vinings 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,219,14,187,14,4,0
Cobb,Vinings 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,399,42,301,38,18,0
Cobb,Vinings 03,Secretary Of State,,REP,BRAD RAFFENSPERGER,330,42,243,34,9,2
Cobb,Vinings 04,Secretary Of State,,REP,BRAD RAFFENSPERGER,599,62,516,13,8,0
Cobb,Wade Green 02,Secretary Of State,,REP,BRAD RAFFENSPERGER,505,29,397,13,66,0
Cobb,Willeo 01,Secretary Of State,,REP,BRAD RAFFENSPERGER,523,44,419,4,56,0
Cobb,Acworth 1A,Secretary Of State,,DEM,JOHN BARROW,482,32,266,16,168,0
Cobb,Acworth 1B,Secretary Of State,,DEM,JOHN BARROW,359,32,212,10,101,4
Cobb,Acworth 1C,Secretary Of State,,DEM,JOHN BARROW,439,30,302,4,103,0
Cobb,Addison 01,Secretary Of State,,DEM,JOHN BARROW,348,30,277,19,22,0
Cobb,Austell 1A,Secretary Of State,,DEM,JOHN BARROW,684,28,573,35,40,8
Cobb,Bells Ferry 02,Secretary Of State,,DEM,JOHN BARROW,325,13,275,22,15,0
Cobb,Bells Ferry 03,Secretary Of State,,DEM,JOHN BARROW,544,42,452,28,21,1
Cobb,Big Shanty 01,Secretary Of State,,DEM,JOHN BARROW,184,10,144,10,20,0
Cobb,Big Shanty 02,Secretary Of State,,DEM,JOHN BARROW,347,21,277,14,34,1
Cobb,Baker 01,Secretary Of State,,DEM,JOHN BARROW,462,21,345,7,89,0
Cobb,Birney 01,Secretary Of State,,DEM,JOHN BARROW,294,25,202,62,4,1
Cobb,Birney 02,Secretary Of State,,DEM,JOHN BARROW,620,31,449,105,31,4
Cobb,Bryant 01,Secretary Of State,,DEM,JOHN BARROW,468,18,305,9,135,1
Cobb,Bryant 02,Secretary Of State,,DEM,JOHN BARROW,675,41,472,10,152,0
Cobb,Blackwell 01,Secretary Of State,,DEM,JOHN BARROW,353,17,298,26,12,0
Cobb,Chattahoochee 01,Secretary Of State,,DEM,JOHN BARROW,594,23,464,35,69,3
Cobb,Cheatham Hill 02,Secretary Of State,,DEM,JOHN BARROW,291,13,195,83,0,0
Cobb,Cheatham Hill 03,Secretary Of State,,DEM,JOHN BARROW,525,24,345,153,3,0
Cobb,Chalker 01,Secretary Of State,,DEM,JOHN BARROW,386,29,280,46,31,0
Cobb,Clarkdale 01,Secretary Of State,,DEM,JOHN BARROW,204,12,158,22,12,0
Cobb,Clarkdale 02,Secretary Of State,,DEM,JOHN BARROW,789,30,662,63,33,1
Cobb,Cooper 01,Secretary Of State,,DEM,JOHN BARROW,619,38,470,73,37,1
Cobb,Chestnut Ridge 01,Secretary Of State,,DEM,JOHN BARROW,412,28,302,4,78,0
Cobb,Dickerson 01,Secretary Of State,,DEM,JOHN BARROW,368,29,251,5,83,0
Cobb,Dobbins 01,Secretary Of State,,DEM,JOHN BARROW,423,18,332,40,30,3
Cobb,Dowell 01,Secretary Of State,,DEM,JOHN BARROW,407,14,273,119,1,0
Cobb,Dodgen 01,Secretary Of State,,DEM,JOHN BARROW,285,13,216,1,55,0
Cobb,Durham 01,Secretary Of State,,DEM,JOHN BARROW,274,15,203,26,29,1
Cobb,Davis 01,Secretary Of State,,DEM,JOHN BARROW,242,12,208,9,12,1
Cobb,Eastside 01,Secretary Of State,,DEM,JOHN BARROW,453,39,290,2,121,1
Cobb,Eastside 02,Secretary Of State,,DEM,JOHN BARROW,585,41,423,8,113,0
Cobb,Elizabeth 01,Secretary Of State,,DEM,JOHN BARROW,275,13,217,37,8,0
Cobb,Elizabeth 02,Secretary Of State,,DEM,JOHN BARROW,276,17,216,23,20,0
Cobb,Elizabeth 03,Secretary Of State,,DEM,JOHN BARROW,340,32,234,38,36,0
Cobb,Elizabeth 04,Secretary Of State,,DEM,JOHN BARROW,400,32,301,29,38,0
Cobb,Elizabeth 05,Secretary Of State,,DEM,JOHN BARROW,401,31,315,7,48,0
Cobb,East Piedmont 01,Secretary Of State,,DEM,JOHN BARROW,262,12,219,26,5,0
Cobb,Fair Oaks 02,Secretary Of State,,DEM,JOHN BARROW,673,32,443,193,4,1
Cobb,Fair Oaks 04,Secretary Of State,,DEM,JOHN BARROW,348,37,261,45,2,3
Cobb,Fullers Park 01,Secretary Of State,,DEM,JOHN BARROW,412,14,298,8,91,1
Cobb,Ford 01,Secretary Of State,,DEM,JOHN BARROW,222,7,176,35,4,0
Cobb,Frey 01,Secretary Of State,,DEM,JOHN BARROW,201,10,128,9,54,0
Cobb,Garrison Mill 01,Secretary Of State,,DEM,JOHN BARROW,400,24,320,11,45,0
Cobb,Gritters 01,Secretary Of State,,DEM,JOHN BARROW,428,22,355,27,24,0
Cobb,Harmony-Leland 01,Secretary Of State,,DEM,JOHN BARROW,1114,55,816,30,210,3
Cobb,Harrison 01,Secretary Of State,,DEM,JOHN BARROW,216,8,146,55,7,0
Cobb,Hightower 01,Secretary Of State,,DEM,JOHN BARROW,506,51,363,6,85,1
Cobb,Hayes 01,Secretary Of State,,DEM,JOHN BARROW,339,16,259,29,35,0
Cobb,Kennesaw 1A,Secretary Of State,,DEM,JOHN BARROW,170,17,137,2,14,0
Cobb,Kennesaw 2A,Secretary Of State,,DEM,JOHN BARROW,319,14,247,23,34,1
Cobb,Kennesaw 3A,Secretary Of State,,DEM,JOHN BARROW,531,43,384,64,37,3
Cobb,Kennesaw 4A,Secretary Of State,,DEM,JOHN BARROW,332,25,256,10,41,0
Cobb,Kennesaw 5A,Secretary Of State,,DEM,JOHN BARROW,663,36,536,12,79,0
Cobb,Kell 01,Secretary Of State,,DEM,JOHN BARROW,205,13,167,8,17,0
Cobb,Kemp 01,Secretary Of State,,DEM,JOHN BARROW,174,6,122,45,1,0
Cobb,Kemp 02,Secretary Of State,,DEM,JOHN BARROW,419,33,263,117,6,0
Cobb,Kemp 03,Secretary Of State,,DEM,JOHN BARROW,298,15,183,96,2,2
Cobb,Lassiter 01,Secretary Of State,,DEM,JOHN BARROW,379,16,334,14,14,1
Cobb,Lindley 01,Secretary Of State,,DEM,JOHN BARROW,956,42,734,49,130,1
Cobb,Lost Mountain 01,Secretary Of State,,DEM,JOHN BARROW,369,26,197,143,2,1
Cobb,Lost Mountain 02,Secretary Of State,,DEM,JOHN BARROW,290,12,204,65,8,1
Cobb,Lost Mountain 03,Secretary Of State,,DEM,JOHN BARROW,475,17,278,177,3,0
Cobb,Lost Mountain 04,Secretary Of State,,DEM,JOHN BARROW,240,13,163,40,24,0
Cobb,Mableton 01,Secretary Of State,,DEM,JOHN BARROW,747,29,573,79,65,1
Cobb,Mableton 02,Secretary Of State,,DEM,JOHN BARROW,331,17,259,17,37,1
Cobb,Mableton 03,Secretary Of State,,DEM,JOHN BARROW,380,22,319,15,24,0
Cobb,Mableton 04,Secretary Of State,,DEM,JOHN BARROW,230,13,178,17,21,1
Cobb,Mabry 01,Secretary Of State,,DEM,JOHN BARROW,169,12,147,2,8,0
Cobb,Macland 01,Secretary Of State,,DEM,JOHN BARROW,593,38,420,132,1,2
Cobb,Murdock 01,Secretary Of State,,DEM,JOHN BARROW,495,34,389,3,69,0
Cobb,McEachern 01,Secretary Of State,,DEM,JOHN BARROW,501,15,381,99,5,1
Cobb,McCleskey 01,Secretary Of State,,DEM,JOHN BARROW,201,10,171,10,9,1
Cobb,McClure 01,Secretary Of State,,DEM,JOHN BARROW,276,15,201,13,47,0
Cobb,Marietta 1A,Secretary Of State,,DEM,JOHN BARROW,357,30,249,60,16,2
Cobb,Marietta 2A,Secretary Of State,,DEM,JOHN BARROW,260,17,184,57,2,0
Cobb,Marietta 2B,Secretary Of State,,DEM,JOHN BARROW,528,30,330,164,1,3
Cobb,Marietta 3A,Secretary Of State,,DEM,JOHN BARROW,779,66,478,227,3,5
Cobb,Marietta 4A,Secretary Of State,,DEM,JOHN BARROW,222,15,165,41,1,0
Cobb,Marietta 4B,Secretary Of State,,DEM,JOHN BARROW,270,31,201,38,0,0
Cobb,Marietta 4C,Secretary Of State,,DEM,JOHN BARROW,301,20,196,85,0,0
Cobb,Marietta 5A,Secretary Of State,,DEM,JOHN BARROW,354,35,258,55,6,0
Cobb,Marietta 5B,Secretary Of State,,DEM,JOHN BARROW,223,17,167,30,6,3
Cobb,Marietta 6A,Secretary Of State,,DEM,JOHN BARROW,230,25,163,24,17,1
Cobb,Marietta 6B,Secretary Of State,,DEM,JOHN BARROW,429,22,350,31,26,0
Cobb,Marietta 7A,Secretary Of State,,DEM,JOHN BARROW,279,24,195,41,16,3
Cobb,Mars Hill 01,Secretary Of State,,DEM,JOHN BARROW,186,19,131,8,27,1
Cobb,Mars Hill 02,Secretary Of State,,DEM,JOHN BARROW,243,15,165,5,56,2
Cobb,Mount Bethel 01,Secretary Of State,,DEM,JOHN BARROW,506,47,307,0,152,0
Cobb,Mount Bethel 03,Secretary Of State,,DEM,JOHN BARROW,391,33,228,0,130,0
Cobb,Mount Bethel 04,Secretary Of State,,DEM,JOHN BARROW,428,37,281,3,107,0
Cobb,North Cobb 01,Secretary Of State,,DEM,JOHN BARROW,236,10,171,3,51,1
Cobb,Nickajack 01,Secretary Of State,,DEM,JOHN BARROW,652,26,536,51,37,2
Cobb,Norton Park 01,Secretary Of State,,DEM,JOHN BARROW,490,32,391,59,7,1
Cobb,Nicholson 01,Secretary Of State,,DEM,JOHN BARROW,247,10,217,14,6,0
Cobb,Oakdale 01,Secretary Of State,,DEM,JOHN BARROW,557,35,441,61,20,0
Cobb,Oregon 01,Secretary Of State,,DEM,JOHN BARROW,171,4,128,38,1,0
Cobb,Oregon 02,Secretary Of State,,DEM,JOHN BARROW,808,51,517,232,7,1
Cobb,Oregon 03,Secretary Of State,,DEM,JOHN BARROW,497,42,311,138,4,2
Cobb,Oregon 04,Secretary Of State,,DEM,JOHN BARROW,712,53,466,188,4,1
Cobb,Oregon 05,Secretary Of State,,DEM,JOHN BARROW,533,30,366,132,3,2
Cobb,Pebblebrook 01,Secretary Of State,,DEM,JOHN BARROW,777,45,557,19,156,0
Cobb,Powers Ferry 01,Secretary Of State,,DEM,JOHN BARROW,382,29,282,13,57,1
Cobb,Pine Mountain 01,Secretary Of State,,DEM,JOHN BARROW,265,13,200,36,16,0
Cobb,Pine Mountain 02,Secretary Of State,,DEM,JOHN BARROW,234,14,189,27,4,0
Cobb,Post Oak 01,Secretary Of State,,DEM,JOHN BARROW,400,27,337,7,29,0
Cobb,Pope 01,Secretary Of State,,DEM,JOHN BARROW,383,22,304,7,49,1
Cobb,Palmer 01,Secretary Of State,,DEM,JOHN BARROW,266,13,230,13,10,0
Cobb,Powder Springs 1A,Secretary Of State,,DEM,JOHN BARROW,681,43,503,117,15,3
Cobb,Powder Springs 2A,Secretary Of State,,DEM,JOHN BARROW,496,35,365,87,6,3
Cobb,Powder Springs 3A,Secretary Of State,,DEM,JOHN BARROW,528,19,431,69,5,4
Cobb,Pitner 01,Secretary Of State,,DEM,JOHN BARROW,279,15,222,14,28,0
Cobb,Rocky Mount 01,Secretary Of State,,DEM,JOHN BARROW,399,17,358,2,22,0
Cobb,Riverside 01,Secretary Of State,,DEM,JOHN BARROW,254,11,193,7,41,2
Cobb,Roswell 01,Secretary Of State,,DEM,JOHN BARROW,730,42,531,8,147,2
Cobb,Roswell 02,Secretary Of State,,DEM,JOHN BARROW,450,29,328,7,85,1
Cobb,Sandy Plains 01,Secretary Of State,,DEM,JOHN BARROW,368,24,298,13,33,0
Cobb,Shallowford Falls 01,Secretary Of State,,DEM,JOHN BARROW,427,20,338,8,61,0
Cobb,Simpson 01,Secretary Of State,,DEM,JOHN BARROW,224,11,189,3,20,1
Cobb,Sewell Mill 01,Secretary Of State,,DEM,JOHN BARROW,428,30,339,9,50,0
Cobb,Sewell Mill 03,Secretary Of State,,DEM,JOHN BARROW,490,22,395,24,47,2
Cobb,Smyrna 1A,Secretary Of State,,DEM,JOHN BARROW,497,26,425,35,11,0
Cobb,Smyrna 2A,Secretary Of State,,DEM,JOHN BARROW,758,30,646,63,18,1
Cobb,Smyrna 3A,Secretary Of State,,DEM,JOHN BARROW,891,29,726,119,15,2
Cobb,Smyrna 4A,Secretary Of State,,DEM,JOHN BARROW,923,73,728,88,33,1
Cobb,Smyrna 5A,Secretary Of State,,DEM,JOHN BARROW,538,25,436,73,2,2
Cobb,Smyrna 6A,Secretary Of State,,DEM,JOHN BARROW,919,58,764,79,18,0
Cobb,Smyrna 7A,Secretary Of State,,DEM,JOHN BARROW,1154,70,834,123,124,3
Cobb,Sope Creek 01,Secretary Of State,,DEM,JOHN BARROW,329,22,215,1,91,0
Cobb,Sope Creek 02,Secretary Of State,,DEM,JOHN BARROW,562,34,391,12,124,1
Cobb,Sope Creek 03,Secretary Of State,,DEM,JOHN BARROW,334,25,256,1,50,2
Cobb,Sweetwater 01,Secretary Of State,,DEM,JOHN BARROW,401,23,319,50,7,2
Cobb,Sweetwater 02,Secretary Of State,,DEM,JOHN BARROW,309,41,226,32,9,1
Cobb,Terrell Mill 01,Secretary Of State,,DEM,JOHN BARROW,617,32,446,22,114,3
Cobb,Timber Ridge 01,Secretary Of State,,DEM,JOHN BARROW,318,32,207,1,78,0
Cobb,Vaughan 01,Secretary Of State,,DEM,JOHN BARROW,239,7,175,55,2,0
Cobb,Vinings 01,Secretary Of State,,DEM,JOHN BARROW,396,32,328,20,16,0
Cobb,Vinings 02,Secretary Of State,,DEM,JOHN BARROW,744,64,606,43,30,1
