county,precinct,office,district,party,candidate,votes,absentee_by_mail,advance_in_person,election_day,provisional
Toombs,513 V.P.D.,State School Superintendent,,DEM,"OTHA E. THORNTON, JR",871,152,364,355,0
Toombs,514 S.T.I.A.L.C,State School Superintendent,,DEM,"OTHA E. THORNTON, JR",680,129,269,281,1
Toombs,15361 Lyons,Commissioner Of Labor,,(REP,MARK BUTLER,1364,59,879,425,1
Toombs,39 New Branch,Commissioner Of Labor,,(REP,MARK BUTLER,761,34,372,355,0
Toombs,43 Cedar Crossing,Commissioner Of Labor,,(REP,MARK BUTLER,752,21,334,396,1
Toombs,513 V.P.D.,Commissioner Of Labor,,(REP,MARK BUTLER,2311,137,1445,728,1
Toombs,514 S.T.I.A.L.C,Commissioner Of Labor,,(REP,MARK BUTLER,1288,65,815,406,2
Toombs,15361 Lyons,Commissioner Of Labor,,DEM,RICHARD KEATLEY,437,46,194,195,2
Toombs,39 New Branch,Commissioner Of Labor,,DEM,RICHARD KEATLEY,75,16,28,30,1
Toombs,43 Cedar Crossing,Commissioner Of Labor,,DEM,RICHARD KEATLEY,54,2,20,32,0
Toombs,513 V.P.D.,Commissioner Of Labor,,DEM,RICHARD KEATLEY,882,148,369,365,0
Toombs,514 S.T.I.A.L.C,Commissioner Of Labor,,DEM,RICHARD KEATLEY,687,127,270,289,1
Toombs,15361 Lyons,"Public Service Commission, District 3",3,(REP,CHUCK EATON,1317,57,857,402,1
Toombs,39 New Branch,"Public Service Commission, District 3",3,(REP,CHUCK EATON,746,33,370,343,0
Toombs,43 Cedar Crossing,"Public Service Commission, District 3",3,(REP,CHUCK EATON,732,19,329,383,1
Toombs,513 V.P.D.,"Public Service Commission, District 3",3,(REP,CHUCK EATON,2258,138,1413,706,1
Toombs,514 S.T.I.A.L.C,"Public Service Commission, District 3",3,(REP,CHUCK EATON,1250,60,791,397,2
Toombs,15361 Lyons,"Public Service Commission, District 3",3,DEM,LINDY MILLER,435,46,192,195,2
Toombs,39 New Branch,"Public Service Commission, District 3",3,DEM,LINDY MILLER,77,15,30,31,1
Toombs,43 Cedar Crossing,"Public Service Commission, District 3",3,DEM,LINDY MILLER,58,4,19,35,0
Toombs,513 V.P.D.,"Public Service Commission, District 3",3,DEM,LINDY MILLER,872,149,367,356,0
Toombs,514 S.T.I.A.L.C,"Public Service Commission, District 3",3,DEM,LINDY MILLER,690,129,277,283,1
Toombs,15361 Lyons,"Public Service Commission, District 3",3,LIB,RYAN GRAHAM,45,2,22,21,0
Toombs,39 New Branch,"Public Service Commission, District 3",3,LIB,RYAN GRAHAM,18,2,4,12,0
Toombs,43 Cedar Crossing,"Public Service Commission, District 3",3,LIB,RYAN GRAHAM,11,0,3,8,0
Toombs,513 V.P.D.,"Public Service Commission, District 3",3,LIB,RYAN GRAHAM,55,2,28,25,0
Toombs,514 S.T.I.A.L.C,"Public Service Commission, District 3",3,LIB,RYAN GRAHAM,30,4,13,13,0
Toombs,15361 Lyons,"Public Service Commission, District 5",5,(REP,TRICIA PRIDEMORE,1327,60,856,410,1
Toombs,39 New Branch,"Public Service Commission, District 5",5,(REP,TRICIA PRIDEMORE,745,32,368,345,0
Toombs,43 Cedar Crossing,"Public Service Commission, District 5",5,(REP,TRICIA PRIDEMORE,732,20,326,385,1
Toombs,513 V.P.D.,"Public Service Commission, District 5",5,(REP,TRICIA PRIDEMORE,2262,138,1414,709,1
Toombs,514 S.T.I.A.L.C,"Public Service Commission, District 5",5,(REP,TRICIA PRIDEMORE,1258,61,795,400,2
Toombs,15361 Lyons,"Public Service Commission, District 5",5,DEM,DAWN A. RANDOLPH,432,43,194,193,2
Toombs,39 New Branch,"Public Service Commission, District 5",5,DEM,DAWN A. RANDOLPH,78,17,29,31,1
Toombs,43 Cedar Crossing,"Public Service Commission, District 5",5,DEM,DAWN A. RANDOLPH,67,4,25,38,0
Toombs,513 V.P.D.,"Public Service Commission, District 5",5,DEM,DAWN A. RANDOLPH,883,148,381,354,0
Toombs,514 S.T.I.A.L.C,"Public Service Commission, District 5",5,DEM,DAWN A. RANDOLPH,693,133,276,283,1
Toombs,15361 Lyons,"Public Service Commission, District 5",5,LIB,JOHN TURPISH,39,1,24,14,0
Toombs,39 New Branch,"Public Service Commission, District 5",5,LIB,JOHN TURPISH,21,2,7,12,0
Toombs,43 Cedar Crossing,"Public Service Commission, District 5",5,LIB,JOHN TURPISH,9,0,3,6,0
Toombs,513 V.P.D.,"Public Service Commission, District 5",5,LIB,JOHN TURPISH,55,3,27,25,0
Toombs,514 S.T.I.A.L.C,"Public Service Commission, District 5",5,LIB,JOHN TURPISH,26,1,13,12,0
Toombs,15361 Lyons,U.S. Representative,12,(REP,RICK W. ALLEN,1375,59,896,418,2
Toombs,39 New Branch,U.S. Representative,12,(REP,RICK W. ALLEN,774,35,378,361,0
Toombs,43 Cedar Crossing,U.S. Representative,12,(REP,RICK W. ALLEN,771,21,341,408,1
Toombs,513 V.P.D.,U.S. Representative,12,(REP,RICK W. ALLEN,2351,144,1469,737,1
Toombs,514 S.T.I.A.L.C,U.S. Representative,12,(REP,RICK W. ALLEN,1309,66,827,414,2
Toombs,15361 Lyons,U.S. Representative,12,DEM,FRANCYS JOHNSON,451,46,196,208,1
Toombs,39 New Branch,U.S. Representative,12,DEM,FRANCYS JOHNSON,79,16,30,32,1
Toombs,43 Cedar Crossing,U.S. Representative,12,DEM,FRANCYS JOHNSON,49,2,18,29,0
Toombs,513 V.P.D.,U.S. Representative,12,DEM,FRANCYS JOHNSON,889,150,372,367,0
Toombs,514 S.T.I.A.L.C,U.S. Representative,12,DEM,FRANCYS JOHNSON,689,132,270,286,1
Toombs,15361 Lyons,State Senator,19,(REP,BLAKE TILLERY,1548,75,954,517,2
Toombs,39 New Branch,State Senator,19,(REP,BLAKE TILLERY,778,34,372,371,1
Toombs,43 Cedar Crossing,State Senator,19,(REP,BLAKE TILLERY,756,21,332,402,1
Toombs,513 V.P.D.,State Senator,19,(REP,BLAKE TILLERY,2672,167,1592,912,1
Toombs,514 S.T.I.A.L.C,State Senator,19,(REP,BLAKE TILLERY,1555,85,923,544,3
Toombs,15361 Lyons,State Representative,156,(REP,GREG MORRIS,1539,74,945,518,2
Toombs,39 New Branch,State Representative,156,(REP,GREG MORRIS,778,36,366,375,1
Toombs,43 Cedar Crossing,State Representative,156,(REP,GREG MORRIS,744,19,324,400,1
Toombs,513 V.P.D.,State Representative,156,(REP,GREG MORRIS,2597,164,1535,897,1
Toombs,514 S.T.I.A.L.C,State Representative,156,(REP,GREG MORRIS,1528,88,897,540,3
Toombs,15361 Lyons,CC,D1,D,A. CASON,420,35,197,188,0
Toombs,513 V.P.D.,CC,D1,D,A. CASON,143,38,32,73,0
Toombs,514 S.T.I.A.L.C,CC,D1,D,A. CASON,654,122,285,246,1
Toombs,15361 Lyons,CC,D4,R,T. A. ROLLINS,139,13,90,36,0
Toombs,39 New Branch,CC,D4,R,T. A. ROLLINS,473,29,252,191,1
Toombs,43 Cedar Crossing,CC,D4,R,T. A. ROLLINS,750,21,329,400,0
Toombs,513 V.P.D.,CC,D4,R,T. A. ROLLINS,814,34,522,258,0
Toombs,15361 Lyons,Soil and Water,,,"M. D. MOSLEY, III",1483,82,898,500,3
Toombs,39 New Branch,Soil and Water,,,"M. D. MOSLEY, III",712,40,342,329,1
Toombs,43 Cedar Crossing,Soil and Water,,,"M. D. MOSLEY, III",693,20,307,365,1
Toombs,513 V.P.D.,Soil and Water,,,"M. D. MOSLEY, III",2478,173,1447,857,1
Toombs,514 S.T.I.A.L.C,Soil and Water,,,"M. D. MOSLEY, III",1473,95,855,521,2
Toombs,15361 Lyons,Constitutional Amendment #1<br>Creates the Georgia Outdoor Stewardship Trust Fund to protect water quality,wildlife habitat,,YES,1322,82,746,491,3
Toombs,39 New Branch,Constitutional Amendment #1<br>Creates the Georgia Outdoor Stewardship Trust Fund to protect water quality,wildlife habitat,,YES,589,39,277,272,1
Toombs,43 Cedar Crossing,Constitutional Amendment #1<br>Creates the Georgia Outdoor Stewardship Trust Fund to protect water quality,wildlife habitat,,YES,543,19,237,286,1
Toombs,513 V.P.D.,Constitutional Amendment #1<br>Creates the Georgia Outdoor Stewardship Trust Fund to protect water quality,wildlife habitat,,YES,2340,216,1280,843,1
Toombs,514 S.T.I.A.L.C,Constitutional Amendment #1<br>Creates the Georgia Outdoor Stewardship Trust Fund to protect water quality,wildlife habitat,,YES,1500,145,809,543,3
Toombs,15361 Lyons,Constitutional Amendment #1<br>Creates the Georgia Outdoor Stewardship Trust Fund to protect water quality,wildlife habitat,,NO,455,17,314,124,0
Toombs,39 New Branch,Constitutional Amendment #1<br>Creates the Georgia Outdoor Stewardship Trust Fund to protect water quality,wildlife habitat,,NO,234,12,112,110,0
Toombs,43 Cedar Crossing,Constitutional Amendment #1<br>Creates the Georgia Outdoor Stewardship Trust Fund to protect water quality,wildlife habitat,,NO,239,4,110,125,0
Toombs,513 V.P.D.,Constitutional Amendment #1<br>Creates the Georgia Outdoor Stewardship Trust Fund to protect water quality,wildlife habitat,,NO,769,47,483,239,0
Toombs,514 S.T.I.A.L.C,Constitutional Amendment #1<br>Creates the Georgia Outdoor Stewardship Trust Fund to protect water quality,wildlife habitat,,NO,418,27,264,127,0
Toombs,15361 Lyons,Constitutional Amendment #2 <br>Creates a state-wide business court to lower costs,enhance efficiency,,YES,1150,72,648,427,3
Toombs,39 New Branch,Constitutional Amendment #2 <br>Creates a state-wide business court to lower costs,enhance efficiency,,YES,478,30,227,220,1
Toombs,43 Cedar Crossing,Constitutional Amendment #2 <br>Creates a state-wide business court to lower costs,enhance efficiency,,YES,427,15,192,219,1
Toombs,513 V.P.D.,Constitutional Amendment #2 <br>Creates a state-wide business court to lower costs,enhance efficiency,,YES,1921,161,1055,704,1
Toombs,514 S.T.I.A.L.C,Constitutional Amendment #2 <br>Creates a state-wide business court to lower costs,enhance efficiency,,YES,1270,125,688,455,2
Toombs,15361 Lyons,Constitutional Amendment #2 <br>Creates a state-wide business court to lower costs,enhance efficiency,,NO,588,25,388,175,0
Toombs,39 New Branch,Constitutional Amendment #2 <br>Creates a state-wide business court to lower costs,enhance efficiency,,NO,311,19,148,144,0
Toombs,43 Cedar Crossing,Constitutional Amendment #2 <br>Creates a state-wide business court to lower costs,enhance efficiency,,NO,326,4,144,178,0
Toombs,513 V.P.D.,Constitutional Amendment #2 <br>Creates a state-wide business court to lower costs,enhance efficiency,,NO,1118,93,668,357,0
Toombs,514 S.T.I.A.L.C,Constitutional Amendment #2 <br>Creates a state-wide business court to lower costs,enhance efficiency,,NO,584,41,346,196,1
Toombs,15361 Lyons,Constitutional Amendment #3 <br>Encourages the conservation,sustainability,,YES,920,61,522,335,2
Toombs,39 New Branch,Constitutional Amendment #3 <br>Encourages the conservation,sustainability,,YES,393,23,172,197,1
Toombs,43 Cedar Crossing,Constitutional Amendment #3 <br>Encourages the conservation,sustainability,,YES,378,13,152,212,1
Toombs,513 V.P.D.,Constitutional Amendment #3 <br>Encourages the conservation,sustainability,,YES,1655,130,914,610,1
Toombs,514 S.T.I.A.L.C,Constitutional Amendment #3 <br>Encourages the conservation,sustainability,,YES,1044,97,571,374,2
Toombs,15361 Lyons,Constitutional Amendment #3 <br>Encourages the conservation,sustainability,,NO,772,33,484,254,1
Toombs,39 New Branch,Constitutional Amendment #3 <br>Encourages the conservation,sustainability,,NO,377,23,193,161,0
Toombs,43 Cedar Crossing,Constitutional Amendment #3 <br>Encourages the conservation,sustainability,,NO,362,8,177,177,0
Toombs,513 V.P.D.,Constitutional Amendment #3 <br>Encourages the conservation,sustainability,,NO,1317,114,783,420,0
Toombs,514 S.T.I.A.L.C,Constitutional Amendment #3 <br>Encourages the conservation,sustainability,,NO,791,60,458,272,1
Toombs,15361 Lyons,Constitutional Amendment #4 <br>Provides rights for victims of crime in the judicial process.,,,YES,1282,78,738,464,2
Toombs,39 New Branch,Constitutional Amendment #4 <br>Provides rights for victims of crime in the judicial process.,,,YES,539,37,251,250,1
Toombs,43 Cedar Crossing,Constitutional Amendment #4 <br>Provides rights for victims of crime in the judicial process.,,,YES,520,16,219,285,0
Toombs,513 V.P.D.,Constitutional Amendment #4 <br>Provides rights for victims of crime in the judicial process.,,,YES,2206,182,1211,812,1
Toombs,514 S.T.I.A.L.C,Constitutional Amendment #4 <br>Provides rights for victims of crime in the judicial process.,,,YES,1363,130,730,500,3
Toombs,15361 Lyons,Constitutional Amendment #4 <br>Provides rights for victims of crime in the judicial process.,,,NO,479,22,309,147,1
Toombs,39 New Branch,Constitutional Amendment #4 <br>Provides rights for victims of crime in the judicial process.,,,NO,261,11,127,123,0
Toombs,43 Cedar Crossing,Constitutional Amendment #4 <br>Provides rights for victims of crime in the judicial process.,,,NO,261,6,126,128,1
Toombs,513 V.P.D.,Constitutional Amendment #4 <br>Provides rights for victims of crime in the judicial process.,,,NO,881,73,550,258,0
Toombs,514 S.T.I.A.L.C,Constitutional Amendment #4 <br>Provides rights for victims of crime in the judicial process.,,,NO,539,42,328,169,0
Toombs,15361 Lyons,Constitutional Amendment #5 <br>Authorizes fair allocation of sales tax proceeds to county and city school districts.,,,YES,1088,67,604,414,3
Toombs,39 New Branch,Constitutional Amendment #5 <br>Authorizes fair allocation of sales tax proceeds to county and city school districts.,,,YES,460,25,209,225,1
Toombs,43 Cedar Crossing,Constitutional Amendment #5 <br>Authorizes fair allocation of sales tax proceeds to county and city school districts.,,,YES,425,11,180,233,1
Toombs,513 V.P.D.,Constitutional Amendment #5 <br>Authorizes fair allocation of sales tax proceeds to county and city school districts.,,,YES,1882,148,1032,701,1
Toombs,514 S.T.I.A.L.C,Constitutional Amendment #5 <br>Authorizes fair allocation of sales tax proceeds to county and city school districts.,,,YES,1227,111,654,460,2
Toombs,15361 Lyons,Constitutional Amendment #5 <br>Authorizes fair allocation of sales tax proceeds to county and city school districts.,,,NO,625,31,415,179,0
Toombs,39 New Branch,Constitutional Amendment #5 <br>Authorizes fair allocation of sales tax proceeds to county and city school districts.,,,NO,330,23,165,142,0
Toombs,43 Cedar Crossing,Constitutional Amendment #5 <br>Authorizes fair allocation of sales tax proceeds to county and city school districts.,,,NO,325,8,154,163,0
Toombs,513 V.P.D.,Constitutional Amendment #5 <br>Authorizes fair allocation of sales tax proceeds to county and city school districts.,,,NO,1122,94,681,347,0
Toombs,514 S.T.I.A.L.C,Constitutional Amendment #5 <br>Authorizes fair allocation of sales tax proceeds to county and city school districts.,,,NO,633,52,383,197,1
Toombs,15361 Lyons,Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations.,,,YES,860,48,479,332,1
Toombs,39 New Branch,Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations.,,,YES,369,17,171,181,0
Toombs,43 Cedar Crossing,Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations.,,,YES,345,5,144,196,0
Toombs,513 V.P.D.,Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations.,,,YES,1512,109,833,569,1
Toombs,514 S.T.I.A.L.C,Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations.,,,YES,932,83,505,342,2
Toombs,15361 Lyons,Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations.,,,NO,821,47,517,255,2
Toombs,39 New Branch,Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations.,,,NO,401,29,193,178,1
Toombs,43 Cedar Crossing,Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations.,,,NO,399,16,186,197,0
Toombs,513 V.P.D.,Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations.,,,NO,1428,129,845,454,0
Toombs,514 S.T.I.A.L.C,Statewide Referendum A <br>Provides for a homestead exemption for residents of certain municipal corporations.,,,NO,887,79,502,305,1
Toombs,15361 Lyons,Statewide Referendum B <br>Provides a tax exemption for certain homes for the mentally disabled.,,,YES,1189,73,665,448,3
Toombs,39 New Branch,Statewide Referendum B <br>Provides a tax exemption for certain homes for the mentally disabled.,,,YES,509,32,236,240,1
Toombs,43 Cedar Crossing,Statewide Referendum B <br>Provides a tax exemption for certain homes for the mentally disabled.,,,YES,485,10,198,276,1
Toombs,513 V.P.D.,Statewide Referendum B <br>Provides a tax exemption for certain homes for the mentally disabled.,,,YES,2051,165,1162,723,1
Toombs,514 S.T.I.A.L.C,Statewide Referendum B <br>Provides a tax exemption for certain homes for the mentally disabled.,,,YES,1278,111,689,476,2
Toombs,15361 Lyons,Statewide Referendum B <br>Provides a tax exemption for certain homes for the mentally disabled.,,,NO,529,26,351,152,0
Toombs,39 New Branch,Statewide Referendum B <br>Provides a tax exemption for certain homes for the mentally disabled.,,,NO,280,18,140,122,0
Toombs,43 Cedar Crossing,Statewide Referendum B <br>Provides a tax exemption for certain homes for the mentally disabled.,,,NO,266,13,137,116,0
Toombs,513 V.P.D.,Statewide Referendum B <br>Provides a tax exemption for certain homes for the mentally disabled.,,,NO,979,85,573,321,0
Toombs,514 S.T.I.A.L.C,Statewide Referendum B <br>Provides a tax exemption for certain homes for the mentally disabled.,,,NO,567,57,335,174,1
Toombs,15361 Lyons,SP,,,YES,889,47,494,346,2
Toombs,39 New Branch,SP,,,YES,396,27,179,190,0
Toombs,43 Cedar Crossing,SP,,,YES,390,10,169,210,1
Toombs,513 V.P.D.,SP,,,YES,1313,137,678,497,1
Toombs,514 S.T.I.A.L.C,SP,,,YES,644,81,299,262,2
Toombs,15361 Lyons,SP,,,NO,904,54,575,274,1
Toombs,39 New Branch,SP,,,NO,434,23,217,193,1
Toombs,43 Cedar Crossing,SP,,,NO,408,14,185,209,0
Toombs,513 V.P.D.,SP,,,NO,932,92,544,296,0
Toombs,514 S.T.I.A.L.C,SP,,,NO,453,60,244,149,0
