county,precinct,office,district,party,candidate,votes,absentee_by_mail,provisional,election_day,advance_in_person_2,advance_in_person
Gwinnett,BAYCREEK D,Governor,,REP,BRIAN KEMP,1289,60,6,650,552,21
Gwinnett,BERKSHIRE J,Governor,,REP,BRIAN KEMP,964,49,2,472,32,409
Gwinnett,CATES M,Governor,,REP,BRIAN KEMP,1425,80,4,749,524,68
Gwinnett,CATES N,Governor,,REP,BRIAN KEMP,1013,69,2,516,415,11
Gwinnett,DULUTH F,Governor,,REP,BRIAN KEMP,485,52,4,254,85,90
Gwinnett,DULUTH G,Governor,,REP,BRIAN KEMP,935,59,4,516,202,154
Gwinnett,GOODWINS E,Governor,,REP,BRIAN KEMP,1291,70,3,769,406,43
Gwinnett,GOODWINS F,Governor,,REP,BRIAN KEMP,709,52,4,380,251,22
Gwinnett,PINCKNEYVILLE T,Governor,,REP,BRIAN KEMP,568,67,3,338,16,144
Gwinnett,SUWANEE B,Governor,,REP,BRIAN KEMP,1301,46,3,462,785,5
Gwinnett,PINCKNEYVILLE U,Governor,,REP,BRIAN KEMP,461,27,1,344,14,75
Gwinnett,PUCKETTS B,Governor,,REP,BRIAN KEMP,1144,44,8,514,43,535
Gwinnett,BERKSHIRE L,Governor,,REP,BRIAN KEMP,374,30,2,223,44,75
Gwinnett,ROCKBRIDGE F,Governor,,REP,BRIAN KEMP,603,48,3,175,371,6
Gwinnett,SUGAR HILL F,Governor,,REP,BRIAN KEMP,1222,47,6,725,397,47
Gwinnett,SUWANEE C,Governor,,REP,BRIAN KEMP,1427,80,19,656,626,46
Gwinnett,CATES O,Governor,,REP,BRIAN KEMP,442,22,0,271,57,92
Gwinnett,BAYCREEK E,Governor,,REP,BRIAN KEMP,736,41,1,447,236,11
Gwinnett,BERKSHIRE M,Governor,,REP,BRIAN KEMP,587,27,1,314,23,222
Gwinnett,MARTINS G,Governor,,REP,BRIAN KEMP,289,27,2,179,77,4
Gwinnett,DULUTH H,Governor,,REP,BRIAN KEMP,722,86,4,326,57,249
Gwinnett,BERKSHIRE N,Governor,,REP,BRIAN KEMP,1117,68,3,359,31,656
Gwinnett,PINCKNEYVILLE V,Governor,,REP,BRIAN KEMP,283,19,7,151,5,101
Gwinnett,PINCKNEYVILLE W,Governor,,REP,BRIAN KEMP,836,53,5,506,17,255
Gwinnett,MARTINS H,Governor,,REP,BRIAN KEMP,760,72,2,409,229,48
Gwinnett,MARTINS I,Governor,,REP,BRIAN KEMP,389,47,1,231,54,56
Gwinnett,MARTINS J,Governor,,REP,BRIAN KEMP,293,19,0,183,54,37
Gwinnett,GARNERS F,Governor,,REP,BRIAN KEMP,489,19,2,227,3,238
Gwinnett,BERKSHIRE O,Governor,,REP,BRIAN KEMP,904,61,4,484,76,279
Gwinnett,BERKSHIRE P,Governor,,REP,BRIAN KEMP,242,18,2,146,21,55
Gwinnett,PINCKNEYVILLE X,Governor,,REP,BRIAN KEMP,978,84,2,552,29,311
Gwinnett,ROCKBRIDGE G,Governor,,REP,BRIAN KEMP,580,40,2,229,272,37
Gwinnett,PINCKNEYVILLE Y,Governor,,REP,BRIAN KEMP,227,10,3,131,18,65
Gwinnett,GOODWINS G,Governor,,REP,BRIAN KEMP,349,16,2,218,99,14
Gwinnett,PINCKNEYVILLE Z,Governor,,REP,BRIAN KEMP,824,44,2,573,22,183
Gwinnett,PINCKNEYVILLE A1,Governor,,REP,BRIAN KEMP,1106,87,4,740,23,252
Gwinnett,LAWRENCEVILLE J,Governor,,REP,BRIAN KEMP,365,18,1,245,90,11
Gwinnett,GOODWINS H,Governor,,REP,BRIAN KEMP,705,45,2,421,215,22
Gwinnett,DUNCANS B,Governor,,REP,BRIAN KEMP,2071,86,4,1116,59,806
Gwinnett,SUWANEE D,Governor,,REP,BRIAN KEMP,1760,78,8,905,727,42
Gwinnett,SUWANEE E,Governor,,REP,BRIAN KEMP,1539,89,13,665,752,20
Gwinnett,LAWRENCEVILLE K,Governor,,REP,BRIAN KEMP,884,50,1,517,219,97
Gwinnett,HARBINS B,Governor,,REP,BRIAN KEMP,1521,40,2,560,59,860
Gwinnett,BAYCREEK F,Governor,,REP,BRIAN KEMP,862,57,1,469,319,16
Gwinnett,PUCKETTS C,Governor,,REP,BRIAN KEMP,1050,55,9,523,31,432
Gwinnett,HOG MOUNTAIN C,Governor,,REP,BRIAN KEMP,1238,42,5,712,121,358
Gwinnett,ROCKYCREEK B,Governor,,REP,BRIAN KEMP,1573,50,2,757,111,653
Gwinnett,DULUTH I,Governor,,REP,BRIAN KEMP,1408,138,4,662,389,215
Gwinnett,MARTINS K,Governor,,REP,BRIAN KEMP,512,52,4,309,120,27
Gwinnett,SUWANEE H,Governor,,REP,BRIAN KEMP,1607,95,17,694,775,26
Gwinnett,SUGAR HILL G,Governor,,REP,BRIAN KEMP,1096,43,12,616,359,66
Gwinnett,SUWANEE F,Governor,,REP,BRIAN KEMP,1088,47,6,592,418,25
Gwinnett,LAWRENCEVILLE L,Governor,,REP,BRIAN KEMP,1038,81,4,531,403,19
Gwinnett,LAWRENCEVILLE M,Governor,,REP,BRIAN KEMP,612,37,5,327,188,55
Gwinnett,BAYCREEK G,Governor,,REP,BRIAN KEMP,1126,61,2,643,402,18
Gwinnett,BAYCREEK H,Governor,,REP,BRIAN KEMP,1800,87,2,950,707,54
Gwinnett,BAYCREEK I,Governor,,REP,BRIAN KEMP,1131,67,4,525,515,20
Gwinnett,BERKSHIRE Q,Governor,,REP,BRIAN KEMP,540,32,3,293,18,194
Gwinnett,GOODWINS I,Governor,,REP,BRIAN KEMP,786,57,2,484,224,19
Gwinnett,DULUTH K,Governor,,REP,BRIAN KEMP,190,12,2,103,4,69
Gwinnett,HARBINS C,Governor,,REP,BRIAN KEMP,994,39,3,670,120,162
Gwinnett,ROCKYCREEK C,Governor,,REP,BRIAN KEMP,1563,60,4,722,79,698
Gwinnett,LAWRENCEVILLE N,Governor,,REP,BRIAN KEMP,513,39,4,278,188,4
Gwinnett,PUCKETTS D,Governor,,REP,BRIAN KEMP,1284,77,10,552,53,592
Gwinnett,SUWANEE G,Governor,,REP,BRIAN KEMP,985,46,5,583,318,33
Gwinnett,BAYCREEK J,Governor,,REP,BRIAN KEMP,831,45,2,444,326,14
Gwinnett,HARBINS A,Governor,,DEM,STACEY ABRAMS,1842,121,13,724,496,488
Gwinnett,ROCKBRIDGE A,Governor,,DEM,STACEY ABRAMS,1805,104,50,670,893,88
Gwinnett,DACULA,Governor,,DEM,STACEY ABRAMS,1532,102,5,637,176,612
Gwinnett,SUWANEE A,Governor,,DEM,STACEY ABRAMS,456,18,5,186,222,25
Gwinnett,BAYCREEK A,Governor,,DEM,STACEY ABRAMS,783,50,11,333,371,18
Gwinnett,GOODWINS A,Governor,,DEM,STACEY ABRAMS,1248,75,13,671,411,78
Gwinnett,DULUTH A,Governor,,DEM,STACEY ABRAMS,1637,139,6,697,288,507
Gwinnett,DUNCANS A,Governor,,DEM,STACEY ABRAMS,921,59,6,396,74,386
Gwinnett,PUCKETTS A,Governor,,DEM,STACEY ABRAMS,1009,73,2,370,22,542
Gwinnett,CATES A,Governor,,DEM,STACEY ABRAMS,565,64,2,228,264,7
Gwinnett,BERKSHIRE A,Governor,,DEM,STACEY ABRAMS,798,69,10,428,32,259
Gwinnett,BERKSHIRE B,Governor,,DEM,STACEY ABRAMS,2011,125,23,712,58,1093
Gwinnett,DUNCANS C,Governor,,DEM,STACEY ABRAMS,578,38,2,257,37,244
Gwinnett,GARNERS A,Governor,,DEM,STACEY ABRAMS,986,66,5,399,66,450
Gwinnett,LAWRENCEVILLE A,Governor,,DEM,STACEY ABRAMS,899,69,4,416,400,10
Gwinnett,LAWRENCEVILLE B,Governor,,DEM,STACEY ABRAMS,1878,126,10,658,1049,35
Gwinnett,MARTINS A,Governor,,DEM,STACEY ABRAMS,1214,79,10,649,263,213
Gwinnett,MARTINS B,Governor,,DEM,STACEY ABRAMS,1036,63,17,562,314,80
Gwinnett,MARTINS C,Governor,,DEM,STACEY ABRAMS,828,44,9,498,155,122
Gwinnett,PINCKNEYVILLE A,Governor,,DEM,STACEY ABRAMS,1046,72,12,566,51,345
Gwinnett,PINCKNEYVILLE B,Governor,,DEM,STACEY ABRAMS,1129,88,30,522,25,464
Gwinnett,PINCKNEYVILLE C,Governor,,DEM,STACEY ABRAMS,632,68,4,359,21,180
Gwinnett,PINCKNEYVILLE D,Governor,,DEM,STACEY ABRAMS,743,46,13,423,34,227
Gwinnett,SUGAR HILL A,Governor,,DEM,STACEY ABRAMS,927,79,9,416,110,313
Gwinnett,SUGAR HILL B,Governor,,DEM,STACEY ABRAMS,1205,79,5,632,278,211
Gwinnett,HOG MOUNTAIN A,Governor,,DEM,STACEY ABRAMS,1504,107,15,756,389,237
Gwinnett,HOG MOUNTAIN B,Governor,,DEM,STACEY ABRAMS,1175,83,6,557,188,341
Gwinnett,ROCKYCREEK A,Governor,,DEM,STACEY ABRAMS,1406,67,3,626,116,594
Gwinnett,CATES B,Governor,,DEM,STACEY ABRAMS,380,26,0,187,92,75
Gwinnett,CATES C,Governor,,DEM,STACEY ABRAMS,1060,52,7,461,523,17
Gwinnett,HOG MOUNTAIN D,Governor,,DEM,STACEY ABRAMS,758,71,6,379,172,130
Gwinnett,BERKSHIRE D,Governor,,DEM,STACEY ABRAMS,908,74,6,388,46,394
Gwinnett,BERKSHIRE E,Governor,,DEM,STACEY ABRAMS,600,47,1,259,15,278
Gwinnett,BERKSHIRE F,Governor,,DEM,STACEY ABRAMS,686,44,10,391,49,192
Gwinnett,CATES D,Governor,,DEM,STACEY ABRAMS,835,58,4,397,281,95
Gwinnett,035 Cates D - 04,Governor,,DEM,STACEY ABRAMS,207,22,1,90,43,51
Gwinnett,CATES E,Governor,,DEM,STACEY ABRAMS,956,69,8,453,163,263
Gwinnett,PINCKNEYVILLE E,Governor,,DEM,STACEY ABRAMS,835,43,11,547,16,218
Gwinnett,PINCKNEYVILLE F,Governor,,DEM,STACEY ABRAMS,808,63,4,474,29,238
Gwinnett,DUNCANS D,Governor,,DEM,STACEY ABRAMS,1231,97,6,594,70,464
Gwinnett,PINCKNEYVILLE H,Governor,,DEM,STACEY ABRAMS,1526,157,7,712,49,601
Gwinnett,BAYCREEK B,Governor,,DEM,STACEY ABRAMS,2341,167,22,1067,1045,40
Gwinnett,LAWRENCEVILLE C,Governor,,DEM,STACEY ABRAMS,697,51,1,347,176,122
Gwinnett,MARTINS D,Governor,,DEM,STACEY ABRAMS,835,56,12,502,81,184
Gwinnett,ROCKBRIDGE B,Governor,,DEM,STACEY ABRAMS,1673,83,13,733,751,93
Gwinnett,GARNERS B,Governor,,DEM,STACEY ABRAMS,1260,68,5,470,272,445
Gwinnett,CATES F,Governor,,DEM,STACEY ABRAMS,431,33,3,229,139,27
Gwinnett,CATES G,Governor,,DEM,STACEY ABRAMS,712,57,2,323,292,38
Gwinnett,DULUTH B,Governor,,DEM,STACEY ABRAMS,924,97,6,412,48,361
Gwinnett,GARNERS C,Governor,,DEM,STACEY ABRAMS,629,40,4,257,36,292
Gwinnett,PINCKNEYVILLE I,Governor,,DEM,STACEY ABRAMS,963,58,16,505,55,329
Gwinnett,PINCKNEYVILLE J,Governor,,DEM,STACEY ABRAMS,935,51,27,464,32,361
Gwinnett,BERKSHIRE G,Governor,,DEM,STACEY ABRAMS,739,41,2,300,18,378
Gwinnett,CATES H,Governor,,DEM,STACEY ABRAMS,1453,78,13,705,623,34
Gwinnett,SUGAR HILL C,Governor,,DEM,STACEY ABRAMS,1064,78,13,535,259,179
Gwinnett,SUGAR HILL D,Governor,,DEM,STACEY ABRAMS,995,65,13,494,48,375
Gwinnett,DULUTH C,Governor,,DEM,STACEY ABRAMS,731,48,3,350,50,280
Gwinnett,DULUTH D,Governor,,DEM,STACEY ABRAMS,1539,132,15,643,76,673
Gwinnett,PINCKNEYVILLE K,Governor,,DEM,STACEY ABRAMS,1297,84,23,700,67,423
Gwinnett,PINCKNEYVILLE N,Governor,,DEM,STACEY ABRAMS,1501,67,15,894,49,476
Gwinnett,LAWRENCEVILLE D,Governor,,DEM,STACEY ABRAMS,1734,102,19,826,719,68
Gwinnett,LAWRENCEVILLE E,Governor,,DEM,STACEY ABRAMS,643,49,1,296,288,9
Gwinnett,PINCKNEYVILLE L,Governor,,DEM,STACEY ABRAMS,667,56,0,416,9,186
Gwinnett,PINCKNEYVILLE M,Governor,,DEM,STACEY ABRAMS,669,84,4,387,8,186
Gwinnett,GARNERS D,Governor,,DEM,STACEY ABRAMS,1443,91,6,648,237,461
Gwinnett,BERKSHIRE H,Governor,,DEM,STACEY ABRAMS,607,33,10,300,30,234
Gwinnett,PINCKNEYVILLE O,Governor,,DEM,STACEY ABRAMS,1239,60,25,619,26,509
Gwinnett,PUCKETTS E,Governor,,DEM,STACEY ABRAMS,1452,110,14,611,110,607
Gwinnett,CATES I,Governor,,DEM,STACEY ABRAMS,1178,83,6,574,402,113
Gwinnett,CATES J,Governor,,DEM,STACEY ABRAMS,1296,76,8,637,158,417
Gwinnett,GOODWINS B,Governor,,DEM,STACEY ABRAMS,992,73,2,505,326,86
Gwinnett,LAWRENCEVILLE F,Governor,,DEM,STACEY ABRAMS,1680,123,11,644,866,36
Gwinnett,MARTINS E,Governor,,DEM,STACEY ABRAMS,2200,157,53,1101,231,658
Gwinnett,PINCKNEYVILLE P,Governor,,DEM,STACEY ABRAMS,724,65,4,445,13,197
Gwinnett,PINCKNEYVILLE Q,Governor,,DEM,STACEY ABRAMS,770,35,12,525,32,166
Gwinnett,ROCKBRIDGE C,Governor,,DEM,STACEY ABRAMS,2517,159,15,977,1246,120
Gwinnett,ROCKBRIDGE D,Governor,,DEM,STACEY ABRAMS,1613,109,23,611,839,31
Gwinnett,GOODWINS C,Governor,,DEM,STACEY ABRAMS,1826,138,15,881,571,221
Gwinnett,BAYCREEK K,Governor,,DEM,STACEY ABRAMS,1260,89,7,512,636,16
Gwinnett,CATES K,Governor,,DEM,STACEY ABRAMS,775,33,6,426,250,60
Gwinnett,BAYCREEK C,Governor,,DEM,STACEY ABRAMS,2334,122,8,886,1265,53
Gwinnett,CATES L,Governor,,DEM,STACEY ABRAMS,1380,91,8,627,619,35
Gwinnett,DULUTH E,Governor,,DEM,STACEY ABRAMS,1761,114,18,830,77,722
Gwinnett,GOODWINS D,Governor,,DEM,STACEY ABRAMS,1267,82,13,666,438,68
Gwinnett,LAWRENCEVILLE G,Governor,,DEM,STACEY ABRAMS,1128,71,17,578,427,35
Gwinnett,LAWRENCEVILLE H,Governor,,DEM,STACEY ABRAMS,1175,81,6,582,397,109
Gwinnett,MARTINS F,Governor,,DEM,STACEY ABRAMS,921,69,11,492,81,268
Gwinnett,PINCKNEYVILLE S,Governor,,DEM,STACEY ABRAMS,1097,87,9,635,39,327
Gwinnett,ROCKBRIDGE E,Governor,,DEM,STACEY ABRAMS,1790,101,34,845,707,103
Gwinnett,SUGAR HILL E,Governor,,DEM,STACEY ABRAMS,814,66,10,373,284,81
Gwinnett,LAWRENCEVILLE I,Governor,,DEM,STACEY ABRAMS,1102,83,8,588,340,83
Gwinnett,BAYCREEK D,Governor,,DEM,STACEY ABRAMS,1415,104,5,560,730,16
Gwinnett,BERKSHIRE J,Governor,,DEM,STACEY ABRAMS,827,43,4,340,45,395
Gwinnett,CATES M,Governor,,DEM,STACEY ABRAMS,1133,113,4,510,449,57
Gwinnett,CATES N,Governor,,DEM,STACEY ABRAMS,591,41,3,292,243,12
Gwinnett,DULUTH F,Governor,,DEM,STACEY ABRAMS,2041,130,21,1027,352,511
Gwinnett,DULUTH G,Governor,,DEM,STACEY ABRAMS,776,48,7,396,145,180
Gwinnett,GOODWINS E,Governor,,DEM,STACEY ABRAMS,1575,158,14,740,540,123
Gwinnett,GOODWINS F,Governor,,DEM,STACEY ABRAMS,945,78,8,487,331,41
Gwinnett,PINCKNEYVILLE T,Governor,,DEM,STACEY ABRAMS,963,75,8,518,29,333
Gwinnett,SUWANEE B,Governor,,DEM,STACEY ABRAMS,1220,89,3,395,708,25
Gwinnett,PINCKNEYVILLE U,Governor,,DEM,STACEY ABRAMS,749,46,6,467,17,213
Gwinnett,PUCKETTS B,Governor,,DEM,STACEY ABRAMS,654,39,3,297,20,295
Gwinnett,BERKSHIRE L,Governor,,DEM,STACEY ABRAMS,1187,88,15,678,144,262
Gwinnett,ROCKBRIDGE F,Governor,,DEM,STACEY ABRAMS,2837,162,17,861,1764,33
Gwinnett,SUGAR HILL F,Governor,,DEM,STACEY ABRAMS,931,58,9,501,289,74
Gwinnett,SUWANEE C,Governor,,DEM,STACEY ABRAMS,1370,125,32,558,595,60
Gwinnett,CATES O,Governor,,DEM,STACEY ABRAMS,405,17,2,214,77,95
Gwinnett,BAYCREEK E,Governor,,DEM,STACEY ABRAMS,985,58,3,476,428,20
Gwinnett,BERKSHIRE M,Governor,,DEM,STACEY ABRAMS,502,29,3,253,17,200
Gwinnett,MARTINS G,Governor,,DEM,STACEY ABRAMS,859,47,7,498,276,31
Gwinnett,DULUTH H,Governor,,DEM,STACEY ABRAMS,893,102,1,403,59,328
Gwinnett,BERKSHIRE N,Governor,,DEM,STACEY ABRAMS,900,61,1,283,9,546
Gwinnett,PINCKNEYVILLE V,Governor,,DEM,STACEY ABRAMS,536,43,9,234,7,243
Gwinnett,PINCKNEYVILLE W,Governor,,DEM,STACEY ABRAMS,1288,89,15,692,28,464
Gwinnett,MARTINS H,Governor,,DEM,STACEY ABRAMS,1724,148,13,883,501,179
Gwinnett,MARTINS I,Governor,,DEM,STACEY ABRAMS,1321,111,16,718,208,268
Gwinnett,MARTINS J,Governor,,DEM,STACEY ABRAMS,1517,101,20,860,217,319
Gwinnett,GARNERS F,Governor,,DEM,STACEY ABRAMS,522,26,2,237,13,244
Gwinnett,BERKSHIRE O,Governor,,DEM,STACEY ABRAMS,708,41,5,383,71,208
Gwinnett,BERKSHIRE P,Governor,,DEM,STACEY ABRAMS,461,44,6,245,36,130
Gwinnett,PINCKNEYVILLE X,Governor,,DEM,STACEY ABRAMS,1123,132,3,520,43,425
Gwinnett,ROCKBRIDGE G,Governor,,DEM,STACEY ABRAMS,2568,197,39,919,1341,72
Gwinnett,PINCKNEYVILLE Y,Governor,,DEM,STACEY ABRAMS,1154,53,22,648,45,386
Gwinnett,GOODWINS G,Governor,,DEM,STACEY ABRAMS,981,54,8,540,323,56
Gwinnett,PINCKNEYVILLE Z,Governor,,DEM,STACEY ABRAMS,483,49,0,298,9,127
Gwinnett,PINCKNEYVILLE A1,Governor,,DEM,STACEY ABRAMS,741,72,3,416,25,225
Gwinnett,LAWRENCEVILLE J,Governor,,DEM,STACEY ABRAMS,777,63,5,383,290,36
Gwinnett,GOODWINS H,Governor,,DEM,STACEY ABRAMS,829,65,10,398,325,31
Gwinnett,DUNCANS B,Governor,,DEM,STACEY ABRAMS,942,64,2,476,53,347
Gwinnett,SUWANEE D,Governor,,DEM,STACEY ABRAMS,1049,91,7,490,416,45
Gwinnett,SUWANEE E,Governor,,DEM,STACEY ABRAMS,1066,97,8,418,516,27
Gwinnett,LAWRENCEVILLE K,Governor,,DEM,STACEY ABRAMS,945,58,5,493,307,82
