county,office,congressional_district,party,candidate,votes
Spalding,U.S. President,3,Democratic,Bernie Sanders,820
Spalding,U.S. President,3,Democratic,Michael Steinberg,13
Seminole,U.S. President,2,Democratic,Hillary Clinton,475
Seminole,U.S. President,2,Democratic,Martin O'Malley,5
Seminole,U.S. President,2,Democratic,Bernie Sanders,81
Seminole,U.S. President,2,Democratic,Michael Steinberg,1
Screven,U.S. President,12,Democratic,Hillary Clinton,773
Screven,U.S. President,12,Democratic,Martin O'Malley,10
Screven,U.S. President,12,Democratic,Bernie Sanders,168
Screven,U.S. President,12,Democratic,Michael Steinberg,4
Schley,U.S. President,2,Democratic,Hillary Clinton,147
Schley,U.S. President,2,Democratic,Martin O'Malley,3
Schley,U.S. President,2,Democratic,Bernie Sanders,25
Schley,U.S. President,2,Democratic,Michael Steinberg,1
Rockdale,U.S. President,4,Democratic,Hillary Clinton,7973
Rockdale,U.S. President,4,Democratic,Martin O'Malley,12
Rockdale,U.S. President,4,Democratic,Bernie Sanders,2234
Rockdale,U.S. President,4,Democratic,Michael Steinberg,11
Richmond,U.S. President,12,Democratic,Hillary Clinton,16315
Richmond,U.S. President,12,Democratic,Martin O'Malley,46
Richmond,U.S. President,12,Democratic,Bernie Sanders,3586
Richmond,U.S. President,12,Democratic,Michael Steinberg,28
Randolph,U.S. President,2,Democratic,Hillary Clinton,693
Randolph,U.S. President,2,Democratic,Martin O'Malley,5
Randolph,U.S. President,2,Democratic,Bernie Sanders,71
Randolph,U.S. President,2,Democratic,Michael Steinberg,5
Rabun,U.S. President,9,Democratic,Hillary Clinton,398
Rabun,U.S. President,9,Democratic,Martin O'Malley,7
Rabun,U.S. President,9,Democratic,Bernie Sanders,326
Rabun,U.S. President,9,Democratic,Michael Steinberg,4
Quitman,U.S. President,2,Democratic,Hillary Clinton,193
Quitman,U.S. President,2,Democratic,Martin O'Malley,1
Quitman,U.S. President,2,Democratic,Bernie Sanders,15
Quitman,U.S. President,2,Democratic,Michael Steinberg,3
Putnam,U.S. President,10,Democratic,Hillary Clinton,871
Putnam,U.S. President,10,Democratic,Martin O'Malley,5
Putnam,U.S. President,10,Democratic,Bernie Sanders,206
Putnam,U.S. President,10,Democratic,Michael Steinberg,4
Pulaski,U.S. President,8,Democratic,Hillary Clinton,376
Pulaski,U.S. President,8,Democratic,Martin O'Malley,1
Pulaski,U.S. President,8,Democratic,Bernie Sanders,60
Pulaski,U.S. President,8,Democratic,Michael Steinberg,0
Polk,U.S. President,14,Democratic,Hillary Clinton,944
Polk,U.S. President,14,Democratic,Martin O'Malley,13
Polk,U.S. President,14,Democratic,Bernie Sanders,403
Polk,U.S. President,14,Democratic,Michael Steinberg,17
Pike,U.S. President,3,Democratic,Hillary Clinton,418
Pike,U.S. President,3,Democratic,Martin O'Malley,5
Pike,U.S. President,3,Democratic,Bernie Sanders,188
Pike,U.S. President,3,Democratic,Michael Steinberg,1
Pierce,U.S. President,1,Democratic,Hillary Clinton,219
Pierce,U.S. President,1,Democratic,Martin O'Malley,1
Pierce,U.S. President,1,Democratic,Bernie Sanders,104
Pierce,U.S. President,1,Democratic,Michael Steinberg,3
Pickens,U.S. President,9,Democratic,Hillary Clinton,338
Pickens,U.S. President,14,Democratic,Hillary Clinton,93
Pickens,U.S. President,9,Democratic,Martin O'Malley,3
Pickens,U.S. President,14,Democratic,Martin O'Malley,2
Pickens,U.S. President,9,Democratic,Bernie Sanders,265
Pickens,U.S. President,14,Democratic,Bernie Sanders,105
Pickens,U.S. President,9,Democratic,Michael Steinberg,3
Pickens,U.S. President,14,Democratic,Michael Steinberg,2
Peach,U.S. President,2,Democratic,Hillary Clinton,1676
Peach,U.S. President,2,Democratic,Martin O'Malley,5
Peach,U.S. President,2,Democratic,Bernie Sanders,316
Peach,U.S. President,2,Democratic,Michael Steinberg,6
Paulding,U.S. President,14,Democratic,Hillary Clinton,4123
Paulding,U.S. President,14,Democratic,Martin O'Malley,19
Paulding,U.S. President,14,Democratic,Bernie Sanders,2123
Paulding,U.S. President,14,Democratic,Michael Steinberg,22
Oglethorpe,U.S. President,10,Democratic,Hillary Clinton,562
Oglethorpe,U.S. President,10,Democratic,Martin O'Malley,3
Oglethorpe,U.S. President,10,Democratic,Bernie Sanders,358
Oglethorpe,U.S. President,10,Democratic,Michael Steinberg,5
Oconee,U.S. President,10,Democratic,Hillary Clinton,1225
Oconee,U.S. President,10,Democratic,Martin O'Malley,5
Oconee,U.S. President,10,Democratic,Bernie Sanders,1102
Oconee,U.S. President,10,Democratic,Michael Steinberg,5
Newton,U.S. President,4,Democratic,Hillary Clinton,6515
Newton,U.S. President,10,Democratic,Hillary Clinton,758
Newton,U.S. President,4,Democratic,Martin O'Malley,17
Newton,U.S. President,10,Democratic,Martin O'Malley,7
Newton,U.S. President,4,Democratic,Bernie Sanders,1652
Newton,U.S. President,10,Democratic,Bernie Sanders,350
Newton,U.S. President,4,Democratic,Michael Steinberg,20
Newton,U.S. President,10,Democratic,Michael Steinberg,2
Muscogee,U.S. President,2,Democratic,Hillary Clinton,11267
Muscogee,U.S. President,3,Democratic,Hillary Clinton,1595
Muscogee,U.S. President,2,Democratic,Martin O'Malley,21
Muscogee,U.S. President,3,Democratic,Martin O'Malley,11
Muscogee,U.S. President,2,Democratic,Bernie Sanders,2442
Muscogee,U.S. President,3,Democratic,Bernie Sanders,900
Muscogee,U.S. President,2,Democratic,Michael Steinberg,19
Muscogee,U.S. President,3,Democratic,Michael Steinberg,9
Murray,U.S. President,14,Democratic,Hillary Clinton,444
Murray,U.S. President,14,Democratic,Martin O'Malley,6
Murray,U.S. President,14,Democratic,Bernie Sanders,407
Murray,U.S. President,14,Democratic,Michael Steinberg,11
Morgan,U.S. President,10,Democratic,Hillary Clinton,910
Morgan,U.S. President,10,Democratic,Martin O'Malley,3
Morgan,U.S. President,10,Democratic,Bernie Sanders,259
Morgan,U.S. President,10,Democratic,Michael Steinberg,2
Montgomery,U.S. President,12,Democratic,Hillary Clinton,287
Montgomery,U.S. President,12,Democratic,Martin O'Malley,2
Montgomery,U.S. President,12,Democratic,Bernie Sanders,72
Montgomery,U.S. President,12,Democratic,Michael Steinberg,6
Monroe,U.S. President,8,Democratic,Hillary Clinton,1251
Monroe,U.S. President,8,Democratic,Martin O'Malley,7
Monroe,U.S. President,8,Democratic,Bernie Sanders,301
Monroe,U.S. President,8,Democratic,Michael Steinberg,4
Mitchell,U.S. President,2,Democratic,Hillary Clinton,1342
Mitchell,U.S. President,2,Democratic,Martin O'Malley,8
Mitchell,U.S. President,2,Democratic,Bernie Sanders,203
Mitchell,U.S. President,2,Democratic,Michael Steinberg,11
Miller,U.S. President,2,Democratic,Hillary Clinton,159
Miller,U.S. President,2,Democratic,Martin O'Malley,6
Miller,U.S. President,2,Democratic,Bernie Sanders,37
Miller,U.S. President,2,Democratic,Michael Steinberg,3
Meriwether,U.S. President,3,Democratic,Hillary Clinton,1463
Meriwether,U.S. President,3,Democratic,Martin O'Malley,5
Meriwether,U.S. President,3,Democratic,Bernie Sanders,237
Meriwether,U.S. President,3,Democratic,Michael Steinberg,8
McIntosh,U.S. President,1,Democratic,Hillary Clinton,866
McIntosh,U.S. President,1,Democratic,Martin O'Malley,4
McIntosh,U.S. President,1,Democratic,Bernie Sanders,149
McIntosh,U.S. President,1,Democratic,Michael Steinberg,6
McDuffie,U.S. President,10,Democratic,Hillary Clinton,1274
McDuffie,U.S. President,10,Democratic,Martin O'Malley,2
McDuffie,U.S. President,10,Democratic,Bernie Sanders,223
McDuffie,U.S. President,10,Democratic,Michael Steinberg,6
Marion,U.S. President,2,Democratic,Hillary Clinton,431
Marion,U.S. President,2,Democratic,Martin O'Malley,7
Marion,U.S. President,2,Democratic,Bernie Sanders,120
Marion,U.S. President,2,Democratic,Michael Steinberg,5
Madison,U.S. President,9,Democratic,Hillary Clinton,656
Madison,U.S. President,9,Democratic,Martin O'Malley,5
Madison,U.S. President,9,Democratic,Bernie Sanders,505
Madison,U.S. President,9,Democratic,Michael Steinberg,12
Macon,U.S. President,2,Democratic,Hillary Clinton,977
Macon,U.S. President,2,Democratic,Martin O'Malley,3
Macon,U.S. President,2,Democratic,Bernie Sanders,105
Macon,U.S. President,2,Democratic,Michael Steinberg,2
Lumpkin,U.S. President,9,Democratic,Hillary Clinton,560
Lumpkin,U.S. President,9,Democratic,Martin O'Malley,5
Lumpkin,U.S. President,9,Democratic,Bernie Sanders,537
Lumpkin,U.S. President,9,Democratic,Michael Steinberg,9
Lowndes,U.S. President,1,Democratic,Hillary Clinton,133
Lowndes,U.S. President,8,Democratic,Hillary Clinton,3883
Lowndes,U.S. President,1,Democratic,Martin O'Malley,0
Lowndes,U.S. President,8,Democratic,Martin O'Malley,17
Lowndes,U.S. President,1,Democratic,Bernie Sanders,59
Lowndes,U.S. President,8,Democratic,Bernie Sanders,1841
Lowndes,U.S. President,1,Democratic,Michael Steinberg,2
Lowndes,U.S. President,8,Democratic,Michael Steinberg,23
Long,U.S. President,1,Democratic,Hillary Clinton,264
Long,U.S. President,1,Democratic,Martin O'Malley,4
Long,U.S. President,1,Democratic,Bernie Sanders,113
Long,U.S. President,1,Democratic,Michael Steinberg,5
Lincoln,U.S. President,10,Democratic,Hillary Clinton,538
Lincoln,U.S. President,10,Democratic,Martin O'Malley,1
Lincoln,U.S. President,10,Democratic,Bernie Sanders,93
Lincoln,U.S. President,10,Democratic,Michael Steinberg,5
Liberty,U.S. President,1,Democratic,Hillary Clinton,2787
Liberty,U.S. President,1,Democratic,Martin O'Malley,14
Liberty,U.S. President,1,Democratic,Bernie Sanders,679
Liberty,U.S. President,1,Democratic,Michael Steinberg,15
Lee,U.S. President,2,Democratic,Hillary Clinton,1010
Lee,U.S. President,2,Democratic,Martin O'Malley,12
Lee,U.S. President,2,Democratic,Bernie Sanders,336
Lee,U.S. President,2,Democratic,Michael Steinberg,4
Laurens,U.S. President,12,Democratic,Hillary Clinton,2296
Laurens,U.S. President,12,Democratic,Martin O'Malley,21
Laurens,U.S. President,12,Democratic,Bernie Sanders,453
Laurens,U.S. President,12,Democratic,Michael Steinberg,22
Lanier,U.S. President,8,Democratic,Hillary Clinton,234
Lanier,U.S. President,8,Democratic,Martin O'Malley,3
Lanier,U.S. President,8,Democratic,Bernie Sanders,70
Lanier,U.S. President,8,Democratic,Michael Steinberg,0
Lamar,U.S. President,3,Democratic,Hillary Clinton,871
Lamar,U.S. President,3,Democratic,Martin O'Malley,8
Lamar,U.S. President,3,Democratic,Bernie Sanders,208
Lamar,U.S. President,3,Democratic,Michael Steinberg,3
Jones,U.S. President,8,Democratic,Hillary Clinton,1587
Jones,U.S. President,8,Democratic,Martin O'Malley,10
Jones,U.S. President,8,Democratic,Bernie Sanders,371
Jones,U.S. President,8,Democratic,Michael Steinberg,10
Johnson,U.S. President,10,Democratic,Hillary Clinton,389
Johnson,U.S. President,10,Democratic,Martin O'Malley,1
Johnson,U.S. President,10,Democratic,Bernie Sanders,64
Johnson,U.S. President,10,Democratic,Michael Steinberg,3
Jenkins,U.S. President,12,Democratic,Hillary Clinton,356
Jenkins,U.S. President,12,Democratic,Martin O'Malley,0
Jenkins,U.S. President,12,Democratic,Bernie Sanders,64
Jenkins,U.S. President,12,Democratic,Michael Steinberg,3
Jefferson,U.S. President,10,Democratic,Hillary Clinton,1615
Jefferson,U.S. President,10,Democratic,Martin O'Malley,8
Jefferson,U.S. President,10,Democratic,Bernie Sanders,208
Jefferson,U.S. President,10,Democratic,Michael Steinberg,3
Jeff Davis,U.S. President,12,Democratic,Hillary Clinton,400
Jeff Davis,U.S. President,12,Democratic,Martin O'Malley,9
Jeff Davis,U.S. President,12,Democratic,Bernie Sanders,107
Jeff Davis,U.S. President,12,Democratic,Michael Steinberg,7
Jasper,U.S. President,10,Democratic,Hillary Clinton,634
Jasper,U.S. President,10,Democratic,Martin O'Malley,5
Jasper,U.S. President,10,Democratic,Bernie Sanders,133
Jasper,U.S. President,10,Democratic,Michael Steinberg,6
Jackson,U.S. President,9,Democratic,Hillary Clinton,1193
Jackson,U.S. President,9,Democratic,Martin O'Malley,13
Jackson,U.S. President,9,Democratic,Bernie Sanders,733
Jackson,U.S. President,9,Democratic,Michael Steinberg,9
Irwin,U.S. President,8,Democratic,Hillary Clinton,326
Irwin,U.S. President,8,Democratic,Martin O'Malley,3
Irwin,U.S. President,8,Democratic,Bernie Sanders,76
Irwin,U.S. President,8,Democratic,Michael Steinberg,5
Houston,U.S. President,8,Democratic,Hillary Clinton,6311
Houston,U.S. President,8,Democratic,Martin O'Malley,20
Houston,U.S. President,8,Democratic,Bernie Sanders,1956
Houston,U.S. President,8,Democratic,Michael Steinberg,20
Henry,U.S. President,3,Democratic,Hillary Clinton,4302
Henry,U.S. President,10,Democratic,Hillary Clinton,1946
Henry,U.S. President,13,Democratic,Hillary Clinton,9547
Henry,U.S. President,3,Democratic,Martin O'Malley,8
Henry,U.S. President,10,Democratic,Martin O'Malley,8
Henry,U.S. President,13,Democratic,Martin O'Malley,22
Henry,U.S. President,3,Democratic,Bernie Sanders,1217
Henry,U.S. President,10,Democratic,Bernie Sanders,706
Henry,U.S. President,13,Democratic,Bernie Sanders,2545
Henry,U.S. President,3,Democratic,Michael Steinberg,14
Henry,U.S. President,10,Democratic,Michael Steinberg,6
Henry,U.S. President,13,Democratic,Michael Steinberg,15
Heard,U.S. President,3,Democratic,Hillary Clinton,277
Heard,U.S. President,3,Democratic,Martin O'Malley,7
Heard,U.S. President,3,Democratic,Bernie Sanders,111
Heard,U.S. President,3,Democratic,Michael Steinberg,0
Hart,U.S. President,9,Democratic,Hillary Clinton,740
Hart,U.S. President,9,Democratic,Martin O'Malley,3
Hart,U.S. President,9,Democratic,Bernie Sanders,276
Hart,U.S. President,9,Democratic,Michael Steinberg,5
Harris,U.S. President,3,Democratic,Hillary Clinton,1372
Harris,U.S. President,3,Democratic,Martin O'Malley,7
Harris,U.S. President,3,Democratic,Bernie Sanders,448
Harris,U.S. President,3,Democratic,Michael Steinberg,2
Haralson,U.S. President,14,Democratic,Hillary Clinton,414
Haralson,U.S. President,14,Democratic,Martin O'Malley,8
Haralson,U.S. President,14,Democratic,Bernie Sanders,312
Haralson,U.S. President,14,Democratic,Michael Steinberg,17
Hancock,U.S. President,10,Democratic,Hillary Clinton,1121
Hancock,U.S. President,10,Democratic,Martin O'Malley,9
Hancock,U.S. President,10,Democratic,Bernie Sanders,147
Hancock,U.S. President,10,Democratic,Michael Steinberg,7
Hall,U.S. President,9,Democratic,Hillary Clinton,3495
Hall,U.S. President,9,Democratic,Martin O'Malley,24
Hall,U.S. President,9,Democratic,Bernie Sanders,2256
Hall,U.S. President,9,Democratic,Michael Steinberg,26
Habersham,U.S. President,9,Democratic,Hillary Clinton,612
Habersham,U.S. President,9,Democratic,Martin O'Malley,5
Habersham,U.S. President,9,Democratic,Bernie Sanders,553
Habersham,U.S. President,9,Democratic,Michael Steinberg,4
Gwinnett,U.S. President,4,Democratic,Hillary Clinton,10693
Gwinnett,U.S. President,7,Democratic,Hillary Clinton,24444
Gwinnett,U.S. President,10,Democratic,Hillary Clinton,2744
Gwinnett,U.S. President,4,Democratic,Martin O'Malley,34
Gwinnett,U.S. President,7,Democratic,Martin O'Malley,91
Gwinnett,U.S. President,10,Democratic,Martin O'Malley,3
Gwinnett,U.S. President,4,Democratic,Bernie Sanders,4791
Gwinnett,U.S. President,7,Democratic,Bernie Sanders,13034
Gwinnett,U.S. President,10,Democratic,Bernie Sanders,1269
Gwinnett,U.S. President,4,Democratic,Michael Steinberg,18
Gwinnett,U.S. President,7,Democratic,Michael Steinberg,53
Gwinnett,U.S. President,10,Democratic,Michael Steinberg,12
Greene,U.S. President,10,Democratic,Hillary Clinton,1077
Greene,U.S. President,10,Democratic,Martin O'Malley,5
Greene,U.S. President,10,Democratic,Bernie Sanders,169
Greene,U.S. President,10,Democratic,Michael Steinberg,4
Grady,U.S. President,2,Democratic,Hillary Clinton,887
Grady,U.S. President,2,Democratic,Martin O'Malley,12
Grady,U.S. President,2,Democratic,Bernie Sanders,262
Grady,U.S. President,2,Democratic,Michael Steinberg,8
Gordon,U.S. President,14,Democratic,Hillary Clinton,778
Gordon,U.S. President,14,Democratic,Martin O'Malley,10
Gordon,U.S. President,14,Democratic,Bernie Sanders,554
Gordon,U.S. President,14,Democratic,Michael Steinberg,10
Glynn,U.S. President,1,Democratic,Hillary Clinton,2881
Glynn,U.S. President,1,Democratic,Martin O'Malley,21
Glynn,U.S. President,1,Democratic,Bernie Sanders,1282
Glynn,U.S. President,1,Democratic,Michael Steinberg,12
Glascock,U.S. President,10,Democratic,Hillary Clinton,38
Glascock,U.S. President,10,Democratic,Martin O'Malley,2
Glascock,U.S. President,10,Democratic,Bernie Sanders,19
Glascock,U.S. President,10,Democratic,Michael Steinberg,2
Gilmer,U.S. President,9,Democratic,Hillary Clinton,490
Gilmer,U.S. President,9,Democratic,Martin O'Malley,3
Gilmer,U.S. President,9,Democratic,Bernie Sanders,423
Gilmer,U.S. President,9,Democratic,Michael Steinberg,9
Fulton,U.S. President,5,Democratic,Hillary Clinton,49240
Fulton,U.S. President,6,Democratic,Hillary Clinton,15546
Fulton,U.S. President,11,Democratic,Hillary Clinton,2322
Fulton,U.S. President,13,Democratic,Hillary Clinton,16349
Fulton,U.S. President,5,Democratic,Martin O'Malley,104
Fulton,U.S. President,6,Democratic,Martin O'Malley,58
Fulton,U.S. President,11,Democratic,Martin O'Malley,8
Fulton,U.S. President,13,Democratic,Martin O'Malley,30
Fulton,U.S. President,5,Democratic,Bernie Sanders,19402
Fulton,U.S. President,6,Democratic,Bernie Sanders,9631
Fulton,U.S. President,11,Democratic,Bernie Sanders,989
Fulton,U.S. President,13,Democratic,Bernie Sanders,3778
Fulton,U.S. President,5,Democratic,Michael Steinberg,48
Fulton,U.S. President,6,Democratic,Michael Steinberg,27
Fulton,U.S. President,11,Democratic,Michael Steinberg,2
Fulton,U.S. President,13,Democratic,Michael Steinberg,17
Franklin,U.S. President,9,Democratic,Hillary Clinton,352
Franklin,U.S. President,9,Democratic,Martin O'Malley,4
Franklin,U.S. President,9,Democratic,Bernie Sanders,205
Franklin,U.S. President,9,Democratic,Michael Steinberg,2
Forsyth,U.S. President,7,Democratic,Hillary Clinton,3039
Forsyth,U.S. President,9,Democratic,Hillary Clinton,668
Forsyth,U.S. President,7,Democratic,Martin O'Malley,15
Forsyth,U.S. President,9,Democratic,Martin O'Malley,9
Forsyth,U.S. President,7,Democratic,Bernie Sanders,2427
Forsyth,U.S. President,9,Democratic,Bernie Sanders,726
Forsyth,U.S. President,7,Democratic,Michael Steinberg,10
Forsyth,U.S. President,9,Democratic,Michael Steinberg,2
Floyd,U.S. President,14,Democratic,Hillary Clinton,2568
Floyd,U.S. President,14,Democratic,Martin O'Malley,27
Floyd,U.S. President,14,Democratic,Bernie Sanders,1368
Floyd,U.S. President,14,Democratic,Michael Steinberg,25
Fayette,U.S. President,3,Democratic,Hillary Clinton,4718
Fayette,U.S. President,13,Democratic,Hillary Clinton,2549
Fayette,U.S. President,3,Democratic,Martin O'Malley,17
Fayette,U.S. President,13,Democratic,Martin O'Malley,5
Fayette,U.S. President,3,Democratic,Bernie Sanders,2247
Fayette,U.S. President,13,Democratic,Bernie Sanders,678
Fayette,U.S. President,3,Democratic,Michael Steinberg,10
Fayette,U.S. President,13,Democratic,Michael Steinberg,5
Fannin,U.S. President,9,Democratic,Hillary Clinton,547
Fannin,U.S. President,9,Democratic,Martin O'Malley,4
Fannin,U.S. President,9,Democratic,Bernie Sanders,356
Fannin,U.S. President,9,Democratic,Michael Steinberg,5
Evans,U.S. President,12,Democratic,Hillary Clinton,347
Evans,U.S. President,12,Democratic,Martin O'Malley,5
Evans,U.S. President,12,Democratic,Bernie Sanders,85
Evans,U.S. President,12,Democratic,Michael Steinberg,5
Emanuel,U.S. President,12,Democratic,Hillary Clinton,758
Emanuel,U.S. President,12,Democratic,Martin O'Malley,5
Emanuel,U.S. President,12,Democratic,Bernie Sanders,145
Emanuel,U.S. President,12,Democratic,Michael Steinberg,4
Elbert,U.S. President,9,Democratic,Hillary Clinton,818
Elbert,U.S. President,9,Democratic,Martin O'Malley,6
Elbert,U.S. President,9,Democratic,Bernie Sanders,258
