county,precinct,office,district,party,candidate,total_votes
Atkinson,Pearson County,President,,Democrat,Kamala D. Harris,144
Atkinson,Willacoochee,President,,Democrat,Kamala D. Harris,283
Atkinson,Axson,President,,Democrat,Kamala D. Harris,40
Atkinson,Pearson City,President,,Democrat,Kamala D. Harris,233
Atkinson,Willacoochee,President,,Green,Jill Stein,1
Atkinson,Pearson City,President,,Green,Jill Stein,0
Atkinson,Axson,President,,Green,Jill Stein,0
Atkinson,Pearson County,President,,Green,Jill Stein,0
Atkinson,Pearson City,President,,Libertarian,Chase Oliver,1
Atkinson,Pearson County,President,,Libertarian,Chase Oliver,1
Atkinson,Axson,President,,Libertarian,Chase Oliver,2
Atkinson,Willacoochee,President,,Libertarian,Chase Oliver,2
Atkinson,Pearson County,President,,Republican,Donald J. Trump,1127
Atkinson,Willacoochee,President,,Republican,Donald J. Trump,580
Atkinson,Axson,President,,Republican,Donald J. Trump,460
Atkinson,Pearson City,President,,Republican,Donald J. Trump,183
Atkinson,Pearson City,State House,176,Republican,James D. Burchett,275
Atkinson,Willacoochee,State House,176,Republican,James D. Burchett,693
Atkinson,Axson,State House,176,Republican,James D. Burchett,453
Atkinson,Pearson County,State House,176,Republican,James D. Burchett,1150
Atkinson,Willacoochee,State Senate,8,Republican,Russ Goodman,687
Atkinson,Pearson County,State Senate,8,Republican,Russ Goodman,1146
Atkinson,Axson,State Senate,8,Republican,Russ Goodman,447
Atkinson,Pearson City,State Senate,8,Republican,Russ Goodman,276
Atkinson,Pearson City,U.S. House,8,Democrat,Darrius Butler,200
Atkinson,Willacoochee,U.S. House,8,Democrat,Darrius Butler,233
Atkinson,Axson,U.S. House,8,Democrat,Darrius Butler,42
Atkinson,Pearson County,U.S. House,8,Democrat,Darrius Butler,131
Atkinson,Pearson County,U.S. House,8,Republican,Austin Scott,1092
Atkinson,Axson,U.S. House,8,Republican,Austin Scott,424
Atkinson,Willacoochee,U.S. House,8,Republican,Austin Scott,582
Atkinson,Pearson City,U.S. House,8,Republican,Austin Scott,179
Bacon,Douglas,President,,Democrat,Kamala D. Harris,645
Bacon,Douglas,President,,Green,Jill Stein,2
Bacon,Douglas,President,,Libertarian,Chase Oliver,6
Bacon,Douglas,President,,Republican,Donald J. Trump,4186
Bacon,Douglas,State House,178,Republican,Steven Meeks,4105
Bacon,Douglas,State Senate,19,Republican,Blake Tillery,4136
Bacon,Douglas,U.S. House,1,Democrat,Patti Hewitt,505
Bacon,Douglas,U.S. House,1,Republican,"Earl L. ""Buddy"" Carter",4157
Baker,Elmodel,District Attorney,South Georgia Judicial Circuit,Republican,Joe Mulholland,225
Baker,Newton,District Attorney,South Georgia Judicial Circuit,Republican,Joe Mulholland,177
Baker,Milford,District Attorney,South Georgia Judicial Circuit,Republican,Joe Mulholland,248
Baker,Hoggards Mill,District Attorney,South Georgia Judicial Circuit,Republican,Joe Mulholland,211
Baker,Anna,District Attorney,South Georgia Judicial Circuit,Republican,Joe Mulholland,228
Baker,Elmodel,President,,Democrat,Kamala D. Harris,76
Baker,Hoggards Mill,President,,Democrat,Kamala D. Harris,164
Baker,Newton,President,,Democrat,Kamala D. Harris,94
Baker,Milford,President,,Democrat,Kamala D. Harris,87
Baker,Anna,President,,Democrat,Kamala D. Harris,169
Baker,Hoggards Mill,President,,Green,Jill Stein,0
Baker,Elmodel,President,,Green,Jill Stein,1
Baker,Anna,President,,Green,Jill Stein,0
Baker,Milford,President,,Green,Jill Stein,1
Baker,Newton,President,,Green,Jill Stein,0
Baker,Newton,President,,Libertarian,Chase Oliver,0
Baker,Anna,President,,Libertarian,Chase Oliver,0
Baker,Elmodel,President,,Libertarian,Chase Oliver,1
Baker,Hoggards Mill,President,,Libertarian,Chase Oliver,0
Baker,Milford,President,,Libertarian,Chase Oliver,0
Baker,Milford,President,,Republican,Donald J. Trump,225
Baker,Newton,President,,Republican,Donald J. Trump,146
Baker,Anna,President,,Republican,Donald J. Trump,165
Baker,Hoggards Mill,President,,Republican,Donald J. Trump,131
Baker,Elmodel,President,,Republican,Donald J. Trump,216
Baker,Newton,State House,154,Republican,Gerald E. Greene,179
Baker,Milford,State House,154,Republican,Gerald E. Greene,247
Baker,Anna,State House,154,Republican,Gerald E. Greene,230
Baker,Elmodel,State House,154,Republican,Gerald E. Greene,229
Baker,Hoggards Mill,State House,154,Republican,Gerald E. Greene,202
Baker,Milford,State Senate,12,Democrat,Freddie Powell Sims,211
Baker,Anna,State Senate,12,Democrat,Freddie Powell Sims,239
Baker,Newton,State Senate,12,Democrat,Freddie Powell Sims,158
Baker,Elmodel,State Senate,12,Democrat,Freddie Powell Sims,197
Baker,Hoggards Mill,State Senate,12,Democrat,Freddie Powell Sims,218
Baker,Hoggards Mill,U.S. House,2,Democrat,Sanford Bishop,183
Baker,Milford,U.S. House,2,Democrat,Sanford Bishop,116
Baker,Newton,U.S. House,2,Democrat,Sanford Bishop,118
Baker,Anna,U.S. House,2,Democrat,Sanford Bishop,199
Baker,Elmodel,U.S. House,2,Democrat,Sanford Bishop,114
Baker,Hoggards Mill,U.S. House,2,Republican,A. Wayne Johnson,109
Baker,Newton,U.S. House,2,Republican,A. Wayne Johnson,116
Baker,Milford,U.S. House,2,Republican,A. Wayne Johnson,193
Baker,Elmodel,U.S. House,2,Republican,A. Wayne Johnson,170
Baker,Anna,U.S. House,2,Republican,A. Wayne Johnson,134
Baldwin,East Milledgeville,District Attorney,Ocmulgee Judicial Circuit,Republican,T. Wright Barksdale,437
Baldwin,West Thomas,District Attorney,Ocmulgee Judicial Circuit,Republican,T. Wright Barksdale,569
Baldwin,City Hall Annex,District Attorney,Ocmulgee Judicial Circuit,Republican,T. Wright Barksdale,328
Baldwin,West Hardwick,District Attorney,Ocmulgee Judicial Circuit,Republican,T. Wright Barksdale,1134
Baldwin,West Baldwin,District Attorney,Ocmulgee Judicial Circuit,Republican,T. Wright Barksdale,1118
Baldwin,South Milledgeville,District Attorney,Ocmulgee Judicial Circuit,Republican,T. Wright Barksdale,443
Baldwin,North Baldwin,District Attorney,Ocmulgee Judicial Circuit,Republican,T. Wright Barksdale,2484
Baldwin,Meriwether,District Attorney,Ocmulgee Judicial Circuit,Republican,T. Wright Barksdale,2055
Baldwin,Coopers,District Attorney,Ocmulgee Judicial Circuit,Republican,T. Wright Barksdale,1030
Baldwin,Scottsboro,District Attorney,Ocmulgee Judicial Circuit,Republican,T. Wright Barksdale,589
Baldwin,North Milledgeville,District Attorney,Ocmulgee Judicial Circuit,Republican,T. Wright Barksdale,1286
Baldwin,East Hardwick,District Attorney,Ocmulgee Judicial Circuit,Republican,T. Wright Barksdale,351
Baldwin,East Baldwin,District Attorney,Ocmulgee Judicial Circuit,Republican,T. Wright Barksdale,2320
Baldwin,Courthouse,District Attorney,Ocmulgee Judicial Circuit,Republican,T. Wright Barksdale,211
Baldwin,West Baldwin,President,,Democrat,Kamala D. Harris,629
Baldwin,North Milledgeville,President,,Democrat,Kamala D. Harris,859
Baldwin,South Milledgeville,President,,Democrat,Kamala D. Harris,534
Baldwin,West Thomas,President,,Democrat,Kamala D. Harris,689
Baldwin,West Hardwick,President,,Democrat,Kamala D. Harris,1398
Baldwin,City Hall Annex,President,,Democrat,Kamala D. Harris,323
Baldwin,North Baldwin,President,,Democrat,Kamala D. Harris,862
Baldwin,Meriwether,President,,Democrat,Kamala D. Harris,900
Baldwin,East Milledgeville,President,,Democrat,Kamala D. Harris,503
Baldwin,East Hardwick,President,,Democrat,Kamala D. Harris,477
Baldwin,East Baldwin,President,,Democrat,Kamala D. Harris,1242
Baldwin,Courthouse,President,,Democrat,Kamala D. Harris,161
Baldwin,Coopers,President,,Democrat,Kamala D. Harris,318
Baldwin,Scottsboro,President,,Democrat,Kamala D. Harris,264
Baldwin,West Hardwick,President,,Green,Jill Stein,1
Baldwin,Scottsboro,President,,Green,Jill Stein,1
Baldwin,Courthouse,President,,Green,Jill Stein,5
Baldwin,Meriwether,President,,Green,Jill Stein,3
Baldwin,North Milledgeville,President,,Green,Jill Stein,3
Baldwin,East Baldwin,President,,Green,Jill Stein,1
Baldwin,East Hardwick,President,,Green,Jill Stein,2
Baldwin,East Milledgeville,President,,Green,Jill Stein,0
Baldwin,North Baldwin,President,,Green,Jill Stein,8
Baldwin,City Hall Annex,President,,Green,Jill Stein,2
Baldwin,West Thomas,President,,Green,Jill Stein,3
Baldwin,Coopers,President,,Green,Jill Stein,2
Baldwin,West Baldwin,President,,Green,Jill Stein,1
Baldwin,South Milledgeville,President,,Green,Jill Stein,1
Baldwin,Coopers,President,,Libertarian,Chase Oliver,3
Baldwin,Scottsboro,President,,Libertarian,Chase Oliver,1
Baldwin,East Milledgeville,President,,Libertarian,Chase Oliver,1
Baldwin,West Hardwick,President,,Libertarian,Chase Oliver,10
Baldwin,Meriwether,President,,Libertarian,Chase Oliver,7
Baldwin,East Hardwick,President,,Libertarian,Chase Oliver,2
Baldwin,East Baldwin,President,,Libertarian,Chase Oliver,11
Baldwin,Courthouse,President,,Libertarian,Chase Oliver,0
Baldwin,North Baldwin,President,,Libertarian,Chase Oliver,7
Baldwin,West Baldwin,President,,Libertarian,Chase Oliver,5
Baldwin,South Milledgeville,President,,Libertarian,Chase Oliver,3
Baldwin,North Milledgeville,President,,Libertarian,Chase Oliver,5
Baldwin,West Thomas,President,,Libertarian,Chase Oliver,2
Baldwin,City Hall Annex,President,,Libertarian,Chase Oliver,2
Baldwin,Coopers,President,,Republican,Donald J. Trump,889
Baldwin,East Hardwick,President,,Republican,Donald J. Trump,141
Baldwin,North Milledgeville,President,,Republican,Donald J. Trump,777
Baldwin,Scottsboro,President,,Republican,Donald J. Trump,453
Baldwin,South Milledgeville,President,,Republican,Donald J. Trump,163
Baldwin,West Hardwick,President,,Republican,Donald J. Trump,450
Baldwin,North Baldwin,President,,Republican,Donald J. Trump,2020
Baldwin,Meriwether,President,,Republican,Donald J. Trump,1554
Baldwin,East Milledgeville,President,,Republican,Donald J. Trump,161
Baldwin,East Baldwin,President,,Republican,Donald J. Trump,1672
Baldwin,Courthouse,President,,Republican,Donald J. Trump,118
Baldwin,City Hall Annex,President,,Republican,Donald J. Trump,144
Baldwin,West Baldwin,President,,Republican,Donald J. Trump,813
Baldwin,West Thomas,President,,Republican,Donald J. Trump,219
Baldwin,East Baldwin,State House,128,Democrat,Mack Jackson,1195
Baldwin,East Baldwin,State House,128,Republican,Tracy Wheeler,1618
Baldwin,West Hardwick,State House,149,Democrat,Floyd Griffin,1324
Baldwin,South Milledgeville,State House,149,Democrat,Floyd Griffin,504
Baldwin,Coopers,State House,149,Democrat,Floyd Griffin,296
Baldwin,West Baldwin,State House,149,Democrat,Floyd Griffin,583
Baldwin,East Hardwick,State House,149,Democrat,Floyd Griffin,456
Baldwin,West Thomas,State House,149,Democrat,Floyd Griffin,646
Baldwin,North Baldwin,State House,149,Democrat,Floyd Griffin,704
Baldwin,Meriwether,State House,149,Democrat,Floyd Griffin,784
Baldwin,Scottsboro,State House,149,Democrat,Floyd Griffin,237
Baldwin,East Milledgeville,State House,149,Democrat,Floyd Griffin,461
Baldwin,Courthouse,State House,149,Democrat,Floyd Griffin,147
Baldwin,North Milledgeville,State House,149,Democrat,Floyd Griffin,741
Baldwin,City Hall Annex,State House,149,Democrat,Floyd Griffin,299
Baldwin,West Baldwin,State House,149,Republican,Ken Vance,836
Baldwin,West Thomas,State House,149,Republican,Ken Vance,247
Baldwin,West Hardwick,State House,149,Republican,Ken Vance,491
Baldwin,Scottsboro,State House,149,Republican,Ken Vance,460
Baldwin,East Hardwick,State House,149,Republican,Ken Vance,150
Baldwin,Courthouse,State House,149,Republican,Ken Vance,131
Baldwin,Meriwether,State House,149,Republican,Ken Vance,1642
Baldwin,City Hall Annex,State House,149,Republican,Ken Vance,156
Baldwin,East Milledgeville,State House,149,Republican,Ken Vance,185
Baldwin,Coopers,State House,149,Republican,Ken Vance,905
Baldwin,South Milledgeville,State House,149,Republican,Ken Vance,189
Baldwin,North Milledgeville,State House,149,Republican,Ken Vance,880
Baldwin,North Baldwin,State House,149,Republican,Ken Vance,2149
Baldwin,West Baldwin,State Senate,25,Republican,"Ricky ""Rick"" Williams",1123
Baldwin,East Milledgeville,State Senate,25,Republican,"Ricky ""Rick"" Williams",441
Baldwin,East Hardwick,State Senate,25,Republican,"Ricky ""Rick"" Williams",362
Baldwin,Courthouse,State Senate,25,Republican,"Ricky ""Rick"" Williams",211
Baldwin,North Baldwin,State Senate,25,Republican,"Ricky ""Rick"" Williams",2520
Baldwin,Coopers,State Senate,25,Republican,"Ricky ""Rick"" Williams",1049
Baldwin,East Baldwin,State Senate,25,Republican,"Ricky ""Rick"" Williams",2331
Baldwin,West Thomas,State Senate,25,Republican,"Ricky ""Rick"" Williams",573
Baldwin,North Milledgeville,State Senate,25,Republican,"Ricky ""Rick"" Williams",1303
Baldwin,West Hardwick,State Senate,25,Republican,"Ricky ""Rick"" Williams",1162
Baldwin,Meriwether,State Senate,25,Republican,"Ricky ""Rick"" Williams",2084
Baldwin,Scottsboro,State Senate,25,Republican,"Ricky ""Rick"" Williams",595
Baldwin,South Milledgeville,State Senate,25,Republican,"Ricky ""Rick"" Williams",451
Baldwin,City Hall Annex,State Senate,25,Republican,"Ricky ""Rick"" Williams",322
Baldwin,East Hardwick,U.S. House,8,Democrat,Darrius Butler,418
Baldwin,East Milledgeville,U.S. House,8,Democrat,Darrius Butler,453
Baldwin,West Thomas,U.S. House,8,Democrat,Darrius Butler,611
Baldwin,East Baldwin,U.S. House,8,Democrat,Darrius Butler,1112
Baldwin,South Milledgeville,U.S. House,8,Democrat,Darrius Butler,484
Baldwin,West Hardwick,U.S. House,8,Democrat,Darrius Butler,1226
Baldwin,City Hall Annex,U.S. House,8,Democrat,Darrius Butler,276
Baldwin,Coopers,U.S. House,8,Democrat,Darrius Butler,282
Baldwin,Meriwether,U.S. House,8,Democrat,Darrius Butler,803
Baldwin,North Baldwin,U.S. House,8,Democrat,Darrius Butler,719
Baldwin,North Milledgeville,U.S. House,8,Democrat,Darrius Butler,747
Baldwin,Scottsboro,U.S. House,8,Democrat,Darrius Butler,227
Baldwin,West Baldwin,U.S. House,8,Democrat,Darrius Butler,554
Baldwin,Courthouse,U.S. House,8,Democrat,Darrius Butler,150
Baldwin,Coopers,U.S. House,8,Republican,Austin Scott,880
Baldwin,West Thomas,U.S. House,8,Republican,Austin Scott,230
Baldwin,South Milledgeville,U.S. House,8,Republican,Austin Scott,175
Baldwin,Scottsboro,U.S. House,8,Republican,Austin Scott,441
Baldwin,West Hardwick,U.S. House,8,Republican,Austin Scott,481
Baldwin,Courthouse,U.S. House,8,Republican,Austin Scott,119
Baldwin,East Hardwick,U.S. House,8,Republican,Austin Scott,135
Baldwin,North Baldwin,U.S. House,8,Republican,Austin Scott,2056
Baldwin,East Baldwin,U.S. House,8,Republican,Austin Scott,1714
Baldwin,East Milledgeville,U.S. House,8,Republican,Austin Scott,172
Baldwin,North Milledgeville,U.S. House,8,Republican,Austin Scott,840
Baldwin,Meriwether,U.S. House,8,Republican,Austin Scott,1583
Baldwin,City Hall Annex,U.S. House,8,Republican,Austin Scott,160
Baldwin,West Baldwin,U.S. House,8,Republican,Austin Scott,824
Banks,Grove River,District Attorney,Piedmont Judicial Circuit,Republican,J. Bradley Smith,474
Banks,Golden Hill,District Attorney,Piedmont Judicial Circuit,Republican,J. Bradley Smith,613
Banks,Poplar Springs,District Attorney,Piedmont Judicial Circuit,Republican,J. Bradley Smith,1303
Banks,Hollingsworth,District Attorney,Piedmont Judicial Circuit,Republican,J. Bradley Smith,494
Banks,Homer,District Attorney,Piedmont Judicial Circuit,Republican,J. Bradley Smith,1108
Banks,Washington,District Attorney,Piedmont Judicial Circuit,Republican,J. Bradley Smith,561
Banks,Columbia,District Attorney,Piedmont Judicial Circuit,Republican,J. Bradley Smith,287
Banks,Bushville,District Attorney,Piedmont Judicial Circuit,Republican,J. Bradley Smith,683
Banks,Davids,District Attorney,Piedmont Judicial Circuit,Republican,J. Bradley Smith,1339
Banks,Baldwin,District Attorney,Piedmont Judicial Circuit,Republican,J. Bradley Smith,627
Banks,Berlin,District Attorney,Piedmont Judicial Circuit,Republican,J. Bradley Smith,554
Banks,Anderson,District Attorney,Piedmont Judicial Circuit,Republican,J. Bradley Smith,1085
Banks,Wilmonts,District Attorney,Piedmont Judicial Circuit,Republican,J. Bradley Smith,490
Banks,Wilmonts,President,,Democrat,Kamala D. Harris,39
Banks,Poplar Springs,President,,Democrat,Kamala D. Harris,149
Banks,Berlin,President,,Democrat,Kamala D. Harris,77
Banks,Washington,President,,Democrat,Kamala D. Harris,82
Banks,Homer,President,,Democrat,Kamala D. Harris,120
Banks,Davids,President,,Democrat,Kamala D. Harris,174
Banks,Baldwin,President,,Democrat,Kamala D. Harris,103
Banks,Hollingsworth,President,,Democrat,Kamala D. Harris,45
Banks,Columbia,President,,Democrat,Kamala D. Harris,33
Banks,Anderson,President,,Democrat,Kamala D. Harris,114
Banks,Grove River,President,,Democrat,Kamala D. Harris,39
Banks,Golden Hill,President,,Democrat,Kamala D. Harris,70
Banks,Bushville,President,,Democrat,Kamala D. Harris,91
Banks,Berlin,President,,Green,Jill Stein,1
Banks,Homer,President,,Green,Jill Stein,1
Banks,Columbia,President,,Green,Jill Stein,0
Banks,Davids,President,,Green,Jill Stein,0
Banks,Wilmonts,President,,Green,Jill Stein,0
Banks,Golden Hill,President,,Green,Jill Stein,0
Banks,Grove River,President,,Green,Jill Stein,0
Banks,Baldwin,President,,Green,Jill Stein,2
Banks,Anderson,President,,Green,Jill Stein,5
Banks,Washington,President,,Green,Jill Stein,0
Banks,Poplar Springs,President,,Green,Jill Stein,0
Banks,Hollingsworth,President,,Green,Jill Stein,1
Banks,Bushville,President,,Green,Jill Stein,0
Banks,Grove River,President,,Libertarian,Chase Oliver,1
Banks,Hollingsworth,President,,Libertarian,Chase Oliver,1
Banks,Golden Hill,President,,Libertarian,Chase Oliver,0
Banks,Poplar Springs,President,,Libertarian,Chase Oliver,1
Banks,Anderson,President,,Libertarian,Chase Oliver,3
Banks,Columbia,President,,Libertarian,Chase Oliver,0
Banks,Baldwin,President,,Libertarian,Chase Oliver,1
Banks,Wilmonts,President,,Libertarian,Chase Oliver,1
Banks,Homer,President,,Libertarian,Chase Oliver,2
Banks,Washington,President,,Libertarian,Chase Oliver,0
Banks,Berlin,President,,Libertarian,Chase Oliver,0
Banks,Bushville,President,,Libertarian,Chase Oliver,0
Banks,Davids,President,,Libertarian,Chase Oliver,5
Banks,Davids,President,,Republican,Donald J. Trump,1282
Banks,Poplar Springs,President,,Republican,Donald J. Trump,1285
Banks,Hollingsworth,President,,Republican,Donald J. Trump,490
Banks,Homer,President,,Republican,Donald J. Trump,1091
Banks,Grove River,President,,Republican,Donald J. Trump,470
Banks,Berlin,President,,Republican,Donald J. Trump,533
Banks,Anderson,President,,Republican,Donald J. Trump,1058
Banks,Baldwin,President,,Republican,Donald J. Trump,587
Banks,Columbia,President,,Republican,Donald J. Trump,274
Banks,Bushville,President,,Republican,Donald J. Trump,658
Banks,Golden Hill,President,,Republican,Donald J. Trump,604
Banks,Wilmonts,President,,Republican,Donald J. Trump,485
Banks,Washington,President,,Republican,Donald J. Trump,541
Banks,Berlin,State House,32,Republican,Chris Erwin,556
Banks,Grove River,State House,32,Republican,Chris Erwin,473
Banks,Golden Hill,State House,32,Republican,Chris Erwin,617
Banks,Davids,State House,32,Republican,Chris Erwin,1343
Banks,Homer,State House,32,Republican,Chris Erwin,1123
Banks,Hollingsworth,State House,32,Republican,Chris Erwin,498
Banks,Poplar Springs,State House,32,Republican,Chris Erwin,1312
Banks,Baldwin,State House,32,Republican,Chris Erwin,626
Banks,Anderson,State House,32,Republican,Chris Erwin,1090
Banks,Wilmonts,State House,32,Republican,Chris Erwin,486
Banks,Bushville,State House,32,Republican,Chris Erwin,685
Banks,Columbia,State House,32,Republican,Chris Erwin,286
Banks,Washington,State House,32,Republican,Chris Erwin,568
Banks,Poplar Springs,State Senate,50,Democrat,June Krise,147
Banks,Baldwin,State Senate,50,Democrat,June Krise,95
Banks,Golden Hill,State Senate,50,Democrat,June Krise,68
Banks,Berlin,State Senate,50,Democrat,June Krise,67
Banks,Bushville,State Senate,50,Democrat,June Krise,87
Banks,Davids,State Senate,50,Democrat,June Krise,145
Banks,Washington,State Senate,50,Democrat,June Krise,72
Banks,Wilmonts,State Senate,50,Democrat,June Krise,41
Banks,Hollingsworth,State Senate,50,Democrat,June Krise,45
Banks,Homer,State Senate,50,Democrat,June Krise,103
Banks,Anderson,State Senate,50,Democrat,June Krise,106
Banks,Columbia,State Senate,50,Democrat,June Krise,27
Banks,Grove River,State Senate,50,Democrat,June Krise,32
Banks,Baldwin,State Senate,50,Republican,Bo Hatchett,591
Banks,Columbia,State Senate,50,Republican,Bo Hatchett,273
Banks,Washington,State Senate,50,Republican,Bo Hatchett,537
Banks,Anderson,State Senate,50,Republican,Bo Hatchett,1040
Banks,Davids,State Senate,50,Republican,Bo Hatchett,1284
Banks,Grove River,State Senate,50,Republican,Bo Hatchett,460
Banks,Golden Hill,State Senate,50,Republican,Bo Hatchett,589
Banks,Berlin,State Senate,50,Republican,Bo Hatchett,538
Banks,Bushville,State Senate,50,Republican,Bo Hatchett,643
Banks,Poplar Springs,State Senate,50,Republican,Bo Hatchett,1248
Banks,Homer,State Senate,50,Republican,Bo Hatchett,1080
Banks,Hollingsworth,State Senate,50,Republican,Bo Hatchett,486
Banks,Wilmonts,State Senate,50,Republican,Bo Hatchett,475
Banks,Baldwin,U.S. House,9,Democrat,Tambrei Cash,99
Banks,Anderson,U.S. House,9,Democrat,Tambrei Cash,105
Banks,Berlin,U.S. House,9,Democrat,Tambrei Cash,69
Banks,Hollingsworth,U.S. House,9,Democrat,Tambrei Cash,44
Banks,Wilmonts,U.S. House,9,Democrat,Tambrei Cash,39
Banks,Washington,U.S. House,9,Democrat,Tambrei Cash,72
Banks,Poplar Springs,U.S. House,9,Democrat,Tambrei Cash,141
Banks,Homer,U.S. House,9,Democrat,Tambrei Cash,97
Banks,Grove River,U.S. House,9,Democrat,Tambrei Cash,35
Banks,Columbia,U.S. House,9,Democrat,Tambrei Cash,28
Banks,Golden Hill,U.S. House,9,Democrat,Tambrei Cash,70
Banks,Davids,U.S. House,9,Democrat,Tambrei Cash,147
