country,office,district,party,candidate,votes
BERRIEN,State Senate,7,Republican,DENNIS O'CONNOR,257
CAMDEN,State Senate,7,Republican,DENNIS O'CONNOR,668
CHARLTON,State Senate,7,Republican,DENNIS O'CONNOR,200
CLINCH,State Senate,7,Republican,DENNIS O'CONNOR,70
COOK,State Senate,7,Republican,DENNIS O'CONNOR,54
ECHOLS,State Senate,7,Republican,DENNIS O'CONNOR,6
LANIER,State Senate,7,Republican,DENNIS O'CONNOR,85
TIFT,State Senate,7,Republican,DENNIS O'CONNOR,470
WARE,State Senate,7,Republican,DENNIS O'CONNOR,1446
BROOKS,State Senate,8,Democrat,TIM GOLDEN,845
COOK,State Senate,8,Democrat,TIM GOLDEN,416
LOWNDES,State Senate,8,Democrat,TIM GOLDEN,2799
THOMAS,State Senate,8,Democrat,TIM GOLDEN,614
GWINNETT,State Senate,9,Republican,DON BALFOUR,16232
DEKALB,State Senate,10,Democrat,NADINE THOMAS,13369
HENRY,State Senate,10,Democrat,NADINE THOMAS,1895
COLQUITT,State Senate,11,Democrat,HAROLD RAGAN,805
COLQUITT,State Senate,11,Democrat,MURRAY CAMPBELL,514
DECATUR,State Senate,11,Democrat,HAROLD RAGAN,1265
DECATUR,State Senate,11,Democrat,MURRAY CAMPBELL,1289
EARLY,State Senate,11,Democrat,HAROLD RAGAN,1031
EARLY,State Senate,11,Democrat,MURRAY CAMPBELL,522
GRADY,State Senate,11,Democrat,HAROLD RAGAN,2010
GRADY,State Senate,11,Democrat,MURRAY CAMPBELL,889
MILLER,State Senate,11,Democrat,HAROLD RAGAN,644
MILLER,State Senate,11,Democrat,MURRAY CAMPBELL,478
MITCHELL,State Senate,11,Democrat,HAROLD RAGAN,631
MITCHELL,State Senate,11,Democrat,MURRAY CAMPBELL,639
SEMINOLE,State Senate,11,Democrat,HAROLD RAGAN,599
SEMINOLE,State Senate,11,Democrat,MURRAY CAMPBELL,458
THOMAS,State Senate,11,Democrat,HAROLD RAGAN,671
THOMAS,State Senate,11,Democrat,MURRAY CAMPBELL,264
COLQUITT,State Senate,11,Republican,JOHN BULLOCH,1159
DECATUR,State Senate,11,Republican,JOHN BULLOCH,303
EARLY,State Senate,11,Republican,JOHN BULLOCH,200
GRADY,State Senate,11,Republican,JOHN BULLOCH,354
MILLER,State Senate,11,Republican,JOHN BULLOCH,38
MITCHELL,State Senate,11,Republican,JOHN BULLOCH,275
SEMINOLE,State Senate,11,Republican,JOHN BULLOCH,102
THOMAS,State Senate,11,Republican,JOHN BULLOCH,1039
BAKER,State Senate,12,Democrat,JOHN WHITE,209
BAKER,State Senate,12,Democrat,MIKE VON BREMEN,270
CALHOUN,State Senate,12,Democrat,JOHN WHITE,543
CALHOUN,State Senate,12,Democrat,MIKE VON BREMEN,554
CLAY,State Senate,12,Democrat,JOHN WHITE,111
CLAY,State Senate,12,Democrat,MIKE VON BREMEN,355
DOUGHERTY,State Senate,12,Democrat,JOHN WHITE,5928
DOUGHERTY,State Senate,12,Democrat,MIKE VON BREMEN,8203
LEE,State Senate,12,Democrat,JOHN WHITE,107
LEE,State Senate,12,Democrat,MIKE VON BREMEN,627
MITCHELL,State Senate,12,Democrat,JOHN WHITE,740
MITCHELL,State Senate,12,Democrat,MIKE VON BREMEN,833
RANDOLPH,State Senate,12,Democrat,JOHN WHITE,702
RANDOLPH,State Senate,12,Democrat,MIKE VON BREMEN,1209
TERRELL,State Senate,12,Democrat,JOHN WHITE,423
TERRELL,State Senate,12,Democrat,MIKE VON BREMEN,756
BEN HILL,State Senate,13,Democrat,ROONEY BOWEN,605
COLQUITT,State Senate,13,Democrat,ROONEY BOWEN,493
CRISP,State Senate,13,Democrat,ROONEY BOWEN,1040
DOOLY,State Senate,13,Democrat,ROONEY BOWEN,823
DOUGHERTY,State Senate,13,Democrat,ROONEY BOWEN,890
IRWIN,State Senate,13,Democrat,ROONEY BOWEN,383
LEE,State Senate,13,Democrat,ROONEY BOWEN,58
TIFT,State Senate,13,Democrat,ROONEY BOWEN,879
TURNER,State Senate,13,Democrat,ROONEY BOWEN,593
WILCOX,State Senate,13,Democrat,ROONEY BOWEN,315
WORTH,State Senate,13,Democrat,ROONEY BOWEN,1507
BEN HILL,State Senate,13,Republican,CARDEN SUMMERS,380
BEN HILL,State Senate,13,Republican,KERRY CLABAUGH,198
COLQUITT,State Senate,13,Republican,CARDEN SUMMERS,424
COLQUITT,State Senate,13,Republican,KERRY CLABAUGH,272
CRISP,State Senate,13,Republican,CARDEN SUMMERS,623
CRISP,State Senate,13,Republican,KERRY CLABAUGH,442
DOOLY,State Senate,13,Republican,CARDEN SUMMERS,247
DOOLY,State Senate,13,Republican,KERRY CLABAUGH,179
DOUGHERTY,State Senate,13,Republican,CARDEN SUMMERS,153
DOUGHERTY,State Senate,13,Republican,KERRY CLABAUGH,85
IRWIN,State Senate,13,Republican,CARDEN SUMMERS,275
IRWIN,State Senate,13,Republican,KERRY CLABAUGH,262
LEE,State Senate,13,Republican,CARDEN SUMMERS,6
LEE,State Senate,13,Republican,KERRY CLABAUGH,4
TIFT,State Senate,13,Republican,CARDEN SUMMERS,798
TIFT,State Senate,13,Republican,KERRY CLABAUGH,488
TURNER,State Senate,13,Republican,CARDEN SUMMERS,106
TURNER,State Senate,13,Republican,KERRY CLABAUGH,51
WILCOX,State Senate,13,Republican,CARDEN SUMMERS,218
WILCOX,State Senate,13,Republican,KERRY CLABAUGH,235
WORTH,State Senate,13,Republican,CARDEN SUMMERS,500
WORTH,State Senate,13,Republican,KERRY CLABAUGH,406
CHATTAHOOCHEE,State Senate,14,Democrat,GEORGE HOOKS,83
DOUGHERTY,State Senate,14,Democrat,GEORGE HOOKS,389
HARRIS,State Senate,14,Democrat,GEORGE HOOKS,101
LEE,State Senate,14,Democrat,GEORGE HOOKS,497
MACON,State Senate,14,Democrat,GEORGE HOOKS,672
MARION,State Senate,14,Democrat,GEORGE HOOKS,536
MERIWETHER,State Senate,14,Democrat,GEORGE HOOKS,653
MUSCOGEE,State Senate,14,Democrat,GEORGE HOOKS,375
QUITMAN,State Senate,14,Democrat,GEORGE HOOKS,245
SCHLEY,State Senate,14,Democrat,GEORGE HOOKS,172
STEWART,State Senate,14,Democrat,GEORGE HOOKS,356
SUMTER,State Senate,14,Democrat,GEORGE HOOKS,1438
TALBOT,State Senate,14,Democrat,GEORGE HOOKS,529
TAYLOR,State Senate,14,Democrat,GEORGE HOOKS,914
UPSON,State Senate,14,Democrat,GEORGE HOOKS,30
WEBSTER,State Senate,14,Democrat,GEORGE HOOKS,138
CHATTAHOOCHEE,State Senate,14,Republican,TYRON ELLIOTT,50
DOUGHERTY,State Senate,14,Republican,TYRON ELLIOTT,61
HARRIS,State Senate,14,Republican,TYRON ELLIOTT,116
LEE,State Senate,14,Republican,TYRON ELLIOTT,856
MACON,State Senate,14,Republican,TYRON ELLIOTT,159
MARION,State Senate,14,Republican,TYRON ELLIOTT,145
MERIWETHER,State Senate,14,Republican,TYRON ELLIOTT,246
MUSCOGEE,State Senate,14,Republican,TYRON ELLIOTT,268
QUITMAN,State Senate,14,Republican,TYRON ELLIOTT,1
SCHLEY,State Senate,14,Republican,TYRON ELLIOTT,66
STEWART,State Senate,14,Republican,TYRON ELLIOTT,46
SUMTER,State Senate,14,Republican,TYRON ELLIOTT,420
TALBOT,State Senate,14,Republican,TYRON ELLIOTT,144
TAYLOR,State Senate,14,Republican,TYRON ELLIOTT,215
UPSON,State Senate,14,Republican,TYRON ELLIOTT,89
WEBSTER,State Senate,14,Republican,TYRON ELLIOTT,47
MUSCOGEE,State Senate,15,Democrat,ED HARBISON,9662
BIBB,State Senate,16,Democrat,PAUL OLSON,1746
HARRIS,State Senate,16,Democrat,PAUL OLSON,88
HOUSTON,State Senate,16,Democrat,PAUL OLSON,895
LAMAR,State Senate,16,Democrat,PAUL OLSON,503
MERIWETHER,State Senate,16,Democrat,PAUL OLSON,197
MONROE,State Senate,16,Democrat,PAUL OLSON,298
MUSCOGEE,State Senate,16,Democrat,PAUL OLSON,1736
PEACH,State Senate,16,Democrat,PAUL OLSON,203
PIKE,State Senate,16,Democrat,PAUL OLSON,141
UPSON,State Senate,16,Democrat,PAUL OLSON,71
BIBB,State Senate,16,Republican,BURT WILKERSON,3232
BIBB,State Senate,16,Republican,SETH HARP,1921
HARRIS,State Senate,16,Republican,BURT WILKERSON,108
HARRIS,State Senate,16,Republican,SETH HARP,369
HOUSTON,State Senate,16,Republican,BURT WILKERSON,2082
HOUSTON,State Senate,16,Republican,SETH HARP,2284
LAMAR,State Senate,16,Republican,BURT WILKERSON,322
LAMAR,State Senate,16,Republican,SETH HARP,417
MERIWETHER,State Senate,16,Republican,BURT WILKERSON,31
MERIWETHER,State Senate,16,Republican,SETH HARP,32
MONROE,State Senate,16,Republican,BURT WILKERSON,333
MONROE,State Senate,16,Republican,SETH HARP,261
MUSCOGEE,State Senate,16,Republican,BURT WILKERSON,822
MUSCOGEE,State Senate,16,Republican,SETH HARP,3817
PEACH,State Senate,16,Republican,BURT WILKERSON,353
PEACH,State Senate,16,Republican,SETH HARP,435
PIKE,State Senate,16,Republican,BURT WILKERSON,144
PIKE,State Senate,16,Republican,SETH HARP,236
UPSON,State Senate,16,Republican,BURT WILKERSON,71
UPSON,State Senate,16,Republican,SETH HARP,107
BUTTS,State Senate,17,Republican,DIANE MASSENGALE,132
BUTTS,State Senate,17,Republican,MIKE CROTTS,311
FAYETTE,State Senate,17,Republican,DIANE MASSENGALE,406
FAYETTE,State Senate,17,Republican,MIKE CROTTS,507
HENRY,State Senate,17,Republican,DIANE MASSENGALE,1458
HENRY,State Senate,17,Republican,MIKE CROTTS,3004
JASPER,State Senate,17,Republican,DIANE MASSENGALE,116
JASPER,State Senate,17,Republican,MIKE CROTTS,313
NEWTON,State Senate,17,Republican,DIANE MASSENGALE,720
NEWTON,State Senate,17,Republican,MIKE CROTTS,1931
PUTNAM,State Senate,17,Republican,DIANE MASSENGALE,307
PUTNAM,State Senate,17,Republican,MIKE CROTTS,571
ROCKDALE,State Senate,17,Republican,DIANE MASSENGALE,524
ROCKDALE,State Senate,17,Republican,MIKE CROTTS,1696
SPALDING,State Senate,17,Republican,DIANE MASSENGALE,166
SPALDING,State Senate,17,Republican,MIKE CROTTS,262
WALTON,State Senate,17,Republican,DIANE MASSENGALE,840
WALTON,State Senate,17,Republican,MIKE CROTTS,1424
BIBB,State Senate,18,Democrat,MIKE MOORE,29
BLECKLEY,State Senate,18,Democrat,MIKE MOORE,325
CRAWFORD,State Senate,18,Democrat,MIKE MOORE,587
HOUSTON,State Senate,18,Democrat,MIKE MOORE,2334
LAMAR,State Senate,18,Democrat,MIKE MOORE,576
MONROE,State Senate,18,Democrat,MIKE MOORE,1022
PEACH,State Senate,18,Democrat,MIKE MOORE,907
PULASKI,State Senate,18,Democrat,MIKE MOORE,273
UPSON,State Senate,18,Democrat,MIKE MOORE,1016
BIBB,State Senate,18,Republican,ROSS TOLLESON,73
BLECKLEY,State Senate,18,Republican,ROSS TOLLESON,529
CRAWFORD,State Senate,18,Republican,ROSS TOLLESON,386
HOUSTON,State Senate,18,Republican,ROSS TOLLESON,5017
LAMAR,State Senate,18,Republican,ROSS TOLLESON,304
MONROE,State Senate,18,Republican,ROSS TOLLESON,587
PEACH,State Senate,18,Republican,ROSS TOLLESON,296
PULASKI,State Senate,18,Republican,ROSS TOLLESON,490
UPSON,State Senate,18,Republican,ROSS TOLLESON,852
APPLING,State Senate,19,Democrat,VAN STREAT SR.,765
ATKINSON,State Senate,19,Democrat,VAN STREAT SR.,218
BACON,State Senate,19,Democrat,VAN STREAT SR.,403
BEN HILL,State Senate,19,Democrat,VAN STREAT SR.,393
BRANTLEY,State Senate,19,Democrat,VAN STREAT SR.,718
COFFEE,State Senate,19,Democrat,VAN STREAT SR.,1621
DODGE,State Senate,19,Democrat,VAN STREAT SR.,118
JEFF DAVIS,State Senate,19,Democrat,VAN STREAT SR.,584
PIERCE,State Senate,19,Democrat,VAN STREAT SR.,197
TELFAIR,State Senate,19,Democrat,VAN STREAT SR.,424
TOOMBS,State Senate,19,Democrat,VAN STREAT SR.,246
WAYNE,State Senate,19,Democrat,VAN STREAT SR.,262
WILCOX,State Senate,19,Democrat,VAN STREAT SR.,22
APPLING,State Senate,19,Republican,TOMMIE WILLIAMS,729
ATKINSON,State Senate,19,Republican,TOMMIE WILLIAMS,285
BACON,State Senate,19,Republican,TOMMIE WILLIAMS,222
BEN HILL,State Senate,19,Republican,TOMMIE WILLIAMS,101
BRANTLEY,State Senate,19,Republican,TOMMIE WILLIAMS,514
COFFEE,State Senate,19,Republican,TOMMIE WILLIAMS,755
DODGE,State Senate,19,Republican,TOMMIE WILLIAMS,71
JEFF DAVIS,State Senate,19,Republican,TOMMIE WILLIAMS,411
PIERCE,State Senate,19,Republican,TOMMIE WILLIAMS,586
TELFAIR,State Senate,19,Republican,TOMMIE WILLIAMS,123
TOOMBS,State Senate,19,Republican,TOMMIE WILLIAMS,720
WAYNE,State Senate,19,Republican,TOMMIE WILLIAMS,89
WILCOX,State Senate,19,Republican,TOMMIE WILLIAMS,32
DODGE,State Senate,20,Democrat,HUGH GILLIS SR.,632
EMANUEL,State Senate,20,Democrat,HUGH GILLIS SR.,743
JOHNSON,State Senate,20,Democrat,HUGH GILLIS SR.,384
LAURENS,State Senate,20,Democrat,HUGH GILLIS SR.,2575
MONTGOMERY,State Senate,20,Democrat,HUGH GILLIS SR.,635
TOOMBS,State Senate,20,Democrat,HUGH GILLIS SR.,540
TREUTLEN,State Senate,20,Democrat,HUGH GILLIS SR.,489
WASHINGTON,State Senate,20,Democrat,HUGH GILLIS SR.,2783
WHEELER,State Senate,20,Democrat,HUGH GILLIS SR.,184
WILKINSON,State Senate,20,Democrat,HUGH GILLIS SR.,465
DODGE,State Senate,20,Republican,FELIX MORING,532
EMANUEL,State Senate,20,Republican,FELIX MORING,198
JOHNSON,State Senate,20,Republican,FELIX MORING,341
LAURENS,State Senate,20,Republican,FELIX MORING,56
MONTGOMERY,State Senate,20,Republican,FELIX MORING,312
TOOMBS,State Senate,20,Republican,FELIX MORING,432
TREUTLEN,State Senate,20,Republican,FELIX MORING,172
WASHINGTON,State Senate,20,Republican,FELIX MORING,163
WHEELER,State Senate,20,Republican,FELIX MORING,118
WILKINSON,State Senate,20,Republican,FELIX MORING,106
CHEROKEE,State Senate,21,Republican,ROBERT LAMUTT,7005
COBB,State Senate,21,Republican,ROBERT LAMUTT,6247
RICHMOND,State Senate,22,Democrat,CHARLES W. WALKER,7202
RICHMOND,State Senate,22,Republican,RANDY HALL,4250
BULLOCH,State Senate,23,Democrat,DON CHEEKS,385
BURKE,State Senate,23,Democrat,DON CHEEKS,750
CANDLER,State Senate,23,Democrat,DON CHEEKS,258
COLUMBIA,State Senate,23,Democrat,DON CHEEKS,63
EMANUEL,State Senate,23,Democrat,DON CHEEKS,634
JEFFERSON,State Senate,23,Democrat,DON CHEEKS,1479
RICHMOND,State Senate,23,Democrat,DON CHEEKS,2241
BUTTS,State Senate,24,Democrat,ANNA HARGIS,234
COLUMBIA,State Senate,24,Democrat,ANNA HARGIS,1416
GLASCOCK,State Senate,24,Democrat,ANNA HARGIS,26
JONES,State Senate,24,Democrat,ANNA HARGIS,688
LINCOLN,State Senate,24,Democrat,ANNA HARGIS,308
MCDUFFIE,State Senate,24,Democrat,ANNA HARGIS,253
MONROE,State Senate,24,Democrat,ANNA HARGIS,249
SPALDING,State Senate,24,Democrat,ANNA HARGIS,346
WARREN,State Senate,24,Democrat,ANNA HARGIS,34
WASHINGTON,State Senate,24,Democrat,ANNA HARGIS,56
WILKES,State Senate,24,Democrat,ANNA HARGIS,270
WILKINSON,State Senate,24,Democrat,ANNA HARGIS,39
BUTTS,State Senate,24,Republican,JOEY BRUSH,174
COLUMBIA,State Senate,24,Republican,JOEY BRUSH,9111
GLASCOCK,State Senate,24,Republican,JOEY BRUSH,147
JONES,State Senate,24,Republican,JOEY BRUSH,798
LINCOLN,State Senate,24,Republican,JOEY BRUSH,458
MCDUFFIE,State Senate,24,Republican,JOEY BRUSH,785
MONROE,State Senate,24,Republican,JOEY BRUSH,491
SPALDING,State Senate,24,Republican,JOEY BRUSH,1083
WARREN,State Senate,24,Republican,JOEY BRUSH,26
WASHINGTON,State Senate,24,Republican,JOEY BRUSH,7
WILKES,State Senate,24,Republican,JOEY BRUSH,45
WILKINSON,State Senate,24,Republican,JOEY BRUSH,14
BALDWIN,State Senate,25,Democrat,BILL MANGUM,341
BALDWIN,State Senate,25,Democrat,FAYE SMITH,2838
BALDWIN,State Senate,25,Democrat,WILBUR BAUGH,1007
GREENE,State Senate,25,Democrat,BILL MANGUM,209
GREENE,State Senate,25,Democrat,FAYE SMITH,1253
GREENE,State Senate,25,Democrat,WILBUR BAUGH,441
HANCOCK,State Senate,25,Democrat,BILL MANGUM,130
HANCOCK,State Senate,25,Democrat,FAYE SMITH,1648
HANCOCK,State Senate,25,Democrat,WILBUR BAUGH,330
JONES,State Senate,25,Democrat,BILL MANGUM,24
JONES,State Senate,25,Democrat,FAYE SMITH,134
JONES,State Senate,25,Democrat,WILBUR BAUGH,60
MORGAN,State Senate,25,Democrat,BILL MANGUM,101
MORGAN,State Senate,25,Democrat,FAYE SMITH,657
MORGAN,State Senate,25,Democrat,WILBUR BAUGH,120
NEWTON,State Senate,25,Democrat,BILL MANGUM,205
NEWTON,State Senate,25,Democrat,FAYE SMITH,908
NEWTON,State Senate,25,Democrat,WILBUR BAUGH,193
PUTNAM,State Senate,25,Democrat,BILL MANGUM,209
PUTNAM,State Senate,25,Democrat,FAYE SMITH,568
PUTNAM,State Senate,25,Democrat,WILBUR BAUGH,146
WALTON,State Senate,25,Democrat,BILL MANGUM,184
WALTON,State Senate,25,Democrat,FAYE SMITH,647
WALTON,State Senate,25,Democrat,WILBUR BAUGH,164
BALDWIN,State Senate,25,Republican,HUBERT TOWNLEY,828
GREENE,State Senate,25,Republican,HUBERT TOWNLEY,648
HANCOCK,State Senate,25,Republican,HUBERT TOWNLEY,65
JONES,State Senate,25,Republican,HUBERT TOWNLEY,75
MORGAN,State Senate,25,Republican,HUBERT TOWNLEY,950
NEWTON,State Senate,25,Republican,HUBERT TOWNLEY,1355
PUTNAM,State Senate,25,Republican,HUBERT TOWNLEY,162
WALTON,State Senate,25,Republican,HUBERT TOWNLEY,1618
BIBB,State Senate,26,Democrat,ROBERT BROWN,7059
HOUSTON,State Senate,26,Democrat,ROBERT BROWN,653
JONES,State Senate,26,Democrat,ROBERT BROWN,33
TWIGGS,State Senate,26,Democrat,ROBERT BROWN,855
WILKINSON,State Senate,26,Democrat,ROBERT BROWN,296
BIBB,State Senate,26,Republican,GREG WILLIAMS,2173
HOUSTON,State Senate,26,Republican,GREG WILLIAMS,423
JONES,State Senate,26,Republican,GREG WILLIAMS,0
TWIGGS,State Senate,26,Republican,GREG WILLIAMS,196
WILKINSON,State Senate,26,Republican,GREG WILLIAMS,40
CHEROKEE,State Senate,27,Republican,DAN MOODY,1627
CHEROKEE,State Senate,27,Republican,DEAN ALVERSON,1138
CHEROKEE,State Senate,27,Republican,PRICE HARDING,1690
FORSYTH,State Senate,27,Republican,DAN MOODY,1593
FORSYTH,State Senate,27,Republican,DEAN ALVERSON,847
FORSYTH,State Senate,27,Republican,PRICE HARDING,4076
FULTON,State Senate,27,Republican,DAN MOODY,2360
FULTON,State Senate,27,Republican,DEAN ALVERSON,1960
FULTON,State Senate,27,Republican,PRICE HARDING,2311
COWETA,State Senate,28,Republican,MITCH SEABAUGH,4919
FAYETTE,State Senate,28,Republican,MITCH SEABAUGH,4686
PIKE,State Senate,28,Republican,MITCH SEABAUGH,524
SPALDING,State Senate,28,Republican,MITCH SEABAUGH,702
TROUP,State Senate,28,Republican,MITCH SEABAUGH,2249
BUTTS,State Senate,29,Democrat,DAN LEE,593
CARROLL,State Senate,29,Democrat,DAN LEE,141
COWETA,State Senate,29,Democrat,DAN LEE,322
HARRIS,State Senate,29,Democrat,DAN LEE,156
HEARD,State Senate,29,Democrat,DAN LEE,555
HENRY,State Senate,29,Democrat,DAN LEE,65
JASPER,State Senate,29,Democrat,DAN LEE,99
JONES,State Senate,29,Democrat,DAN LEE,68
MERIWETHER,State Senate,29,Democrat,DAN LEE,1115
PIKE,State Senate,29,Democrat,DAN LEE,347
SPALDING,State Senate,29,Democrat,DAN LEE,483
TROUP,State Senate,29,Democrat,DAN LEE,871
CARROLL,State Senate,30,Republican,BILL HAMRICK,3148
COWETA,State Senate,30,Republican,BILL HAMRICK,943
DOUGLAS,State Senate,30,Republican,BILL HAMRICK,4815
PAULDING,State Senate,30,Republican,BILL HAMRICK,3081
BARTOW,State Senate,31,Democrat,NATHAN DEAN,1300
CARROLL,State Senate,31,Democrat,NATHAN DEAN,1012
DOUGLAS,State Senate,31,Democrat,NATHAN DEAN,122
HARALSON,State Senate,31,Democrat,NATHAN DEAN,1418
PAULDING,State Senate,31,Democrat,NATHAN DEAN,510
POLK,State Senate,31,Democrat,NATHAN DEAN,3574
BARTOW,State Senate,31,Republican,JAMES GARNER,1563
CARROLL,State Senate,31,Republican,JAMES GARNER,996
DOUGLAS,State Senate,31,Republican,JAMES GARNER,348
HARALSON,State Senate,31,Republican,JAMES GARNER,1278
PAULDING,State Senate,31,Republican,JAMES GARNER,2412
POLK,State Senate,31,Republican,JAMES GARNER,1043
COBB,State Senate,32,Republican,CHARLIE TANKSLEY,13221
FULTON,State Senate,32,Republican,CHARLIE TANKSLEY,2089
COBB,State Senate,33,Democrat,STEVE THOMPSON,5773
DOUGLAS,State Senate,33,Democrat,STEVE THOMPSON,189
CLAYTON,State Senate,34,Democrat,CHUCK MEADOWS,1148
CLAYTON,State Senate,34,Democrat,MICHAEL KING,2130
CLAYTON,State Senate,34,Democrat,PRUDENCIA TROTTER,2305
CLAYTON,State Senate,34,Democrat,VALENCIA SEAY,4698
FAYETTE,State Senate,34,Democrat,CHUCK MEADOWS,383
FAYETTE,State Senate,34,Democrat,MICHAEL KING,301
FAYETTE,State Senate,34,Democrat,PRUDENCIA TROTTER,387
FAYETTE,State Senate,34,Democrat,VALENCIA SEAY,677
CLAYTON,State Senate,34,Republican,EMORY WILKERSON,1303
FAYETTE,State Senate,34,Republican,EMORY WILKERSON,3526
DOUGLAS,State Senate,35,Democrat,BENNY CRANE,174
DOUGLAS,State Senate,35,Democrat,EDDIE BREWSTER,141
DOUGLAS,State Senate,35,Democrat,KASIM REED,906
DOUGLAS,State Senate,35,Democrat,ROSIE JACKSON,152
DOUGLAS,State Senate,35,Democrat,WILLIE JONES,49
FULTON,State Senate,35,Democrat,BENNY CRANE,1318
FULTON,State Senate,35,Democrat,EDDIE BREWSTER,386
FULTON,State Senate,35,Democrat,KASIM REED,7144
FULTON,State Senate,35,Democrat,ROSIE JACKSON,1454
FULTON,State Senate,35,Democrat,WILLIE JONES,518
FULTON,State Senate,36,Democrat,BRENDA MUHAMMAD,4168
FULTON,State Senate,36,Democrat,SAM BACOTE,2713
FULTON,State Senate,36,Democrat,SAM ZAMARRIPA,3109
FULTON,State Senate,36,Democrat,SEAN WAITES,581
BARTOW,State Senate,37,Republican,CHUCK CLAY,244
COBB,State Senate,37,Republican,CHUCK CLAY,11532
PAULDING,State Senate,37,Republican,CHUCK CLAY,1814
FULTON,State Senate,38,Democrat,HORACENA TATE,12613
FULTON,State Senate,39,Democrat,VINCENT FORT,8023
DEKALB,State Senate,40,Democrat,LIANE LEVETAN,12798
DEKALB,State Senate,40,Democrat,OLIVIA JONES,2943
DEKALB,State Senate,40,Democrat,TERRY LAWLER,7121
FULTON,State Senate,40,Democrat,LIANE LEVETAN,230
