office,candidate,party,county,votes,district
United States Senator,Martin,D,Carroll,6896,Chambliss
United States Senator,Totals,Total,Carroll,23347,Chambliss
United States Senator,Chambliss,R,Catoosa,8652,Chambliss
United States Senator,Martin,D,Catoosa,3009,Chambliss
United States Senator,Totals,Total,Catoosa,11661,Chambliss
United States Senator,Chambliss,R,Charlton,1066,Chambliss
United States Senator,Martin,D,Charlton,435,Chambliss
United States Senator,Totals,Total,Charlton,1501,Chambliss
United States Senator,Chambliss,R,Chatham,28287,Chambliss
United States Senator,Martin,D,Chatham,30332,Chambliss
United States Senator,Totals,Total,Chatham,58619,Chambliss
United States Senator,Chambliss,R,Chattahoochee,357,Chambliss
United States Senator,Martin,D,Chattahoochee,329,Chambliss
United States Senator,Totals,Total,Chattahoochee,686,Chambliss
United States Senator,Chambliss,R,Chattooga,2419,Chambliss
United States Senator,Martin,D,Chattooga,1361,Chambliss
United States Senator,Totals,Total,Chattooga,3780,Chambliss
United States Senator,Chambliss,R,Cherokee,42860,Chambliss
United States Senator,Martin,D,Cherokee,9565,Chambliss
United States Senator,Totals,Total,Cherokee,52425,Chambliss
United States Senator,Chambliss,R,Clarke,9331,Chambliss
United States Senator,Martin,D,Clarke,15019,Chambliss
United States Senator,Totals,Total,Clarke,24350,Chambliss
United States Senator,Chambliss,R,Clay,315,Chambliss
United States Senator,Martin,D,Clay,428,Chambliss
United States Senator,Totals,Total,Clay,743,Chambliss
United States Senator,Chambliss,R,Clayton,10368,Chambliss
United States Senator,Martin,D,Clayton,41265,Chambliss
United States Senator,Totals,Total,Clayton,51633,Chambliss
United States Senator,Chambliss,R,Clinch,705,Chambliss
United States Senator,Martin,D,Clinch,391,Chambliss
United States Senator,Totals,Total,Clinch,1096,Chambliss
United States Senator,Chambliss,R,Cobb,117116,Chambliss
United States Senator,Martin,D,Cobb,67008,Chambliss
United States Senator,Totals,Total,Cobb,184124,Chambliss
United States Senator,Chambliss,R,Coffee,4386,Chambliss
United States Senator,Martin,D,Coffee,2268,Chambliss
United States Senator,Totals,Total,Coffee,6654,Chambliss
United States Senator,Chambliss,R,Colquitt,5683,Chambliss
United States Senator,Martin,D,Colquitt,2131,Chambliss
United States Senator,Totals,Total,Colquitt,7814,Chambliss
United States Senator,Chambliss,R,Columbia,23016,Chambliss
United States Senator,Martin,D,Columbia,7204,Chambliss
United States Senator,Totals,Total,Columbia,30220,Chambliss
United States Senator,Chambliss,R,Cook,2445,Chambliss
United States Senator,Martin,D,Cook,1337,Chambliss
United States Senator,Totals,Total,Cook,3782,Chambliss
United States Senator,Chambliss,R,Coweta,22536,Chambliss
United States Senator,Martin,D,Coweta,7526,Chambliss
United States Senator,Totals,Total,Coweta,30062,Chambliss
United States Senator,Chambliss,R,Crawford,1850,Chambliss
United States Senator,Martin,D,Crawford,1028,Chambliss
United States Senator,Totals,Total,Crawford,2878,Chambliss
United States Senator,Chambliss,R,Crisp,2443,Chambliss
United States Senator,Martin,D,Crisp,1348,Chambliss
United States Senator,Totals,Total,Crisp,3791,Chambliss
United States Senator,Chambliss,R,Dade,2446,Chambliss
United States Senator,Martin,D,Dade,1054,Chambliss
United States Senator,Totals,Total,Dade,3500,Chambliss
United States Senator,Chambliss,R,Dawson,4993,Chambliss
United States Senator,Martin,D,Dawson,870,Chambliss
United States Senator,Totals,Total,Dawson,5863,Chambliss
United States Senator,Chambliss,R,Decatur,2718,Chambliss
United States Senator,Martin,D,Decatur,1916,Chambliss
United States Senator,Totals,Total,Decatur,4634,Chambliss
United States Senator,Chambliss,R,Dekalb,47643,Chambliss
United States Senator,Martin,D,Dekalb,139117,Chambliss
United States Senator,Totals,Total,Dekalb,186760,Chambliss
United States Senator,Chambliss,R,Dodge,4092,Chambliss
United States Senator,Martin,D,Dodge,2303,Chambliss
United States Senator,Totals,Total,Dodge,6395,Chambliss
United States Senator,Chambliss,R,Dooly,1274,Chambliss
United States Senator,Martin,D,Dooly,1147,Chambliss
United States Senator,Totals,Total,Dooly,2421,Chambliss
United States Senator,Chambliss,R,Dougherty,7776,Chambliss
United States Senator,Martin,D,Dougherty,13748,Chambliss
United States Senator,Totals,Total,Dougherty,21524,Chambliss
United States Senator,Chambliss,R,Douglas,16359,Chambliss
United States Senator,Martin,D,Douglas,13014,Chambliss
United States Senator,Totals,Total,Douglas,29373,Chambliss
United States Senator,Chambliss,R,Early,1643,Chambliss
United States Senator,Martin,D,Early,1659,Chambliss
United States Senator,Totals,Total,Early,3302,Chambliss
United States Senator,Chambliss,R,Echols,379,Chambliss
United States Senator,Martin,D,Echols,107,Chambliss
United States Senator,Totals,Total,Echols,486,Chambliss
United States Senator,Chambliss,R,Effingham,8123,Chambliss
United States Senator,Martin,D,Effingham,2598,Chambliss
United States Senator,Totals,Total,Effingham,10721,Chambliss
United States Senator,Chambliss,R,Elbert,2309,Chambliss
United States Senator,Martin,D,Elbert,1382,Chambliss
United States Senator,Totals,Total,Elbert,3691,Chambliss
United States Senator,Chambliss,R,Emanuel,2466,Chambliss
United States Senator,Martin,D,Emanuel,1374,Chambliss
United States Senator,Totals,Total,Emanuel,3840,Chambliss
United States Senator,Chambliss,R,Evans,1302,Chambliss
United States Senator,Martin,D,Evans,739,Chambliss
United States Senator,Totals,Total,Evans,2041,Chambliss
United States Senator,Chambliss,R,Fannin,4204,Chambliss
United States Senator,Martin,D,Fannin,1453,Chambliss
United States Senator,Totals,Total,Fannin,5657,Chambliss
United States Senator,Chambliss,R,Fayette,25884,Chambliss
United States Senator,Martin,D,Fayette,11534,Chambliss
United States Senator,Totals,Total,Fayette,37418,Chambliss
United States Senator,Chambliss,R,Floyd,12118,Chambliss
United States Senator,Martin,D,Floyd,5212,Chambliss
United States Senator,Totals,Total,Floyd,17330,Chambliss
United States Senator,Chambliss,R,Forsyth,37232,Chambliss
United States Senator,Martin,D,Forsyth,6605,Chambliss
United States Senator,Totals,Total,Forsyth,43837,Chambliss
United States Senator,Chambliss,R,Franklin,2995,Chambliss
United States Senator,Martin,D,Franklin,841,Chambliss
United States Senator,Totals,Total,Franklin,3836,Chambliss
United States Senator,Chambliss,R,Fulton,88270,Chambliss
United States Senator,Martin,D,Fulton,134606,Chambliss
United States Senator,Totals,Total,Fulton,222876,Chambliss
United States Senator,Chambliss,R,Gilmer,5056,Chambliss
United States Senator,Martin,D,Gilmer,1480,Chambliss
United States Senator,Totals,Total,Gilmer,6536,Chambliss
United States Senator,Chambliss,R,Glascock,682,Chambliss
United States Senator,Martin,D,Glascock,151,Chambliss
United States Senator,Totals,Total,Glascock,833,Chambliss
United States Senator,Chambliss,R,Glynn,11317,Chambliss
United States Senator,Martin,D,Glynn,5298,Chambliss
United States Senator,Totals,Total,Glynn,16615,Chambliss
United States Senator,Chambliss,R,Gordon,7451,Chambliss
United States Senator,Martin,D,Gordon,2302,Chambliss
United States Senator,Totals,Total,Gordon,9753,Chambliss
United States Senator,Chambliss,R,Grady,2880,Chambliss
United States Senator,Martin,D,Grady,1412,Chambliss
United States Senator,Totals,Total,Grady,4292,Chambliss
United States Senator,Chambliss,R,Greene,3357,Chambliss
United States Senator,Martin,D,Greene,1889,Chambliss
United States Senator,Totals,Total,Greene,5246,Chambliss
United States Senator,Chambliss,R,Gwinnett,105931,Chambliss
United States Senator,Martin,D,Gwinnett,59676,Chambliss
United States Senator,Totals,Total,Gwinnett,165607,Chambliss
United States Senator,Chambliss,R,Habersham,6934,Chambliss
United States Senator,Martin,D,Habersham,1646,Chambliss
United States Senator,Totals,Total,Habersham,8580,Chambliss
United States Senator,Chambliss,R,Hall,27343,Chambliss
United States Senator,Martin,D,Hall,6711,Chambliss
United States Senator,Totals,Total,Hall,34054,Chambliss
United States Senator,Chambliss,R,Hancock,428,Chambliss
United States Senator,Martin,D,Hancock,1755,Chambliss
United States Senator,Totals,Total,Hancock,2183,Chambliss
United States Senator,Chambliss,R,Haralson,4538,Chambliss
United States Senator,Martin,D,Haralson,1243,Chambliss
United States Senator,Totals,Total,Haralson,5781,Chambliss
United States Senator,Chambliss,R,Harris,5712,Chambliss
United States Senator,Martin,D,Harris,2266,Chambliss
United States Senator,Totals,Total,Harris,7978,Chambliss
United States Senator,Chambliss,R,Hart,3042,Chambliss
United States Senator,Martin,D,Hart,1326,Chambliss
United States Senator,Totals,Total,Hart,4368,Chambliss
United States Senator,Chambliss,R,Heard,1586,Chambliss
United States Senator,Martin,D,Heard,606,Chambliss
United States Senator,Totals,Total,Heard,2192,Chambliss
United States Senator,Chambliss,R,Henry,27263,Chambliss
United States Senator,Martin,D,Henry,19933,Chambliss
United States Senator,Totals,Total,Henry,47196,Chambliss
United States Senator,Chambliss,R,Houston,18781,Chambliss
United States Senator,Martin,D,Houston,10061,Chambliss
United States Senator,Totals,Total,Houston,28842,Chambliss
United States Senator,Chambliss,R,Irwin,1451,Chambliss
United States Senator,Martin,D,Irwin,751,Chambliss
United States Senator,Totals,Total,Irwin,2202,Chambliss
United States Senator,Chambliss,R,Jackson,10542,Chambliss
United States Senator,Martin,D,Jackson,2397,Chambliss
United States Senator,Totals,Total,Jackson,12939,Chambliss
United States Senator,Chambliss,R,Jasper,2428,Chambliss
United States Senator,Martin,D,Jasper,1212,Chambliss
United States Senator,Totals,Total,Jasper,3640,Chambliss
United States Senator,Chambliss,R,Jeff davis,3069,Chambliss
United States Senator,Martin,D,Jeff davis,1315,Chambliss
United States Senator,Totals,Total,Jeff davis,4384,Chambliss
United States Senator,Chambliss,R,Jefferson,1819,Chambliss
United States Senator,Martin,D,Jefferson,2108,Chambliss
United States Senator,Totals,Total,Jefferson,3927,Chambliss
United States Senator,Chambliss,R,Jenkins,968,Chambliss
United States Senator,Martin,D,Jenkins,717,Chambliss
United States Senator,Totals,Total,Jenkins,1685,Chambliss
United States Senator,Chambliss,R,Johnson,1388,Chambliss
United States Senator,Martin,D,Johnson,556,Chambliss
United States Senator,Totals,Total,Johnson,1944,Chambliss
United States Senator,Chambliss,R,Jones,4232,Chambliss
United States Senator,Martin,D,Jones,2543,Chambliss
United States Senator,Totals,Total,Jones,6775,Chambliss
United States Senator,Chambliss,R,Lamar,2932,Chambliss
United States Senator,Martin,D,Lamar,1462,Chambliss
United States Senator,Totals,Total,Lamar,4394,Chambliss
United States Senator,Chambliss,R,Lanier,748,Chambliss
United States Senator,Martin,D,Lanier,400,Chambliss
United States Senator,Totals,Total,Lanier,1148,Chambliss
United States Senator,Chambliss,R,Laurens,6623,Chambliss
United States Senator,Martin,D,Laurens,4126,Chambliss
United States Senator,Totals,Total,Laurens,10749,Chambliss
United States Senator,Chambliss,R,Lee,5466,Chambliss
United States Senator,Martin,D,Lee,1724,Chambliss
United States Senator,Totals,Total,Lee,7190,Chambliss
United States Senator,Chambliss,R,Liberty,2651,Chambliss
United States Senator,Martin,D,Liberty,4175,Chambliss
United States Senator,Totals,Total,Liberty,6826,Chambliss
United States Senator,Chambliss,R,Lincoln,1461,Chambliss
United States Senator,Martin,D,Lincoln,701,Chambliss
United States Senator,Totals,Total,Lincoln,2162,Chambliss
United States Senator,Chambliss,R,Long,816,Chambliss
United States Senator,Martin,D,Long,536,Chambliss
United States Senator,Totals,Total,Long,1352,Chambliss
United States Senator,Chambliss,R,Lowndes,10673,Chambliss
United States Senator,Martin,D,Lowndes,7203,Chambliss
United States Senator,Totals,Total,Lowndes,17876,Chambliss
United States Senator,Chambliss,R,Lumpkin,4832,Chambliss
United States Senator,Martin,D,Lumpkin,1533,Chambliss
United States Senator,Totals,Total,Lumpkin,6365,Chambliss
United States Senator,Chambliss,R,Macon,976,Chambliss
United States Senator,Martin,D,Macon,1710,Chambliss
United States Senator,Totals,Total,Macon,2686,Chambliss
United States Senator,Chambliss,R,Madison,4834,Chambliss
United States Senator,Martin,D,Madison,1658,Chambliss
United States Senator,Totals,Total,Madison,6492,Chambliss
United States Senator,Chambliss,R,Marion,822,Chambliss
United States Senator,Martin,D,Marion,664,Chambliss
United States Senator,Totals,Total,Marion,1486,Chambliss
United States Senator,Chambliss,R,Mcduffie,3208,Chambliss
United States Senator,Martin,D,Mcduffie,1899,Chambliss
United States Senator,Totals,Total,Mcduffie,5107,Chambliss
United States Senator,Chambliss,R,Mcintosh,1608,Chambliss
United States Senator,Martin,D,Mcintosh,1402,Chambliss
United States Senator,Totals,Total,Mcintosh,3010,Chambliss
United States Senator,Chambliss,R,Meriwether,2934,Chambliss
United States Senator,Martin,D,Meriwether,2446,Chambliss
United States Senator,Totals,Total,Meriwether,5380,Chambliss
United States Senator,Chambliss,R,Miller,906,Chambliss
United States Senator,Martin,D,Miller,326,Chambliss
United States Senator,Totals,Total,Miller,1232,Chambliss
United States Senator,Chambliss,R,Mitchell,2411,Chambliss
United States Senator,Martin,D,Mitchell,2170,Chambliss
United States Senator,Totals,Total,Mitchell,4581,Chambliss
United States Senator,Chambliss,R,Monroe,4945,Chambliss
United States Senator,Martin,D,Monroe,2211,Chambliss
United States Senator,Totals,Total,Monroe,7156,Chambliss
United States Senator,Chambliss,R,Montgomery,1353,Chambliss
United States Senator,Martin,D,Montgomery,601,Chambliss
United States Senator,Totals,Total,Montgomery,1954,Chambliss
United States Senator,Chambliss,R,Morgan,3817,Chambliss
United States Senator,Martin,D,Morgan,1697,Chambliss
United States Senator,Totals,Total,Morgan,5514,Chambliss
United States Senator,Chambliss,R,Murray,3117,Chambliss
United States Senator,Martin,D,Murray,1280,Chambliss
United States Senator,Totals,Total,Murray,4397,Chambliss
United States Senator,Chambliss,R,Muscogee,15237,Chambliss
United States Senator,Martin,D,Muscogee,20010,Chambliss
United States Senator,Totals,Total,Muscogee,35247,Chambliss
United States Senator,Chambliss,R,Newton,12232,Chambliss
United States Senator,Martin,D,Newton,10314,Chambliss
United States Senator,Totals,Total,Newton,22546,Chambliss
United States Senator,Chambliss,R,Oconee,8078,Chambliss
United States Senator,Martin,D,Oconee,2722,Chambliss
United States Senator,Totals,Total,Oconee,10800,Chambliss
United States Senator,Chambliss,R,Oglethorpe,2485,Chambliss
United States Senator,Martin,D,Oglethorpe,1287,Chambliss
United States Senator,Totals,Total,Oglethorpe,3772,Chambliss
United States Senator,Chambliss,R,Paulding,19864,Chambliss
United States Senator,Martin,D,Paulding,7065,Chambliss
United States Senator,Totals,Total,Paulding,26929,Chambliss
United States Senator,Chambliss,R,Peach,2770,Chambliss
United States Senator,Martin,D,Peach,2550,Chambliss
United States Senator,Totals,Total,Peach,5320,Chambliss
United States Senator,Chambliss,R,Pickens,5835,Chambliss
United States Senator,Martin,D,Pickens,1450,Chambliss
United States Senator,Totals,Total,Pickens,7285,Chambliss
United States Senator,Chambliss,R,Pierce,2912,Chambliss
United States Senator,Martin,D,Pierce,543,Chambliss
United States Senator,Totals,Total,Pierce,3455,Chambliss
United States Senator,Chambliss,R,Pike,3882,Chambliss
United States Senator,Martin,D,Pike,951,Chambliss
United States Senator,Totals,Total,Pike,4833,Chambliss
United States Senator,Chambliss,R,Polk,4829,Chambliss
United States Senator,Martin,D,Polk,2141,Chambliss
United States Senator,Totals,Total,Polk,6970,Chambliss
United States Senator,Chambliss,R,Pulaski,1537,Chambliss
United States Senator,Martin,D,Pulaski,886,Chambliss
United States Senator,Totals,Total,Pulaski,2423,Chambliss
United States Senator,Chambliss,R,Putnam,3850,Chambliss
United States Senator,Martin,D,Putnam,1622,Chambliss
United States Senator,Totals,Total,Putnam,5472,Chambliss
United States Senator,Chambliss,R,Quitman,234,Chambliss
United States Senator,Martin,D,Quitman,248,Chambliss
United States Senator,Totals,Total,Quitman,482,Chambliss
United States Senator,Chambliss,R,Rabun,3057,Chambliss
United States Senator,Martin,D,Rabun,1165,Chambliss
United States Senator,Totals,Total,Rabun,4222,Chambliss
United States Senator,Chambliss,R,Randolph,851,Chambliss
United States Senator,Martin,D,Randolph,982,Chambliss
United States Senator,Totals,Total,Randolph,1833,Chambliss
United States Senator,Chambliss,R,Richmond,16089,Chambliss
United States Senator,Martin,D,Richmond,23510,Chambliss
United States Senator,Totals,Total,Richmond,39599,Chambliss
United States Senator,Chambliss,R,Rockdale,11006,Chambliss
United States Senator,Martin,D,Rockdale,10706,Chambliss
United States Senator,Totals,Total,Rockdale,21712,Chambliss
United States Senator,Chambliss,R,Schley,663,Chambliss
United States Senator,Martin,D,Schley,258,Chambliss
United States Senator,Totals,Total,Schley,921,Chambliss
United States Senator,Chambliss,R,Screven,1807,Chambliss
United States Senator,Martin,D,Screven,1496,Chambliss
United States Senator,Totals,Total,Screven,3303,Chambliss
United States Senator,Chambliss,R,Seminole,1086,Chambliss
United States Senator,Martin,D,Seminole,667,Chambliss
United States Senator,Totals,Total,Seminole,1753,Chambliss
United States Senator,Chambliss,R,Spalding,8703,Chambliss
United States Senator,Martin,D,Spalding,4841,Chambliss
United States Senator,Totals,Total,Spalding,13544,Chambliss
United States Senator,Chambliss,R,Stephens,3538,Chambliss
United States Senator,Martin,D,Stephens,1137,Chambliss
United States Senator,Totals,Total,Stephens,4675,Chambliss
United States Senator,Chambliss,R,Stewart,403,Chambliss
United States Senator,Martin,D,Stewart,623,Chambliss
United States Senator,Totals,Total,Stewart,1026,Chambliss
United States Senator,Chambliss,R,Sumter,3286,Chambliss
United States Senator,Martin,D,Sumter,3187,Chambliss
United States Senator,Totals,Total,Sumter,6473,Chambliss
United States Senator,Chambliss,R,Talbot,678,Chambliss
United States Senator,Martin,D,Talbot,1140,Chambliss
United States Senator,Totals,Total,Talbot,1818,Chambliss
United States Senator,Chambliss,R,Taliaferro,190,Chambliss
United States Senator,Martin,D,Taliaferro,352,Chambliss
United States Senator,Totals,Total,Taliaferro,542,Chambliss
United States Senator,Chambliss,R,Tattnall,2791,Chambliss
United States Senator,Martin,D,Tattnall,1156,Chambliss
United States Senator,Totals,Total,Tattnall,3947,Chambliss
United States Senator,Chambliss,R,Taylor,1153,Chambliss
United States Senator,Martin,D,Taylor,835,Chambliss
United States Senator,Totals,Total,Taylor,1988,Chambliss
United States Senator,Chambliss,R,Telfair,1309,Chambliss
United States Senator,Martin,D,Telfair,1204,Chambliss
United States Senator,Totals,Total,Telfair,2513,Chambliss
United States Senator,Chambliss,R,Terrell,1209,Chambliss
United States Senator,Martin,D,Terrell,1358,Chambliss
United States Senator,Totals,Total,Terrell,2567,Chambliss
United States Senator,Chambliss,R,Thomas,5644,Chambliss
United States Senator,Martin,D,Thomas,3111,Chambliss
United States Senator,Totals,Total,Thomas,8755,Chambliss
United States Senator,Chambliss,R,Tift,5818,Chambliss
United States Senator,Martin,D,Tift,2444,Chambliss
United States Senator,Totals,Total,Tift,8262,Chambliss
United States Senator,Chambliss,R,Toombs,3676,Chambliss
United States Senator,Martin,D,Toombs,1370,Chambliss
United States Senator,Totals,Total,Toombs,5046,Chambliss
United States Senator,Chambliss,R,Towns,2566,Chambliss
United States Senator,Martin,D,Towns,919,Chambliss
United States Senator,Totals,Total,Towns,3485,Chambliss
United States Senator,Chambliss,R,Treutlen,869,Chambliss
United States Senator,Martin,D,Treutlen,524,Chambliss
United States Senator,Totals,Total,Treutlen,1393,Chambliss
United States Senator,Chambliss,R,Troup,8242,Chambliss
United States Senator,Martin,D,Troup,4633,Chambliss
United States Senator,Totals,Total,Troup,12875,Chambliss
United States Senator,Chambliss,R,Turner,1171,Chambliss
United States Senator,Martin,D,Turner,706,Chambliss
United States Senator,Totals,Total,Turner,1877,Chambliss
United States Senator,Chambliss,R,Twiggs,1112,Chambliss
United States Senator,Martin,D,Twiggs,1336,Chambliss
United States Senator,Totals,Total,Twiggs,2448,Chambliss
United States Senator,Chambliss,R,Union,4625,Chambliss
United States Senator,Martin,D,Union,1547,Chambliss
United States Senator,Totals,Total,Union,6172,Chambliss
United States Senator,Chambliss,R,Upson,4004,Chambliss
United States Senator,Martin,D,Upson,2090,Chambliss
United States Senator,Totals,Total,Upson,6094,Chambliss
United States Senator,Chambliss,R,Walker,7876,Chambliss
United States Senator,Martin,D,Walker,3027,Chambliss
United States Senator,Totals,Total,Walker,10903,Chambliss
United States Senator,Chambliss,R,Walton,16952,Chambliss
United States Senator,Martin,D,Walton,4270,Chambliss
United States Senator,Totals,Total,Walton,21222,Chambliss
United States Senator,Chambliss,R,Ware,4798,Chambliss
United States Senator,Martin,D,Ware,1784,Chambliss
United States Senator,Totals,Total,Ware,6582,Chambliss
United States Senator,Chambliss,R,Warren,665,Chambliss
United States Senator,Martin,D,Warren,682,Chambliss
United States Senator,Totals,Total,Warren,1347,Chambliss
United States Senator,Chambliss,R,Washington,2308,Chambliss
United States Senator,Martin,D,Washington,2326,Chambliss
United States Senator,Totals,Total,Washington,4634,Chambliss
United States Senator,Chambliss,R,Wayne,3994,Chambliss
United States Senator,Martin,D,Wayne,1668,Chambliss
United States Senator,Totals,Total,Wayne,5662,Chambliss
United States Senator,Chambliss,R,Webster,330,Chambliss
United States Senator,Martin,D,Webster,259,Chambliss
United States Senator,Totals,Total,Webster,589,Chambliss
United States Senator,Chambliss,R,Wheeler,847,Chambliss
United States Senator,Martin,D,Wheeler,512,Chambliss
United States Senator,Totals,Total,Wheeler,1359,Chambliss
United States Senator,Chambliss,R,White,4975,Chambliss
United States Senator,Martin,D,White,1336,Chambliss
United States Senator,Totals,Total,White,6311,Chambliss
United States Senator,Chambliss,R,Whitfield,9738,Chambliss
United States Senator,Martin,D,Whitfield,3534,Chambliss
United States Senator,Totals,Total,Whitfield,13272,Chambliss
United States Senator,Chambliss,R,Wilcox,1189,Chambliss
United States Senator,Martin,D,Wilcox,565,Chambliss
United States Senator,Totals,Total,Wilcox,1754,Chambliss
United States Senator,Chambliss,R,Wilkes,1917,Chambliss
United States Senator,Martin,D,Wilkes,1433,Chambliss
United States Senator,Totals,Total,Wilkes,3350,Chambliss
United States Senator,Chambliss,R,Wilkinson,1296,Chambliss
United States Senator,Martin,D,Wilkinson,1310,Chambliss
United States Senator,Totals,Total,Wilkinson,2606,Chambliss
United States Senator,Chambliss,R,Worth,3377,Chambliss
United States Senator,Martin,D,Worth,1493,Chambliss
United States Senator,Totals,Total,Worth,4870,Chambliss
Public Service Commission,McDonald,R,Appling,2350,District 4 - Northern
Public Service Commission,Powell,D,Appling,1039,District 4 - Northern
Public Service Commission,Totals,Total,Appling,3389,District 4 - Northern
Public Service Commission,McDonald,R,Atkinson,705,District 4 - Northern
Public Service Commission,Powell,D,Atkinson,442,District 4 - Northern
Public Service Commission,Totals,Total,Atkinson,1147,District 4 - Northern
Public Service Commission,McDonald,R,Bacon,1220,District 4 - Northern
Public Service Commission,Powell,D,Bacon,385,District 4 - Northern
Public Service Commission,Totals,Total,Bacon,1605,District 4 - Northern
Public Service Commission,McDonald,R,Baker,374,District 4 - Northern
Public Service Commission,Powell,D,Baker,444,District 4 - Northern
Public Service Commission,Totals,Total,Baker,818,District 4 - Northern
Public Service Commission,McDonald,R,Baldwin,3998,District 4 - Northern
Public Service Commission,Powell,D,Baldwin,4216,District 4 - Northern
Public Service Commission,Totals,Total,Baldwin,8214,District 4 - Northern
Public Service Commission,McDonald,R,Banks,2793,District 4 - Northern
Public Service Commission,Powell,D,Banks,624,District 4 - Northern
Public Service Commission,Totals,Total,Banks,3417,District 4 - Northern
Public Service Commission,McDonald,R,Barrow,9636,District 4 - Northern
Public Service Commission,Powell,D,Barrow,2737,District 4 - Northern
Public Service Commission,Totals,Total,Barrow,12373,District 4 - Northern
Public Service Commission,McDonald,R,Bartow,12892,District 4 - Northern
Public Service Commission,Powell,D,Bartow,4457,District 4 - Northern
Public Service Commission,Totals,Total,Bartow,17349,District 4 - Northern
Public Service Commission,McDonald,R,Ben hill,1565,District 4 - Northern
Public Service Commission,Powell,D,Ben hill,1265,District 4 - Northern
Public Service Commission,Totals,Total,Ben hill,2830,District 4 - Northern
Public Service Commission,McDonald,R,Berrien,2129,District 4 - Northern
Public Service Commission,Powell,D,Berrien,918,District 4 - Northern
Public Service Commission,Totals,Total,Berrien,3047,District 4 - Northern
Public Service Commission,McDonald,R,Bibb,15382,District 4 - Northern
Public Service Commission,Powell,D,Bibb,17856,District 4 - Northern
Public Service Commission,Totals,Total,Bibb,33238,District 4 - Northern
Public Service Commission,McDonald,R,Bleckley,1685,District 4 - Northern
Public Service Commission,Powell,D,Bleckley,811,District 4 - Northern
Public Service Commission,Totals,Total,Bleckley,2496,District 4 - Northern
Public Service Commission,McDonald,R,Brantley,1870,District 4 - Northern
