county,precinct,office,district,party,candidate,absentee_by_mail_votes,advance_voting_votes,election_day_votes,provisional_votes,votes
Fayette,Rareover,U.S. Senate,,DEM,Raphael Warnock,15,450,223,0,688
Fayette,Sandy Creek,U.S. Senate,,DEM,Raphael Warnock,91,1194,593,0,1878
Fayette,Shakerag East,U.S. Senate,,DEM,Raphael Warnock,25,147,211,0,383
Fayette,Shakerag West,U.S. Senate,,DEM,Raphael Warnock,15,162,116,0,293
Fayette,Starrs Mill,U.S. Senate,,DEM,Raphael Warnock,40,278,247,0,565
Fayette,Whitewater,U.S. Senate,,DEM,Raphael Warnock,41,432,309,1,783
Fayette,Woolsey,U.S. Senate,,DEM,Raphael Warnock,30,161,199,1,391
Fayette,McIntosh,U.S. Senate,,DEM,Raphael Warnock,62,388,301,0,751
Fayette,Oak Grove,U.S. Senate,,DEM,Raphael Warnock,16,122,206,0,344
Fayette,Kedron,U.S. Senate,,DEM,Raphael Warnock,99,821,583,2,1505
Fayette,Aberdeen,U.S. Senate,,DEM,Raphael Warnock,16,165,182,0,363
Fayette,Windgate,U.S. Senate,,DEM,Raphael Warnock,16,86,126,0,228
Fayette,Flat Creek,U.S. Senate,,DEM,Raphael Warnock,34,223,216,0,473
Fayette,Braelinn,U.S. Senate,,DEM,Raphael Warnock,8,118,177,0,303
Fayette,Kenwood,U.S. Senate,,DEM,Raphael Warnock,27,226,240,0,493
Fayette,Banks,U.S. Senate,,DEM,Raphael Warnock,31,246,254,0,531
Fayette,Harps Crossing,U.S. Senate,,DEM,Raphael Warnock,23,233,220,0,476
Fayette,Willow Pond,U.S. Senate,,DEM,Raphael Warnock,70,521,420,0,1011
Fayette,Dogwood,U.S. Senate,,DEM,Raphael Warnock,61,507,306,0,874
Fayette,Oak Ridge,U.S. Senate,,DEM,Raphael Warnock,67,430,350,0,847
Fayette,Jeff Davis,U.S. Senate,,DEM,Raphael Warnock,61,539,359,0,959
Fayette,Murphy,U.S. Senate,,DEM,Raphael Warnock,67,529,413,0,1009
Fayette,Fielding Ridge,U.S. Senate,,DEM,Raphael Warnock,48,414,355,2,819
Fayette,Willowbend,U.S. Senate,,DEM,Raphael Warnock,24,227,181,0,432
Fayette,Camp Creek,U.S. Senate,,DEM,Raphael Warnock,30,175,182,0,387
Fayette,Rising Star,U.S. Senate,,DEM,Raphael Warnock,49,375,307,1,732
Fayette,Spring Hill,U.S. Senate,,DEM,Raphael Warnock,72,689,387,0,1148
Fayette,Antioch,U.S. Senate,,DEM,Raphael Warnock,29,177,237,0,443
