county,precinct,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
Chatham,,State House,162,,JOSEY M. SHEPPARD,678,598,3,77,0
Chatham,1-09 Immanuel Bapt Church,State House,162,,JOSEY M. SHEPPARD,15,9,0,6,0
Chatham,5-01 Bartlett Middle Sch,State House,162,,JOSEY M. SHEPPARD,14,11,0,3,0
Chatham,5-06 Wildwood United Meth,State House,162,,JOSEY M. SHEPPARD,55,50,0,5,0
Chatham,5-07 Elks Lodge,State House,162,,JOSEY M. SHEPPARD,10,7,0,3,0
Chatham,5-08 Savannah Primitive,State House,162,,JOSEY M. SHEPPARD,30,28,0,2,0
Chatham,5-11 Largo-Tibet Elem,State House,162,,JOSEY M. SHEPPARD,35,32,1,2,0
Chatham,6-01 White Bluff Pres Chr,State House,162,,JOSEY M. SHEPPARD,25,18,0,7,0
Chatham,6-06 The Light,State House,162,,JOSEY M. SHEPPARD,36,25,0,11,0
Chatham,6-08 Savannah Commons,State House,162,,JOSEY M. SHEPPARD,31,30,0,1,0
Chatham,7-01 Garden City Senior Ctr,State House,162,,JOSEY M. SHEPPARD,44,34,2,8,0
Chatham,7-05 Woodlawn Bapt Ch,State House,162,,JOSEY M. SHEPPARD,27,23,0,4,0
Chatham,7-14 Coastal Cathedral,State House,162,,JOSEY M. SHEPPARD,67,58,0,9,0
Chatham,8-03 Silk Hope Bapt Ch,State House,162,,JOSEY M. SHEPPARD,15,14,0,1,0
Chatham,8-07 Woodville-Tompkins,State House,162,,JOSEY M. SHEPPARD,5,4,0,1,0
Chatham,8-08 Resur Of Our Lord Ch,State House,162,,JOSEY M. SHEPPARD,42,40,0,2,0
Chatham,8-09 Moses Jackson Ctr,State House,162,,JOSEY M. SHEPPARD,41,38,0,3,0
Chatham,8-10 Carver Heights Comm Ctr,State House,162,,JOSEY M. SHEPPARD,143,136,0,7,0
Chatham,8-13 Savannah Christ. Sch,State House,162,,JOSEY M. SHEPPARD,6,6,0,0,0
Chatham,8-15 Garden City Rec Ctr,State House,162,,JOSEY M. SHEPPARD,37,35,0,2,0
