county,precinct,office,district,party,candidate,election_day,absentee_by_mail,advance_in_person,provisional,votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Alice Coachman Elem,President,,REP,JEB BUSH,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Carver Teen Center,President,,REP,JEB BUSH,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Shiloh Baptist Church,President,,REP,JEB BUSH,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Litman Cathedral,President,,REP,JEB BUSH,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Phoebe Edu. Bldg,President,,REP,JEB BUSH,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Turner Elem School,President,,REP,JEB BUSH,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Jackson Heights Elem,President,,REP,JEB BUSH,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Bill Miller Center,President,,REP,JEB BUSH,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Radium Middle School,President,,REP,JEB BUSH,4,1,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Putney 1st Bapt Church,President,,REP,JEB BUSH,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,International Studie,President,,REP,JEB BUSH,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Phoebe East,President,,REP,JEB BUSH,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Pine Bluff Bapt Church,President,,REP,JEB BUSH,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Albany Middle School,President,,REP,JEB BUSH,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Christ Church,President,,REP,JEB BUSH,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Lamar Reese Elem School,President,,REP,JEB BUSH,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,First Christian Church,President,,REP,JEB BUSH,6,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Lovett Hall,President,,REP,JEB BUSH,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,,,,REP,JEB BUSH,42,6,9,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Palmyra Rd Meth Church,President,,REP,BEN CARSON,35,0,3,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Sherwood Elem School,President,,REP,BEN CARSON,23,0,0,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Covenant Pres Church,President,,REP,BEN CARSON,27,0,1,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Greenbriar Church,President,,REP,BEN CARSON,41,0,1,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Westover High School,President,,REP,BEN CARSON,48,0,2,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Merry Acres Middle,President,,REP,BEN CARSON,37,0,1,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Darton College,President,,REP,BEN CARSON,23,0,1,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Westtown Elem School,President,,REP,BEN CARSON,3,0,2,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Second Mt. Zion,President,,REP,BEN CARSON,9,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Mt. Zion Center,President,,REP,BEN CARSON,5,0,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Alice Coachman Elem,President,,REP,BEN CARSON,4,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Carver Teen Center,President,,REP,BEN CARSON,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Shiloh Baptist Church,President,,REP,BEN CARSON,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Litman Cathedral,President,,REP,BEN CARSON,5,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Phoebe Edu. Bldg,President,,REP,BEN CARSON,4,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Turner Elem School,President,,REP,BEN CARSON,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Jackson Heights Elem,President,,REP,BEN CARSON,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Bill Miller Center,President,,REP,BEN CARSON,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Radium Middle School,President,,REP,BEN CARSON,9,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Putney 1st Bapt Church,President,,REP,BEN CARSON,38,1,1,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,International Studie,President,,REP,BEN CARSON,11,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Phoebe East,President,,REP,BEN CARSON,9,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Pine Bluff Bapt Church,President,,REP,BEN CARSON,14,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Albany Middle School,President,,REP,BEN CARSON,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Christ Church,President,,REP,BEN CARSON,36,1,1,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Lamar Reese Elem School,President,,REP,BEN CARSON,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,First Christian Church,President,,REP,BEN CARSON,32,0,0,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Lovett Hall,President,,REP,BEN CARSON,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,,,,REP,BEN CARSON,429,2,14,0,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Palmyra Rd Meth Church,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Sherwood Elem School,President,,REP,CHRIS CHRISTIE,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Covenant Pres Church,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Greenbriar Church,President,,REP,CHRIS CHRISTIE,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Westover High School,President,,REP,CHRIS CHRISTIE,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Merry Acres Middle,President,,REP,CHRIS CHRISTIE,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Darton College,President,,REP,CHRIS CHRISTIE,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Westtown Elem School,President,,REP,CHRIS CHRISTIE,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Second Mt. Zion,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Mt. Zion Center,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Alice Coachman Elem,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Carver Teen Center,President,,REP,CHRIS CHRISTIE,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Shiloh Baptist Church,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Litman Cathedral,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Phoebe Edu. Bldg,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Turner Elem School,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Jackson Heights Elem,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Bill Miller Center,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Radium Middle School,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Putney 1st Bapt Church,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,International Studie,President,,REP,CHRIS CHRISTIE,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Phoebe East,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Pine Bluff Bapt Church,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Albany Middle School,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Christ Church,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Lamar Reese Elem School,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,First Christian Church,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Lovett Hall,President,,REP,CHRIS CHRISTIE,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,,,,REP,CHRIS CHRISTIE,9,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Palmyra Rd Meth Church,President,,REP,TED CRUZ,73,1,4,0,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Sherwood Elem School,President,,REP,TED CRUZ,95,1,8,0,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Covenant Pres Church,President,,REP,TED CRUZ,88,0,4,0,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Greenbriar Church,President,,REP,TED CRUZ,209,3,12,0,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Westover High School,President,,REP,TED CRUZ,130,1,7,0,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Merry Acres Middle,President,,REP,TED CRUZ,130,0,3,0,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Darton College,President,,REP,TED CRUZ,69,0,11,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Westtown Elem School,President,,REP,TED CRUZ,7,0,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Second Mt. Zion,President,,REP,TED CRUZ,44,0,2,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Mt. Zion Center,President,,REP,TED CRUZ,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Alice Coachman Elem,President,,REP,TED CRUZ,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Carver Teen Center,President,,REP,TED CRUZ,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Shiloh Baptist Church,President,,REP,TED CRUZ,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Litman Cathedral,President,,REP,TED CRUZ,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Phoebe Edu. Bldg,President,,REP,TED CRUZ,15,0,1,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Turner Elem School,President,,REP,TED CRUZ,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Jackson Heights Elem,President,,REP,TED CRUZ,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Bill Miller Center,President,,REP,TED CRUZ,9,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Radium Middle School,President,,REP,TED CRUZ,12,0,2,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Putney 1st Bapt Church,President,,REP,TED CRUZ,113,4,2,0,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,International Studie,President,,REP,TED CRUZ,15,1,1,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Phoebe East,President,,REP,TED CRUZ,12,0,1,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Pine Bluff Bapt Church,President,,REP,TED CRUZ,52,1,4,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Albany Middle School,President,,REP,TED CRUZ,5,0,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Christ Church,President,,REP,TED CRUZ,118,5,6,0,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Lamar Reese Elem School,President,,REP,TED CRUZ,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,First Christian Church,President,,REP,TED CRUZ,97,2,6,0,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Lovett Hall,President,,REP,TED CRUZ,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,,,,REP,TED CRUZ,1303,19,76,0,1398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Palmyra Rd Meth Church,President,,REP,CARLY FIORINA,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Sherwood Elem School,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Covenant Pres Church,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Greenbriar Church,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Westover High School,President,,REP,CARLY FIORINA,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Merry Acres Middle,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Darton College,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Westtown Elem School,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Second Mt. Zion,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Mt. Zion Center,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Alice Coachman Elem,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Carver Teen Center,President,,REP,CARLY FIORINA,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Shiloh Baptist Church,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Litman Cathedral,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Phoebe Edu. Bldg,President,,REP,CARLY FIORINA,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Turner Elem School,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Jackson Heights Elem,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Bill Miller Center,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Radium Middle School,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Putney 1st Bapt Church,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,International Studie,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Phoebe East,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Pine Bluff Bapt Church,President,,REP,CARLY FIORINA,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Albany Middle School,President,,REP,CARLY FIORINA,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Christ Church,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Lamar Reese Elem School,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,First Christian Church,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Lovett Hall,President,,REP,CARLY FIORINA,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,,,,REP,CARLY FIORINA,6,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Palmyra Rd Meth Church,President,,REP,LINDSEY GRAHAM,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Sherwood Elem School,President,,REP,LINDSEY GRAHAM,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Covenant Pres Church,President,,REP,LINDSEY GRAHAM,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Greenbriar Church,President,,REP,LINDSEY GRAHAM,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Westover High School,President,,REP,LINDSEY GRAHAM,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Merry Acres Middle,President,,REP,LINDSEY GRAHAM,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougherty,Darton College,President,,REP,LINDSEY GRAHAM,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
