county,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
,State Senator,24,REP,GREGORY GRZYBOWSKI,4627,2717,241,1669,0
Columbia,State Senator,24,REP,GREGORY GRZYBOWSKI,3251,2074,132,1045,0
Elbert,State Senator,24,REP,GREGORY GRZYBOWSKI,155,76,18,61,0
Hart,State Senator,24,REP,GREGORY GRZYBOWSKI,200,101,13,86,0
Lincoln,State Senator,24,REP,GREGORY GRZYBOWSKI,196,107,12,77,0
Oglethorpe,State Senator,24,REP,GREGORY GRZYBOWSKI,793,350,61,382,0
Richmond,State Senator,24,REP,GREGORY GRZYBOWSKI,10,3,2,5,0
Taliaferro,State Senator,24,REP,GREGORY GRZYBOWSKI,2,1,0,1,0
Wilkes,State Senator,24,REP,GREGORY GRZYBOWSKI,20,5,3,12,0
,State Senator,43,DEM,TONYA P. ANDERSON,4276,2481,154,1636,5
DeKalb,State Senator,43,DEM,TONYA P. ANDERSON,1035,872,34,129,0
Newton,State Senator,43,DEM,TONYA P. ANDERSON,1103,500,92,511,0
Rockdale,State Senator,43,DEM,TONYA P. ANDERSON,2138,1109,28,996,5
,State Senator,43,DEM,DEE DAWKINS-HAIGLER,4266,2816,80,1366,4
DeKalb,State Senator,43,DEM,DEE DAWKINS-HAIGLER,1288,1126,21,141,0
Newton,State Senator,43,DEM,DEE DAWKINS-HAIGLER,952,579,24,349,0
Rockdale,State Senator,43,DEM,DEE DAWKINS-HAIGLER,2026,1111,35,876,4
,State Representative,3,REP,DEWAYNE HILL,1825,1035,43,744,3
Catoosa,State Representative,3,REP,DEWAYNE HILL,1825,1035,43,744,3
,State Representative,3,REP,JEFF HOLCOMB,1326,696,64,564,2
Catoosa,State Representative,3,REP,JEFF HOLCOMB,1326,696,64,564,2
,State Representative,6,REP,TOM DICKSON (I),1564,1068,58,438,0
Murray,State Representative,6,REP,TOM DICKSON (I),403,290,12,101,0
Whitfield,State Representative,6,REP,TOM DICKSON (I),1161,778,46,337,0
,State Representative,6,REP,JASON T. RIDLEY,1839,1319,66,454,0
Murray,State Representative,6,REP,JASON T. RIDLEY,693,508,26,159,0
Whitfield,State Representative,6,REP,JASON T. RIDLEY,1146,811,40,295,0
,State Representative,8,REP,MATT GURTLER,3476,1739,233,1504,0
Rabun,State Representative,8,REP,MATT GURTLER,1125,401,162,562,0
Towns,State Representative,8,REP,MATT GURTLER,726,390,27,309,0
Union,State Representative,8,REP,MATT GURTLER,1471,829,35,607,0
White,State Representative,8,REP,MATT GURTLER,154,119,9,26,0
,State Representative,8,REP,KENT WOERNER,2237,898,228,1110,1
Rabun,State Representative,8,REP,KENT WOERNER,1186,372,181,633,0
Towns,State Representative,8,REP,KENT WOERNER,449,177,22,249,1
Union,State Representative,8,REP,KENT WOERNER,493,272,13,208,0
White,State Representative,8,REP,KENT WOERNER,109,77,12,20,0
,State Representative,59,DEM,JANINE BROWN,1526,1285,50,191,0
Fulton,State Representative,59,DEM,JANINE BROWN,1526,1285,50,191,0
,State Representative,59,DEM,DAVID DREYER,1850,1634,83,133,0
Fulton,State Representative,59,DEM,DAVID DREYER,1850,1634,83,133,0
,State Representative,62,DEM,WILLIAM K. BODDIE JR,1932,1301,13,618,0
Douglas,State Representative,62,DEM,WILLIAM K. BODDIE JR,195,139,2,54,0
Fulton,State Representative,62,DEM,WILLIAM K. BODDIE JR,1737,1162,11,564,0
,State Representative,62,DEM,VALERIE V. VIE,1115,756,13,343,3
Douglas,State Representative,62,DEM,VALERIE V. VIE,181,140,2,39,0
Fulton,State Representative,62,DEM,VALERIE V. VIE,934,616,11,304,3
,State Representative,63,DEM,DEBRA BAZEMORE,1238,978,12,247,1
Clayton,State Representative,63,DEM,DEBRA BAZEMORE,264,210,2,52,0
Fayette,State Representative,63,DEM,DEBRA BAZEMORE,320,264,7,49,0
Fulton,State Representative,63,DEM,DEBRA BAZEMORE,654,504,3,146,1
,State Representative,63,DEM,LINDA PRITCHETT,1177,912,21,244,0
Clayton,State Representative,63,DEM,LINDA PRITCHETT,256,206,5,45,0
Fayette,State Representative,63,DEM,LINDA PRITCHETT,336,266,6,64,0
Fulton,State Representative,63,DEM,LINDA PRITCHETT,585,440,10,135,0
,State Representative,73,REP,KAREN MATHIAK,2343,1516,59,768,0
Fayette,State Representative,73,REP,KAREN MATHIAK,668,416,22,230,0
Henry,State Representative,73,REP,KAREN MATHIAK,338,251,9,78,0
Spalding,State Representative,73,REP,KAREN MATHIAK,1337,849,28,460,0
,State Representative,73,REP,JOHN YATES (I),1849,1338,66,445,0
Fayette,State Representative,73,REP,JOHN YATES (I),562,427,19,116,0
Henry,State Representative,73,REP,JOHN YATES (I),242,198,17,27,0
Spalding,State Representative,73,REP,JOHN YATES (I),1045,713,30,302,0
,State Representative,77,DEM,RHONDA BURNOUGH,898,710,16,172,0
Clayton,State Representative,77,DEM,RHONDA BURNOUGH,898,710,16,172,0
,State Representative,77,DEM,DARRYL JORDAN (I),800,604,15,181,0
Clayton,State Representative,77,DEM,DARRYL JORDAN (I),800,604,15,181,0
,State Representative,80,REP,ALAN COLE,748,681,44,23,0
DeKalb,State Representative,80,REP,ALAN COLE,651,596,41,14,0
Fulton,State Representative,80,REP,ALAN COLE,97,85,3,9,0
,State Representative,80,REP,MEAGAN HANSON,777,714,21,42,0
DeKalb,State Representative,80,REP,MEAGAN HANSON,571,543,14,14,0
Fulton,State Representative,80,REP,MEAGAN HANSON,206,171,7,28,0
,State Representative,81,REP,JIM DUFFIE,205,181,19,5,0
DeKalb,State Representative,81,REP,JIM DUFFIE,204,180,19,5,0
Gwinnett,State Representative,81,REP,JIM DUFFIE,1,1,0,0,0
,State Representative,81,REP,LANE FLYNN,504,466,23,15,0
DeKalb,State Representative,81,REP,LANE FLYNN,491,453,23,15,0
Gwinnett,State Representative,81,REP,LANE FLYNN,13,13,0,0,0
,State Representative,91,DEM,VERNON JONES,2062,1371,41,644,6
DeKalb,State Representative,91,DEM,VERNON JONES,707,595,14,98,0
Rockdale,State Representative,91,DEM,VERNON JONES,1355,776,27,546,6
,State Representative,91,DEM,RHONDA S. TAYLOR,1757,1005,27,724,1
DeKalb,State Representative,91,DEM,RHONDA S. TAYLOR,420,374,11,35,0
Rockdale,State Representative,91,DEM,RHONDA S. TAYLOR,1337,631,16,689,1
,District Attorney,Griffin Circuit - REP,REP,BEN COKER,10161,5842,401,3914,4
Fayette,District Attorney,Griffin Circuit - REP,REP,BEN COKER,2760,1937,111,712,0
Pike,District Attorney,Griffin Circuit - REP,REP,BEN COKER,1277,800,96,381,0
Spalding,District Attorney,Griffin Circuit - REP,REP,BEN COKER,3370,2002,97,1269,2
Upson,District Attorney,Griffin Circuit - REP,REP,BEN COKER,2754,1103,97,1552,2
,District Attorney,Griffin Circuit - REP,REP,RUDJARD M HAYES,7653,5633,184,1835,1
Fayette,District Attorney,Griffin Circuit - REP,REP,RUDJARD M HAYES,5524,4301,123,1100,0
Pike,District Attorney,Griffin Circuit - REP,REP,RUDJARD M HAYES,235,160,12,62,1
Spalding,District Attorney,Griffin Circuit - REP,REP,RUDJARD M HAYES,1761,1103,46,612,0
Upson,District Attorney,Griffin Circuit - REP,REP,RUDJARD M HAYES,133,69,3,61,0
,Superior Court Judge,Atlanta Circuit (Shoob),,GARY M. ALEMBIK,15116,12414,394,2287,21
Fulton,Superior Court Judge,Atlanta Circuit (Shoob),,GARY M. ALEMBIK,15116,12414,394,2287,21
,Superior Court Judge,Atlanta Circuit (Shoob),,ERIC DUNAWAY,19463,14848,555,4028,32
Fulton,Superior Court Judge,Atlanta Circuit (Shoob),,ERIC DUNAWAY,19463,14848,555,4028,32
,Superior Court Judge,Atlanta Circuit (Lane),,STERLING EAVES,14730,11758,455,2503,14
Fulton,Superior Court Judge,Atlanta Circuit (Lane),,STERLING EAVES,14730,11758,455,2503,14
,Superior Court Judge,Atlanta Circuit (Lane),,BELINDA E. EDWARDS,20418,15897,517,3968,36
Fulton,Superior Court Judge,Atlanta Circuit (Lane),,BELINDA E. EDWARDS,20418,15897,517,3968,36
,Superior Court Judge,Clayton Circuit (Benefield),,ROBERT MACK,5868,4538,181,1148,1
Clayton,Superior Court Judge,Clayton Circuit (Benefield),,ROBERT MACK,5868,4538,181,1148,1
,Superior Court Judge,Clayton Circuit (Benefield),,LESLIE MILLER TERRY,4329,3198,126,1003,2
Clayton,Superior Court Judge,Clayton Circuit (Benefield),,LESLIE MILLER TERRY,4329,3198,126,1003,2
,Superior Court Judge,Clayton Circuit (Simmons),,SHANA M. ROOKS,6494,4811,197,1485,1
Clayton,Superior Court Judge,Clayton Circuit (Simmons),,SHANA M. ROOKS,6494,4811,197,1485,1
,Superior Court Judge,Clayton Circuit (Simmons),,JEWEL SCOTT,3912,3081,109,720,2
Clayton,Superior Court Judge,Clayton Circuit (Simmons),,JEWEL SCOTT,3912,3081,109,720,2
,Superior Court Judge,Conasauga Circuit (Partain),,STEVE FARROW,3583,2363,171,1049,0
Murray,Superior Court Judge,Conasauga Circuit (Partain),,STEVE FARROW,637,469,37,131,0
Whitfield,Superior Court Judge,Conasauga Circuit (Partain),,STEVE FARROW,2946,1894,134,918,0
,Superior Court Judge,Conasauga Circuit (Partain),,BARRY SCOTT MINTER,4609,3064,167,1377,1
Murray,Superior Court Judge,Conasauga Circuit (Partain),,BARRY SCOTT MINTER,1748,1156,64,528,0
Whitfield,Superior Court Judge,Conasauga Circuit (Partain),,BARRY SCOTT MINTER,2861,1908,103,849,1
,Superior Court Judge,Houston Circuit (Nunn),,G.E. BO ADAMS,4029,1857,200,1970,2
Houston,Superior Court Judge,Houston Circuit (Nunn),,G.E. BO ADAMS,4029,1857,200,1970,2
,Superior Court Judge,Houston Circuit (Nunn),,JEFFREY L. GRUBE,1638,823,116,698,1
Houston,Superior Court Judge,Houston Circuit (Nunn),,JEFFREY L. GRUBE,1638,823,116,698,1
,Superior Court Judge,Ogeechee Circuit (Turner),,MARTHA HALL,3554,2271,182,1098,3
Bulloch,Superior Court Judge,Ogeechee Circuit (Turner),,MARTHA HALL,1945,1217,102,624,2
Effingham,Superior Court Judge,Ogeechee Circuit (Turner),,MARTHA HALL,754,557,40,157,0
Jenkins,Superior Court Judge,Ogeechee Circuit (Turner),,MARTHA HALL,189,86,21,82,0
Screven,Superior Court Judge,Ogeechee Circuit (Turner),,MARTHA HALL,666,411,19,235,1
,Superior Court Judge,Ogeechee Circuit (Turner),,MICHAEL MULDREW,5573,3450,239,1879,5
Bulloch,Superior Court Judge,Ogeechee Circuit (Turner),,MICHAEL MULDREW,3968,2488,167,1309,4
Effingham,Superior Court Judge,Ogeechee Circuit (Turner),,MICHAEL MULDREW,671,463,28,180,0
Jenkins,Superior Court Judge,Ogeechee Circuit (Turner),,MICHAEL MULDREW,323,161,25,137,0
Screven,Superior Court Judge,Ogeechee Circuit (Turner),,MICHAEL MULDREW,611,338,19,253,1
,Superior Court Judge,South Georgia Circuit (Cato),,RYAN CLEVELAND,2341,1343,157,833,8
Baker,Superior Court Judge,South Georgia Circuit (Cato),,RYAN CLEVELAND,139,55,33,51,0
Calhoun,Superior Court Judge,South Georgia Circuit (Cato),,RYAN CLEVELAND,135,104,8,23,0
Decatur,Superior Court Judge,South Georgia Circuit (Cato),,RYAN CLEVELAND,1228,720,62,438,8
Grady,Superior Court Judge,South Georgia Circuit (Cato),,RYAN CLEVELAND,536,291,24,221,0
Mitchell,Superior Court Judge,South Georgia Circuit (Cato),,RYAN CLEVELAND,303,173,30,100,0
,Superior Court Judge,South Georgia Circuit (Cato),,HEATHER HENDRICKS LANIER,3907,2034,294,1568,11
Baker,Superior Court Judge,South Georgia Circuit (Cato),,HEATHER HENDRICKS LANIER,570,249,70,249,2
Calhoun,Superior Court Judge,South Georgia Circuit (Cato),,HEATHER HENDRICKS LANIER,344,240,35,69,0
Decatur,Superior Court Judge,South Georgia Circuit (Cato),,HEATHER HENDRICKS LANIER,838,485,29,316,8
Grady,Superior Court Judge,South Georgia Circuit (Cato),,HEATHER HENDRICKS LANIER,664,329,18,316,1
Mitchell,Superior Court Judge,South Georgia Circuit (Cato),,HEATHER HENDRICKS LANIER,1491,731,142,618,0
