county,precinct,office,district,party,candidate,votes,election_day_votes,advanced_votes,absentee_by_mail_votes,provisional_votes
Cherokee,Waleska,State Senate,21,Republican,Lance Calvert,44,32,9,3,0
Cherokee,Airport,State Senate,21,Republican,Stephanie Donegan,9,3,6,0,0
Cherokee,Avery,State Senate,21,Republican,Stephanie Donegan,3,,,,
Cherokee,Ball Ground,State Senate,21,Republican,Stephanie Donegan,9,8,1,0,0
Cherokee,Bradshaw,State Senate,21,Republican,Stephanie Donegan,10,7,3,0,0
Cherokee,Canton,State Senate,21,Republican,Stephanie Donegan,1,1,0,0,0
Cherokee,Conns Creek,State Senate,21,Republican,Stephanie Donegan,4,,,,
Cherokee,Free Home,State Senate,21,Republican,Stephanie Donegan,7,4,3,0,0
Cherokee,Hickory Flat,State Senate,21,Republican,Stephanie Donegan,11,6,5,0,0
Cherokee,Hickory Log,State Senate,21,Republican,Stephanie Donegan,17,6,11,0,0
Cherokee,Hightower,State Senate,21,Republican,Stephanie Donegan,4,3,1,0,0
Cherokee,Macedonia,State Senate,21,Republican,Stephanie Donegan,7,,,,
Cherokee,Mountain Road,State Senate,21,Republican,Stephanie Donegan,3,,,,
Cherokee,R M Moore,State Senate,21,Republican,Stephanie Donegan,7,5,2,0,0
Cherokee,River Green,State Senate,21,Republican,Stephanie Donegan,4,1,3,0,0
Cherokee,Salacoa,State Senate,21,Republican,Stephanie Donegan,0,,,,
Cherokee,Union Hill,State Senate,21,Republican,Stephanie Donegan,11,5,6,0,0
Cherokee,Univeter,State Senate,21,Republican,Stephanie Donegan,10,,,,
Cherokee,Waleska,State Senate,21,Republican,Stephanie Donegan,10,7,3,0,0
Cherokee,Airport,State Senate,21,Republican,Steve West,220,105,103,12,0
Cherokee,Avery,State Senate,21,Republican,Steve West,118,,,,
Cherokee,Ball Ground,State Senate,21,Republican,Steve West,207,156,51,0,0
Cherokee,Bradshaw,State Senate,21,Republican,Steve West,92,53,38,1,0
Cherokee,Canton,State Senate,21,Republican,Steve West,72,31,38,3,0
Cherokee,Conns Creek,State Senate,21,Republican,Steve West,117,,,,
Cherokee,Free Home,State Senate,21,Republican,Steve West,493,223,263,7,0
Cherokee,Hickory Flat,State Senate,21,Republican,Steve West,115,73,42,0,0
Cherokee,Hickory Log,State Senate,21,Republican,Steve West,316,74,236,6,0
Cherokee,Hightower,State Senate,21,Republican,Steve West,322,132,188,2,0
Cherokee,Macedonia,State Senate,21,Republican,Steve West,317,,,,
Cherokee,Mountain Road,State Senate,21,Republican,Steve West,71,,,,
Cherokee,R M Moore,State Senate,21,Republican,Steve West,178,91,84,3,0
Cherokee,River Green,State Senate,21,Republican,Steve West,130,63,64,3,0
Cherokee,Salacoa,State Senate,21,Republican,Steve West,40,,,,
Cherokee,Union Hill,State Senate,21,Republican,Steve West,186,100,84,2,0
Cherokee,Univeter,State Senate,21,Republican,Steve West,212,,,,
Cherokee,Waleska,State Senate,21,Republican,Steve West,90,60,30,0,0
Fulton,AP01B,State Senate,21,Democrat,Debra Shigley,85,,,,
Fulton,AP021,State Senate,21,Democrat,Debra Shigley,284,,,,
Fulton,AP022,State Senate,21,Democrat,Debra Shigley,162,51,107,4,0
Fulton,AP023,State Senate,21,Democrat,Debra Shigley,57,20,37,0,0
Fulton,AP04A,State Senate,21,Democrat,Debra Shigley,182,,,,
Fulton,AP04B,State Senate,21,Democrat,Debra Shigley,50,12,38,0,0
Fulton,AP06,State Senate,21,Democrat,Debra Shigley,206,,,,
Fulton,AP07A,State Senate,21,Democrat,Debra Shigley,430,115,310,5,0
Fulton,AP07C,State Senate,21,Democrat,Debra Shigley,41,,,,
Fulton,AP10,State Senate,21,Democrat,Debra Shigley,105,,,,
Fulton,AP12A,State Senate,21,Democrat,Debra Shigley,47,,,,
Fulton,AP12B,State Senate,21,Democrat,Debra Shigley,40,,,,
Fulton,AP12C,State Senate,21,Democrat,Debra Shigley,178,,,,
Fulton,ML01A,State Senate,21,Democrat,Debra Shigley,247,,,,
Fulton,ML01B,State Senate,21,Democrat,Debra Shigley,48,7,41,0,0
Fulton,ML01C,State Senate,21,Democrat,Debra Shigley,14,6,8,0,0
Fulton,ML02A,State Senate,21,Democrat,Debra Shigley,156,48,105,3,0
Fulton,ML02B,State Senate,21,Democrat,Debra Shigley,135,,,,
Fulton,ML03,State Senate,21,Democrat,Debra Shigley,289,,,,
Fulton,ML03A,State Senate,21,Democrat,Debra Shigley,23,4,19,0,0
Fulton,ML04,State Senate,21,Democrat,Debra Shigley,280,,,,
Fulton,ML05,State Senate,21,Democrat,Debra Shigley,381,,,,
Fulton,ML06A,State Senate,21,Democrat,Debra Shigley,121,43,78,0,0
Fulton,ML06B,State Senate,21,Democrat,Debra Shigley,266,,,,
Fulton,ML07A,State Senate,21,Democrat,Debra Shigley,55,,,,
Fulton,ML07B,State Senate,21,Democrat,Debra Shigley,132,,,,
Fulton,RW09A,State Senate,21,Democrat,Debra Shigley,211,,,,
Fulton,RW12A,State Senate,21,Democrat,Debra Shigley,305,,,,
Fulton,RW19,State Senate,21,Democrat,Debra Shigley,235,,,,
Fulton,AP01B,State Senate,21,Republican,Brian Will,15,,,,
Fulton,AP021,State Senate,21,Republican,Brian Will,93,,,,
Fulton,AP022,State Senate,21,Republican,Brian Will,33,8,23,2,0
Fulton,AP023,State Senate,21,Republican,Brian Will,6,2,4,0,0
Fulton,AP04A,State Senate,21,Republican,Brian Will,46,,,,
Fulton,AP04B,State Senate,21,Republican,Brian Will,8,0,8,0,0
Fulton,AP06,State Senate,21,Republican,Brian Will,32,,,,
Fulton,AP07A,State Senate,21,Republican,Brian Will,111,34,74,3,0
Fulton,AP07C,State Senate,21,Republican,Brian Will,21,,,,
Fulton,AP10,State Senate,21,Republican,Brian Will,31,,,,
Fulton,AP12A,State Senate,21,Republican,Brian Will,2,,,,
Fulton,AP12B,State Senate,21,Republican,Brian Will,1,,,,
Fulton,AP12C,State Senate,21,Republican,Brian Will,84,,,,
Fulton,ML01A,State Senate,21,Republican,Brian Will,38,,,,
Fulton,ML01B,State Senate,21,Republican,Brian Will,8,3,5,0,0
Fulton,ML01C,State Senate,21,Republican,Brian Will,0,0,0,0,0
Fulton,ML02A,State Senate,21,Republican,Brian Will,32,13,19,0,0
Fulton,ML02B,State Senate,21,Republican,Brian Will,41,,,,
Fulton,ML03,State Senate,21,Republican,Brian Will,33,,,,
Fulton,ML03A,State Senate,21,Republican,Brian Will,14,7,7,0,0
Fulton,ML04,State Senate,21,Republican,Brian Will,51,,,,
Fulton,ML05,State Senate,21,Republican,Brian Will,38,,,,
Fulton,ML06A,State Senate,21,Republican,Brian Will,7,0,7,0,0
Fulton,ML06B,State Senate,21,Republican,Brian Will,17,,,,
Fulton,ML07A,State Senate,21,Republican,Brian Will,8,,,,
Fulton,ML07B,State Senate,21,Republican,Brian Will,13,,,,
Fulton,RW09A,State Senate,21,Republican,Brian Will,39,,,,
Fulton,RW12A,State Senate,21,Republican,Brian Will,39,,,,
Fulton,RW19,State Senate,21,Republican,Brian Will,42,,,,
Fulton,AP01B,State Senate,21,Republican,Brice Futch,3,,,,
Fulton,AP021,State Senate,21,Republican,Brice Futch,15,,,,
Fulton,AP022,State Senate,21,Republican,Brice Futch,12,7,5,0,0
Fulton,AP023,State Senate,21,Republican,Brice Futch,2,2,0,0,0
Fulton,AP04A,State Senate,21,Republican,Brice Futch,4,,,,
Fulton,AP04B,State Senate,21,Republican,Brice Futch,2,2,0,0,0
Fulton,AP06,State Senate,21,Republican,Brice Futch,7,,,,
Fulton,AP07A,State Senate,21,Republican,Brice Futch,22,8,12,2,0
Fulton,AP07C,State Senate,21,Republican,Brice Futch,0,,,,
Fulton,AP10,State Senate,21,Republican,Brice Futch,2,,,,
Fulton,AP12A,State Senate,21,Republican,Brice Futch,0,,,,
Fulton,AP12B,State Senate,21,Republican,Brice Futch,0,,,,
Fulton,AP12C,State Senate,21,Republican,Brice Futch,2,,,,
Fulton,ML01A,State Senate,21,Republican,Brice Futch,20,,,,
Fulton,ML01B,State Senate,21,Republican,Brice Futch,1,0,1,0,0
Fulton,ML01C,State Senate,21,Republican,Brice Futch,1,0,1,0,0
Fulton,ML02A,State Senate,21,Republican,Brice Futch,13,4,9,0,0
Fulton,ML02B,State Senate,21,Republican,Brice Futch,8,,,,
Fulton,ML03,State Senate,21,Republican,Brice Futch,15,,,,
Fulton,ML03A,State Senate,21,Republican,Brice Futch,9,7,2,0,0
Fulton,ML04,State Senate,21,Republican,Brice Futch,17,,,,
Fulton,ML05,State Senate,21,Republican,Brice Futch,16,,,,
Fulton,ML06A,State Senate,21,Republican,Brice Futch,2,1,1,0,0
Fulton,ML06B,State Senate,21,Republican,Brice Futch,3,,,,
Fulton,ML07A,State Senate,21,Republican,Brice Futch,9,,,,
Fulton,ML07B,State Senate,21,Republican,Brice Futch,13,,,,
Fulton,RW09A,State Senate,21,Republican,Brice Futch,18,,,,
Fulton,RW12A,State Senate,21,Republican,Brice Futch,22,,,,
Fulton,RW19,State Senate,21,Republican,Brice Futch,16,,,,
Fulton,AP01B,State Senate,21,Republican,Jason T. Dickerson,6,,,,
Fulton,AP021,State Senate,21,Republican,Jason T. Dickerson,53,,,,
Fulton,AP022,State Senate,21,Republican,Jason T. Dickerson,29,12,16,1,0
Fulton,AP023,State Senate,21,Republican,Jason T. Dickerson,4,1,3,0,0
Fulton,AP04A,State Senate,21,Republican,Jason T. Dickerson,31,,,,
Fulton,AP04B,State Senate,21,Republican,Jason T. Dickerson,7,4,3,0,0
Fulton,AP06,State Senate,21,Republican,Jason T. Dickerson,38,,,,
Fulton,AP07A,State Senate,21,Republican,Jason T. Dickerson,69,28,40,1,0
Fulton,AP07C,State Senate,21,Republican,Jason T. Dickerson,20,,,,
Fulton,AP10,State Senate,21,Republican,Jason T. Dickerson,26,,,,
Fulton,AP12A,State Senate,21,Republican,Jason T. Dickerson,8,,,,
Fulton,AP12B,State Senate,21,Republican,Jason T. Dickerson,3,,,,
Fulton,AP12C,State Senate,21,Republican,Jason T. Dickerson,24,,,,
Fulton,ML01A,State Senate,21,Republican,Jason T. Dickerson,69,,,,
Fulton,ML01B,State Senate,21,Republican,Jason T. Dickerson,17,8,9,0,0
Fulton,ML01C,State Senate,21,Republican,Jason T. Dickerson,5,0,5,0,0
Fulton,ML02A,State Senate,21,Republican,Jason T. Dickerson,70,26,44,0,0
Fulton,ML02B,State Senate,21,Republican,Jason T. Dickerson,51,,,,
Fulton,ML03,State Senate,21,Republican,Jason T. Dickerson,120,,,,
Fulton,ML03A,State Senate,21,Republican,Jason T. Dickerson,12,6,6,0,0
Fulton,ML04,State Senate,21,Republican,Jason T. Dickerson,69,,,,
Fulton,ML05,State Senate,21,Republican,Jason T. Dickerson,79,,,,
Fulton,ML06A,State Senate,21,Republican,Jason T. Dickerson,6,1,5,0,0
Fulton,ML06B,State Senate,21,Republican,Jason T. Dickerson,18,,,,
Fulton,ML07A,State Senate,21,Republican,Jason T. Dickerson,24,,,,
Fulton,ML07B,State Senate,21,Republican,Jason T. Dickerson,35,,,,
Fulton,RW09A,State Senate,21,Republican,Jason T. Dickerson,45,,,,
Fulton,RW12A,State Senate,21,Republican,Jason T. Dickerson,61,,,,
Fulton,RW19,State Senate,21,Republican,Jason T. Dickerson,43,,,,
Fulton,AP01B,State Senate,21,Republican,Lance Calvert,5,,,,
Fulton,AP021,State Senate,21,Republican,Lance Calvert,24,,,,
Fulton,AP022,State Senate,21,Republican,Lance Calvert,14,5,9,0,0
Fulton,AP023,State Senate,21,Republican,Lance Calvert,0,0,0,0,0
Fulton,AP04A,State Senate,21,Republican,Lance Calvert,15,,,,
Fulton,AP04B,State Senate,21,Republican,Lance Calvert,4,3,1,0,0
Fulton,AP06,State Senate,21,Republican,Lance Calvert,12,,,,
Fulton,AP07A,State Senate,21,Republican,Lance Calvert,22,5,17,0,0
Fulton,AP07C,State Senate,21,Republican,Lance Calvert,3,,,,
Fulton,AP10,State Senate,21,Republican,Lance Calvert,0,,,,
Fulton,AP12A,State Senate,21,Republican,Lance Calvert,2,,,,
Fulton,AP12B,State Senate,21,Republican,Lance Calvert,1,,,,
Fulton,AP12C,State Senate,21,Republican,Lance Calvert,7,,,,
Fulton,ML01A,State Senate,21,Republican,Lance Calvert,16,,,,
Fulton,ML01B,State Senate,21,Republican,Lance Calvert,5,2,3,0,0
Fulton,ML01C,State Senate,21,Republican,Lance Calvert,4,0,4,0,0
Fulton,ML02A,State Senate,21,Republican,Lance Calvert,14,6,8,0,0
Fulton,ML02B,State Senate,21,Republican,Lance Calvert,9,,,,
Fulton,ML03,State Senate,21,Republican,Lance Calvert,23,,,,
Fulton,ML03A,State Senate,21,Republican,Lance Calvert,1,0,1,0,0
Fulton,ML04,State Senate,21,Republican,Lance Calvert,17,,,,
Fulton,ML05,State Senate,21,Republican,Lance Calvert,16,,,,
Fulton,ML06A,State Senate,21,Republican,Lance Calvert,3,1,2,0,0
Fulton,ML06B,State Senate,21,Republican,Lance Calvert,11,,,,
Fulton,ML07A,State Senate,21,Republican,Lance Calvert,10,,,,
Fulton,ML07B,State Senate,21,Republican,Lance Calvert,12,,,,
Fulton,RW09A,State Senate,21,Republican,Lance Calvert,8,,,,
Fulton,RW12A,State Senate,21,Republican,Lance Calvert,15,,,,
Fulton,RW19,State Senate,21,Republican,Lance Calvert,10,,,,
Fulton,AP01B,State Senate,21,Republican,Stephanie Donegan,5,,,,
Fulton,AP021,State Senate,21,Republican,Stephanie Donegan,5,,,,
Fulton,AP022,State Senate,21,Republican,Stephanie Donegan,5,0,5,0,0
Fulton,AP023,State Senate,21,Republican,Stephanie Donegan,0,0,0,0,0
Fulton,AP04A,State Senate,21,Republican,Stephanie Donegan,5,,,,
Fulton,AP04B,State Senate,21,Republican,Stephanie Donegan,0,0,0,0,0
Fulton,AP06,State Senate,21,Republican,Stephanie Donegan,4,,,,
Fulton,AP07A,State Senate,21,Republican,Stephanie Donegan,3,0,3,0,0
Fulton,AP07C,State Senate,21,Republican,Stephanie Donegan,3,,,,
Fulton,AP10,State Senate,21,Republican,Stephanie Donegan,2,,,,
Fulton,AP12A,State Senate,21,Republican,Stephanie Donegan,0,,,,
Fulton,AP12B,State Senate,21,Republican,Stephanie Donegan,0,,,,
Fulton,AP12C,State Senate,21,Republican,Stephanie Donegan,3,,,,
Fulton,ML01A,State Senate,21,Republican,Stephanie Donegan,3,,,,
Fulton,ML01B,State Senate,21,Republican,Stephanie Donegan,1,1,0,0,0
Fulton,ML01C,State Senate,21,Republican,Stephanie Donegan,1,0,1,0,0
Fulton,ML02A,State Senate,21,Republican,Stephanie Donegan,0,0,0,0,0
Fulton,ML02B,State Senate,21,Republican,Stephanie Donegan,2,,,,
Fulton,ML03,State Senate,21,Republican,Stephanie Donegan,6,,,,
Fulton,ML03A,State Senate,21,Republican,Stephanie Donegan,0,0,0,0,0
Fulton,ML04,State Senate,21,Republican,Stephanie Donegan,2,,,,
Fulton,ML05,State Senate,21,Republican,Stephanie Donegan,7,,,,
Fulton,ML06A,State Senate,21,Republican,Stephanie Donegan,2,0,2,0,0
Fulton,ML06B,State Senate,21,Republican,Stephanie Donegan,3,,,,
Fulton,ML07A,State Senate,21,Republican,Stephanie Donegan,0,,,,
Fulton,ML07B,State Senate,21,Republican,Stephanie Donegan,1,,,,
Fulton,RW09A,State Senate,21,Republican,Stephanie Donegan,5,,,,
Fulton,RW12A,State Senate,21,Republican,Stephanie Donegan,5,,,,
Fulton,RW19,State Senate,21,Republican,Stephanie Donegan,7,,,,
Fulton,AP01B,State Senate,21,Republican,Steve West,2,,,,
Fulton,AP021,State Senate,21,Republican,Steve West,25,,,,
Fulton,AP022,State Senate,21,Republican,Steve West,5,2,3,0,0
Fulton,AP023,State Senate,21,Republican,Steve West,2,2,0,0,0
Fulton,AP04A,State Senate,21,Republican,Steve West,15,,,,
Fulton,AP04B,State Senate,21,Republican,Steve West,3,2,1,0,0
Fulton,AP06,State Senate,21,Republican,Steve West,27,,,,
Fulton,AP07A,State Senate,21,Republican,Steve West,23,12,11,0,0
Fulton,AP07C,State Senate,21,Republican,Steve West,9,,,,
Fulton,AP10,State Senate,21,Republican,Steve West,15,,,,
Fulton,AP12A,State Senate,21,Republican,Steve West,1,,,,
Fulton,AP12B,State Senate,21,Republican,Steve West,0,,,,
Fulton,AP12C,State Senate,21,Republican,Steve West,9,,,,
Fulton,ML01A,State Senate,21,Republican,Steve West,21,,,,
Fulton,ML01B,State Senate,21,Republican,Steve West,5,0,5,0,0
Fulton,ML01C,State Senate,21,Republican,Steve West,0,0,0,0,0
Fulton,ML02A,State Senate,21,Republican,Steve West,18,7,9,2,0
Fulton,ML02B,State Senate,21,Republican,Steve West,12,,,,
Fulton,ML03,State Senate,21,Republican,Steve West,38,,,,
Fulton,ML03A,State Senate,21,Republican,Steve West,2,1,1,0,0
Fulton,ML04,State Senate,21,Republican,Steve West,29,,,,
Fulton,ML05,State Senate,21,Republican,Steve West,15,,,,
Fulton,ML06A,State Senate,21,Republican,Steve West,0,0,0,0,0
Fulton,ML06B,State Senate,21,Republican,Steve West,7,,,,
Fulton,ML07A,State Senate,21,Republican,Steve West,7,,,,
Fulton,ML07B,State Senate,21,Republican,Steve West,15,,,,
Fulton,RW09A,State Senate,21,Republican,Steve West,11,,,,
Fulton,RW12A,State Senate,21,Republican,Steve West,15,,,,
Fulton,RW19,State Senate,21,Republican,Steve West,15,,,,
