county,precinct,office,district,party,candidate,total_votes
Appling,2,PROBATE JUDGE,,NONPARTISAN,EMILY HARDWICK,430
Appling,2,PROBATE JUDGE,,NONPARTISAN,GRETCHEN BAILEY,504
Appling,2,PROPOSED CONSTITUTIONAL AMENDMENT 1,,,NO,163
Appling,2,PROPOSED CONSTITUTIONAL AMENDMENT 1,,,YES,782
Appling,2,PROPOSED CONSTITUTIONAL AMENDMENT 2,,,NO,111
Appling,2,PROPOSED CONSTITUTIONAL AMENDMENT 2,,,YES,859
Appling,2,SOIL AND WATER,,NONPARTISAN,ROBERT E MATHEWS,691
Appling,2,STATE SCHOOL SUPERINTENDENT,,Democrat,ALISHA THOMAS SEARCY,620
Appling,2,STATE SCHOOL SUPERINTENDENT,,Republican,RICHARD WOODS,402
Appling,2,STATEWIDE REFERENDUM QUESTION A,,,NO,393
Appling,2,STATEWIDE REFERENDUM QUESTION A,,,YES,553
Appling,2,STATEWIDE REFERENDUM QUESTION B,,,NO,322
Appling,2,STATEWIDE REFERENDUM QUESTION B,,,YES,623
Appling,2,Secretary of State,,Democrat,BEE NGUYEN,564
Appling,2,Secretary of State,,Libertarian,TED METZ,26
Appling,2,Secretary of State,,Republican,BRAD RAFFENSPERGER,426
Appling,2,State House,157,Republican,"WILLIAM ""BILL"" WERKHEISER",633
Appling,2,State Senate,019,Democrat,"MICHAEL ""BUCKLE"" MOORE",606
Appling,2,State Senate,019,Republican,BLAKE TILLERY,415
Appling,2,U.S. House,001,Democrat,WADE HERRING,625
Appling,2,U.S. House,001,Republican,"EARL L ""BUDDY"" CARTER",407
Appling,2,U.S. Senate,,Democrat,RAPHAEL WARNOCK,641
Appling,2,U.S. Senate,,Democrat,RAPHAEL WARNOCK,661
Appling,2,U.S. Senate,,Libertarian,CHASE OLIVER,11
Appling,2,U.S. Senate,,Republican,HERSCHEL JUNIOR WALKER,393
Appling,2,U.S. Senate,,Republican,HERSCHEL JUNIOR WALKER,351
Appling,3A1,Attorney General,,Democrat,"JENNIFER ""JEN"" JORDAN",17
Appling,3A1,Attorney General,,Libertarian,MARTIN COWEN,0
Appling,3A1,Attorney General,,Republican,CHRIS CARR,507
Appling,3A1,COUNTY COMMISISONER - CHAIRMAN,,Republican,LESLIE BURCH,503
Appling,3A1,COUNTY COMMISSIONER,003,Republican,DARYL L EDWARDS,495
Appling,3A1,Commissioner of Agriculture,,Democrat,NAKITA HEMINGWAY,17
Appling,3A1,Commissioner of Agriculture,,Libertarian,DAVID RAUDABAUGH,2
Appling,3A1,Commissioner of Agriculture,,Republican,TYLER HARPER,503
Appling,3A1,Commissioner of Insurance,,Democrat,JANICE LAWS ROBINSON,17
Appling,3A1,Commissioner of Insurance,,Republican,JOHN KING,507
Appling,3A1,Commissioner of Labor,,Democrat,"WILLIAM ""WILL"" BODDIE JR",20
Appling,3A1,Commissioner of Labor,,Libertarian,EMILY ANDERSON,2
Appling,3A1,Commissioner of Labor,,Republican,BRUCE THOMPSON,501
Appling,3A1,Governor,,Democrat,STACEY ABRAMS,17
Appling,3A1,Governor,,Libertarian,SHANE HAZEL,1
Appling,3A1,Governor,,Republican,BRIAN KEMP,511
Appling,3A1,Lieutenant Governor,,Democrat,CHARLIE BAILEY,17
Appling,3A1,Lieutenant Governor,,Libertarian,RYAN GRAHAM,2
Appling,3A1,Lieutenant Governor,,Republican,BURT JONES,505
Appling,3A1,PROBATE JUDGE,,NONPARTISAN,EMILY HARDWICK,152
Appling,3A1,PROBATE JUDGE,,NONPARTISAN,GRETCHEN BAILEY,355
Appling,3A1,PROPOSED CONSTITUTIONAL AMENDMENT 1,,,NO,77
Appling,3A1,PROPOSED CONSTITUTIONAL AMENDMENT 1,,,YES,434
Appling,3A1,PROPOSED CONSTITUTIONAL AMENDMENT 2,,,NO,62
Appling,3A1,PROPOSED CONSTITUTIONAL AMENDMENT 2,,,YES,454
Appling,3A1,SOIL AND WATER,,NONPARTISAN,ROBERT E MATHEWS,488
Appling,3A1,STATE SCHOOL SUPERINTENDENT,,Democrat,ALISHA THOMAS SEARCY,20
Appling,3A1,STATE SCHOOL SUPERINTENDENT,,Republican,RICHARD WOODS,504
Appling,3A1,STATEWIDE REFERENDUM QUESTION A,,,NO,174
Appling,3A1,STATEWIDE REFERENDUM QUESTION A,,,YES,336
Appling,3A1,STATEWIDE REFERENDUM QUESTION B,,,NO,123
Appling,3A1,STATEWIDE REFERENDUM QUESTION B,,,YES,389
Appling,3A1,Secretary of State,,Democrat,BEE NGUYEN,18
Appling,3A1,Secretary of State,,Libertarian,TED METZ,8
Appling,3A1,Secretary of State,,Republican,BRAD RAFFENSPERGER,493
Appling,3A1,State House,157,Republican,"WILLIAM ""BILL"" WERKHEISER",511
Appling,3A1,State Senate,019,Democrat,"MICHAEL ""BUCKLE"" MOORE",17
Appling,3A1,State Senate,019,Republican,BLAKE TILLERY,510
Appling,3A1,U.S. House,001,Democrat,WADE HERRING,20
Appling,3A1,U.S. House,001,Republican,"EARL L ""BUDDY"" CARTER",507
Appling,3A1,U.S. Senate,,Democrat,RAPHAEL WARNOCK,23
Appling,3A1,U.S. Senate,,Democrat,RAPHAEL WARNOCK,19
Appling,3A1,U.S. Senate,,Libertarian,CHASE OLIVER,8
Appling,3A1,U.S. Senate,,Republican,HERSCHEL JUNIOR WALKER,493
Appling,3A1,U.S. Senate,,Republican,HERSCHEL JUNIOR WALKER,466
Appling,3C,Attorney General,,Democrat,"JENNIFER ""JEN"" JORDAN",198
Appling,3C,Attorney General,,Libertarian,MARTIN COWEN,9
Appling,3C,Attorney General,,Republican,CHRIS CARR,724
Appling,3C,COUNTY COMMISISONER - CHAIRMAN,,Republican,LESLIE BURCH,798
Appling,3C,COUNTY COMMISSIONER,003,Republican,DARYL L EDWARDS,776
Appling,3C,Commissioner of Agriculture,,Democrat,NAKITA HEMINGWAY,180
Appling,3C,Commissioner of Agriculture,,Libertarian,DAVID RAUDABAUGH,10
Appling,3C,Commissioner of Agriculture,,Republican,TYLER HARPER,739
Appling,3C,Commissioner of Insurance,,Democrat,JANICE LAWS ROBINSON,191
Appling,3C,Commissioner of Insurance,,Republican,JOHN KING,739
Appling,3C,Commissioner of Labor,,Democrat,"WILLIAM ""WILL"" BODDIE JR",191
Appling,3C,Commissioner of Labor,,Libertarian,EMILY ANDERSON,9
Appling,3C,Commissioner of Labor,,Republican,BRUCE THOMPSON,729
Appling,3C,Governor,,Democrat,STACEY ABRAMS,189
Appling,3C,Governor,,Libertarian,SHANE HAZEL,4
Appling,3C,Governor,,Republican,BRIAN KEMP,750
Appling,3C,Lieutenant Governor,,Democrat,CHARLIE BAILEY,190
Appling,3C,Lieutenant Governor,,Libertarian,RYAN GRAHAM,6
Appling,3C,Lieutenant Governor,,Republican,BURT JONES,731
Appling,3C,PROBATE JUDGE,,NONPARTISAN,EMILY HARDWICK,340
Appling,3C,PROBATE JUDGE,,NONPARTISAN,GRETCHEN BAILEY,542
Appling,3C,PROPOSED CONSTITUTIONAL AMENDMENT 1,,,NO,110
Appling,3C,PROPOSED CONSTITUTIONAL AMENDMENT 1,,,YES,778
Appling,3C,PROPOSED CONSTITUTIONAL AMENDMENT 2,,,NO,88
Appling,3C,PROPOSED CONSTITUTIONAL AMENDMENT 2,,,YES,811
Appling,3C,SOIL AND WATER,,NONPARTISAN,ROBERT E MATHEWS,788
Appling,3C,STATE SCHOOL SUPERINTENDENT,,Democrat,ALISHA THOMAS SEARCY,187
Appling,3C,STATE SCHOOL SUPERINTENDENT,,Republican,RICHARD WOODS,745
Appling,3C,STATEWIDE REFERENDUM QUESTION A,,,NO,369
Appling,3C,STATEWIDE REFERENDUM QUESTION A,,,YES,502
Appling,3C,STATEWIDE REFERENDUM QUESTION B,,,NO,292
Appling,3C,STATEWIDE REFERENDUM QUESTION B,,,YES,581
Appling,3C,Secretary of State,,Democrat,BEE NGUYEN,178
Appling,3C,Secretary of State,,Libertarian,TED METZ,33
Appling,3C,Secretary of State,,Republican,BRAD RAFFENSPERGER,718
Appling,3C,State House,178,Republican,STEVEN MEEKS,58
Appling,3C,State House,157,Republican,"WILLIAM ""BILL"" WERKHEISER",748
Appling,3C,State Senate,019,Democrat,"MICHAEL ""BUCKLE"" MOORE",181
Appling,3C,State Senate,019,Republican,BLAKE TILLERY,752
Appling,3C,U.S. House,001,Democrat,WADE HERRING,195
Appling,3C,U.S. House,001,Republican,"EARL L ""BUDDY"" CARTER",738
Appling,3C,U.S. Senate,,Democrat,RAPHAEL WARNOCK,213
Appling,3C,U.S. Senate,,Democrat,RAPHAEL WARNOCK,208
Appling,3C,U.S. Senate,,Libertarian,CHASE OLIVER,5
Appling,3C,U.S. Senate,,Republican,HERSCHEL JUNIOR WALKER,726
Appling,3C,U.S. Senate,,Republican,HERSCHEL JUNIOR WALKER,682
Appling,4B,Attorney General,,Democrat,"JENNIFER ""JEN"" JORDAN",14
Appling,4B,Attorney General,,Libertarian,MARTIN COWEN,5
Appling,4B,Attorney General,,Republican,CHRIS CARR,591
Appling,4B,COUNTY COMMISISONER - CHAIRMAN,,Republican,LESLIE BURCH,593
Appling,4B,Commissioner of Agriculture,,Democrat,NAKITA HEMINGWAY,12
Appling,4B,Commissioner of Agriculture,,Libertarian,DAVID RAUDABAUGH,2
Appling,4B,Commissioner of Agriculture,,Republican,TYLER HARPER,596
Appling,4B,Commissioner of Insurance,,Democrat,JANICE LAWS ROBINSON,12
Appling,4B,Commissioner of Insurance,,Republican,JOHN KING,594
Appling,4B,Commissioner of Labor,,Democrat,"WILLIAM ""WILL"" BODDIE JR",14
Appling,4B,Commissioner of Labor,,Libertarian,EMILY ANDERSON,1
Appling,4B,Commissioner of Labor,,Republican,BRUCE THOMPSON,593
Appling,4B,Governor,,Democrat,STACEY ABRAMS,9
Appling,4B,Governor,,Libertarian,SHANE HAZEL,0
Appling,4B,Governor,,Republican,BRIAN KEMP,611
Appling,4B,Lieutenant Governor,,Democrat,CHARLIE BAILEY,16
Appling,4B,Lieutenant Governor,,Libertarian,RYAN GRAHAM,1
Appling,4B,Lieutenant Governor,,Republican,BURT JONES,589
Appling,4B,PROBATE JUDGE,,NONPARTISAN,EMILY HARDWICK,164
Appling,4B,PROBATE JUDGE,,NONPARTISAN,GRETCHEN BAILEY,436
Appling,4B,PROPOSED CONSTITUTIONAL AMENDMENT 1,,,NO,67
Appling,4B,PROPOSED CONSTITUTIONAL AMENDMENT 1,,,YES,520
Appling,4B,PROPOSED CONSTITUTIONAL AMENDMENT 2,,,NO,57
Appling,4B,PROPOSED CONSTITUTIONAL AMENDMENT 2,,,YES,534
Appling,4B,SOIL AND WATER,,NONPARTISAN,ROBERT E MATHEWS,543
Appling,4B,STATE SCHOOL SUPERINTENDENT,,Democrat,ALISHA THOMAS SEARCY,13
Appling,4B,STATE SCHOOL SUPERINTENDENT,,Republican,RICHARD WOODS,591
Appling,4B,STATEWIDE REFERENDUM QUESTION A,,,NO,209
Appling,4B,STATEWIDE REFERENDUM QUESTION A,,,YES,376
Appling,4B,STATEWIDE REFERENDUM QUESTION B,,,NO,152
Appling,4B,STATEWIDE REFERENDUM QUESTION B,,,YES,439
Appling,4B,Secretary of State,,Democrat,BEE NGUYEN,11
Appling,4B,Secretary of State,,Libertarian,TED METZ,19
Appling,4B,Secretary of State,,Republican,BRAD RAFFENSPERGER,572
Appling,4B,State House,178,Republican,STEVEN MEEKS,605
Appling,4B,State Senate,019,Democrat,"MICHAEL ""BUCKLE"" MOORE",10
Appling,4B,State Senate,019,Republican,BLAKE TILLERY,598
Appling,4B,U.S. House,001,Democrat,WADE HERRING,15
Appling,4B,U.S. House,001,Republican,"EARL L ""BUDDY"" CARTER",599
Appling,4B,U.S. Senate,,Democrat,RAPHAEL WARNOCK,23
Appling,4B,U.S. Senate,,Democrat,RAPHAEL WARNOCK,20
Appling,4B,U.S. Senate,,Libertarian,CHASE OLIVER,2
Appling,4B,U.S. Senate,,Republican,HERSCHEL JUNIOR WALKER,592
Appling,4B,U.S. Senate,,Republican,HERSCHEL JUNIOR WALKER,560
Appling,4D,Attorney General,,Democrat,"JENNIFER ""JEN"" JORDAN",77
Appling,4D,Attorney General,,Libertarian,MARTIN COWEN,2
Appling,4D,Attorney General,,Republican,CHRIS CARR,809
Appling,4D,COUNTY COMMISISONER - CHAIRMAN,,Republican,LESLIE BURCH,834
Appling,4D,Commissioner of Agriculture,,Democrat,NAKITA HEMINGWAY,65
Appling,4D,Commissioner of Agriculture,,Libertarian,DAVID RAUDABAUGH,5
Appling,4D,Commissioner of Agriculture,,Republican,TYLER HARPER,819
Appling,4D,Commissioner of Insurance,,Democrat,JANICE LAWS ROBINSON,72
Appling,4D,Commissioner of Insurance,,Republican,JOHN KING,812
Appling,4D,Commissioner of Labor,,Democrat,"WILLIAM ""WILL"" BODDIE JR",69
Appling,4D,Commissioner of Labor,,Libertarian,EMILY ANDERSON,6
Appling,4D,Commissioner of Labor,,Republican,BRUCE THOMPSON,813
Appling,4D,Governor,,Democrat,STACEY ABRAMS,67
Appling,4D,Governor,,Libertarian,SHANE HAZEL,0
Appling,4D,Governor,,Republican,BRIAN KEMP,830
Appling,4D,Lieutenant Governor,,Democrat,CHARLIE BAILEY,73
Appling,4D,Lieutenant Governor,,Libertarian,RYAN GRAHAM,4
Appling,4D,Lieutenant Governor,,Republican,BURT JONES,802
Appling,4D,PROBATE JUDGE,,NONPARTISAN,EMILY HARDWICK,360
Appling,4D,PROBATE JUDGE,,NONPARTISAN,GRETCHEN BAILEY,499
Appling,4D,PROPOSED CONSTITUTIONAL AMENDMENT 1,,,NO,85
Appling,4D,PROPOSED CONSTITUTIONAL AMENDMENT 1,,,YES,769
Appling,4D,PROPOSED CONSTITUTIONAL AMENDMENT 2,,,NO,70
Appling,4D,PROPOSED CONSTITUTIONAL AMENDMENT 2,,,YES,799
Appling,4D,SOIL AND WATER,,NONPARTISAN,ROBERT E MATHEWS,770
Appling,4D,STATE SCHOOL SUPERINTENDENT,,Democrat,ALISHA THOMAS SEARCY,74
Appling,4D,STATE SCHOOL SUPERINTENDENT,,Republican,RICHARD WOODS,815
Appling,4D,STATEWIDE REFERENDUM QUESTION A,,,NO,319
Appling,4D,STATEWIDE REFERENDUM QUESTION A,,,YES,534
Appling,4D,STATEWIDE REFERENDUM QUESTION B,,,NO,211
Appling,4D,STATEWIDE REFERENDUM QUESTION B,,,YES,647
Appling,4D,Secretary of State,,Democrat,BEE NGUYEN,59
Appling,4D,Secretary of State,,Libertarian,TED METZ,19
Appling,4D,Secretary of State,,Republican,BRAD RAFFENSPERGER,803
Appling,4D,State House,178,Republican,STEVEN MEEKS,837
Appling,4D,State Senate,019,Democrat,"MICHAEL ""BUCKLE"" MOORE",70
Appling,4D,State Senate,019,Republican,BLAKE TILLERY,822
Appling,4D,U.S. House,001,Democrat,WADE HERRING,78
Appling,4D,U.S. House,001,Republican,"EARL L ""BUDDY"" CARTER",808
Appling,4D,U.S. Senate,,Democrat,RAPHAEL WARNOCK,92
Appling,4D,U.S. Senate,,Democrat,RAPHAEL WARNOCK,84
Appling,4D,U.S. Senate,,Libertarian,CHASE OLIVER,6
Appling,4D,U.S. Senate,,Republican,HERSCHEL JUNIOR WALKER,795
Appling,4D,U.S. Senate,,Republican,HERSCHEL JUNIOR WALKER,759
Appling,5A,Attorney General,,Democrat,"JENNIFER ""JEN"" JORDAN",69
Appling,5A,Attorney General,,Libertarian,MARTIN COWEN,1
Appling,5A,Attorney General,,Republican,CHRIS CARR,551
Appling,5A,COUNTY COMMISISONER - CHAIRMAN,,Republican,LESLIE BURCH,575
Appling,5A,Commissioner of Agriculture,,Democrat,NAKITA HEMINGWAY,57
Appling,5A,Commissioner of Agriculture,,Libertarian,DAVID RAUDABAUGH,6
Appling,5A,Commissioner of Agriculture,,Republican,TYLER HARPER,564
Appling,5A,Commissioner of Insurance,,Democrat,JANICE LAWS ROBINSON,64
Appling,5A,Commissioner of Insurance,,Republican,JOHN KING,562
Appling,5A,Commissioner of Labor,,Democrat,"WILLIAM ""WILL"" BODDIE JR",63
Appling,5A,Commissioner of Labor,,Libertarian,EMILY ANDERSON,2
Appling,5A,Commissioner of Labor,,Republican,BRUCE THOMPSON,559
Appling,5A,Governor,,Democrat,STACEY ABRAMS,58
Appling,5A,Governor,,Libertarian,SHANE HAZEL,2
Appling,5A,Governor,,Republican,BRIAN KEMP,568
Appling,5A,Lieutenant Governor,,Democrat,CHARLIE BAILEY,54
Appling,5A,Lieutenant Governor,,Libertarian,RYAN GRAHAM,5
Appling,5A,Lieutenant Governor,,Republican,BURT JONES,563
Appling,5A,PROBATE JUDGE,,NONPARTISAN,EMILY HARDWICK,224
Appling,5A,PROBATE JUDGE,,NONPARTISAN,GRETCHEN BAILEY,372
Appling,5A,PROPOSED CONSTITUTIONAL AMENDMENT 1,,,NO,62
Appling,5A,PROPOSED CONSTITUTIONAL AMENDMENT 1,,,YES,535
Appling,5A,PROPOSED CONSTITUTIONAL AMENDMENT 2,,,NO,52
Appling,5A,PROPOSED CONSTITUTIONAL AMENDMENT 2,,,YES,553
Appling,5A,SOIL AND WATER,,NONPARTISAN,ROBERT E MATHEWS,535
Appling,5A,STATE SCHOOL SUPERINTENDENT,,Democrat,ALISHA THOMAS SEARCY,60
Appling,5A,STATE SCHOOL SUPERINTENDENT,,Republican,RICHARD WOODS,566
Appling,5A,STATEWIDE REFERENDUM QUESTION A,,,NO,226
Appling,5A,STATEWIDE REFERENDUM QUESTION A,,,YES,372
Appling,5A,STATEWIDE REFERENDUM QUESTION B,,,NO,164
Appling,5A,STATEWIDE REFERENDUM QUESTION B,,,YES,432
Appling,5A,Secretary of State,,Democrat,BEE NGUYEN,52
Appling,5A,Secretary of State,,Libertarian,TED METZ,12
Appling,5A,Secretary of State,,Republican,BRAD RAFFENSPERGER,559
Appling,5A,State House,157,Republican,"WILLIAM ""BILL"" WERKHEISER",581
Appling,5A,State Senate,019,Democrat,"MICHAEL ""BUCKLE"" MOORE",63
Appling,5A,State Senate,019,Republican,BLAKE TILLERY,563
Appling,5A,U.S. House,001,Democrat,WADE HERRING,71
Appling,5A,U.S. House,001,Republican,"EARL L ""BUDDY"" CARTER",555
Appling,5A,U.S. Senate,,Democrat,RAPHAEL WARNOCK,76
Appling,5A,U.S. Senate,,Democrat,RAPHAEL WARNOCK,70
Appling,5A,U.S. Senate,,Libertarian,CHASE OLIVER,8
Appling,5A,U.S. Senate,,Republican,HERSCHEL JUNIOR WALKER,543
Appling,5A,U.S. Senate,,Republican,HERSCHEL JUNIOR WALKER,498
Appling,5B,Attorney General,,Democrat,"JENNIFER ""JEN"" JORDAN",45
Appling,5B,Attorney General,,Libertarian,MARTIN COWEN,5
Appling,5B,Attorney General,,Republican,CHRIS CARR,511
Appling,5B,COUNTY COMMISISONER - CHAIRMAN,,Republican,LESLIE BURCH,529
Appling,5B,Commissioner of Agriculture,,Democrat,NAKITA HEMINGWAY,38
Appling,5B,Commissioner of Agriculture,,Libertarian,DAVID RAUDABAUGH,5
Appling,5B,Commissioner of Agriculture,,Republican,TYLER HARPER,521
Appling,5B,Commissioner of Insurance,,Democrat,JANICE LAWS ROBINSON,39
Appling,5B,Commissioner of Insurance,,Republican,JOHN KING,520
Appling,5B,Commissioner of Labor,,Democrat,"WILLIAM ""WILL"" BODDIE JR",38
Appling,5B,Commissioner of Labor,,Libertarian,EMILY ANDERSON,5
Appling,5B,Commissioner of Labor,,Republican,BRUCE THOMPSON,519
Appling,5B,Governor,,Democrat,STACEY ABRAMS,36
Appling,5B,Governor,,Libertarian,SHANE HAZEL,1
Appling,5B,Governor,,Republican,BRIAN KEMP,535
Appling,5B,Lieutenant Governor,,Democrat,CHARLIE BAILEY,44
