country,office,district,party,candidate,votes
CARROLL,State Senate,30,Republican,BILL HAMRICK,15491
DOUGLAS,State Senate,30,Republican,BILL HAMRICK,14984
BARTOW,State Senate,31,Democrat,NATHAN DEAN,6862
HARALSON,State Senate,31,Democrat,NATHAN DEAN,5869
PAULDING,State Senate,31,Democrat,NATHAN DEAN,12648
POLK,State Senate,31,Democrat,NATHAN DEAN,7515
BARTOW,State Senate,31,Republican,DIANE COKER,3815
HARALSON,State Senate,31,Republican,DIANE COKER,2365
PAULDING,State Senate,31,Republican,DIANE COKER,10806
POLK,State Senate,31,Republican,DIANE COKER,2679
COBB,State Senate,32,Democrat,MIKE TODD,19862
COBB,State Senate,32,Republican,CHARLIE TANKSLEY,32867
COBB,State Senate,33,Democrat,STEVE THOMPSON,26608
COBB,State Senate,33,Republican,ERIC ECKERT,12422
CLAYTON,State Senate,34,Democrat,GREG HECHT,18542
DOUGLAS,State Senate,34,Democrat,GREG HECHT,4716
FAYETTE,State Senate,34,Democrat,GREG HECHT,8225
FULTON,State Senate,34,Democrat,GREG HECHT,1210
CLAYTON,State Senate,34,Republican,BRYAN HILTON,6777
DOUGLAS,State Senate,34,Republican,BRYAN HILTON,3282
FAYETTE,State Senate,34,Republican,BRYAN HILTON,9334
FULTON,State Senate,34,Republican,BRYAN HILTON,941
FULTON,State Senate,35,Democrat,DONZELLA JAMES,28588
FULTON,State Senate,36,Democrat,DAVID SCOTT,21782
CHEROKEE,State Senate,37,Republican,PHIL GINGREY,18035
COBB,State Senate,37,Republican,PHIL GINGREY,51999
COBB,State Senate,38,Democrat,HORACENA TATE,1860
FULTON,State Senate,38,Democrat,HORACENA TATE,26734
FULTON,State Senate,39,Democrat,VINCENT FORT,23031
FULTON,State Senate,40,Republican,RUSTY PAUL,38965
DEKALB,State Senate,41,Republican,BART LADD,19062
GWINNETT,State Senate,41,Republican,BART LADD,15634
DEKALB,State Senate,42,Democrat,MIKE POLAK,26485
DEKALB,State Senate,42,Republican,MARIANNE SHAVER,14402
DEKALB,State Senate,43,Democrat,CONNIE STOKES,46255
CLAYTON,State Senate,44,Democrat,TERRELL A. STARR,27263
BARROW,State Senate,45,Republican,BOB GUHL,4805
NEWTON,State Senate,45,Republican,BOB GUHL,7912
ROCKDALE,State Senate,45,Republican,BOB GUHL,7633
WALTON,State Senate,45,Republican,BOB GUHL,14578
BARROW,State Senate,46,Democrat,DOUG HAINES,2108
CLARKE,State Senate,46,Democrat,DOUG HAINES,15429
OCONEE,State Senate,46,Democrat,DOUG HAINES,3804
BARROW,State Senate,46,Republican,JIM IVEY,3731
CLARKE,State Senate,46,Republican,JIM IVEY,10001
OCONEE,State Senate,46,Republican,JIM IVEY,7112
BANKS,State Senate,47,Democrat,EDDIE MADDEN,2081
ELBERT,State Senate,47,Democrat,EDDIE MADDEN,3784
FRANKLIN,State Senate,47,Democrat,EDDIE MADDEN,2872
HART,State Senate,47,Democrat,EDDIE MADDEN,3228
JACKSON,State Senate,47,Democrat,EDDIE MADDEN,4647
MADISON,State Senate,47,Democrat,EDDIE MADDEN,3357
BANKS,State Senate,47,Republican,MIKE BEATTY,2483
ELBERT,State Senate,47,Republican,MIKE BEATTY,2370
FRANKLIN,State Senate,47,Republican,MIKE BEATTY,2999
HART,State Senate,47,Republican,MIKE BEATTY,3387
JACKSON,State Senate,47,Republican,MIKE BEATTY,6876
MADISON,State Senate,47,Republican,MIKE BEATTY,3831
FORSYTH,State Senate,48,Republican,BILLY RAY,17205
FULTON,State Senate,48,Republican,BILLY RAY,8084
GWINNETT,State Senate,48,Republican,BILLY RAY,58052
FORSYTH,State Senate,49,Democrat,BOB VASS,2985
HALL,State Senate,49,Democrat,BOB VASS,13986
FORSYTH,State Senate,49,Republican,CASEY CAGLE,10520
HALL,State Senate,49,Republican,CASEY CAGLE,23904
DAWSON,State Senate,50,Democrat,CAROL JACKSON,2118
HABERSHAM,State Senate,50,Democrat,CAROL JACKSON,4338
LUMPKIN,State Senate,50,Democrat,CAROL JACKSON,2742
RABUN,State Senate,50,Democrat,CAROL JACKSON,2669
STEPHENS,State Senate,50,Democrat,CAROL JACKSON,4210
TOWNS,State Senate,50,Democrat,CAROL JACKSON,2350
UNION,State Senate,50,Democrat,CAROL JACKSON,3833
WHITE,State Senate,50,Democrat,CAROL JACKSON,4593
DAWSON,State Senate,50,Republican,GUY MIDDLETON,3659
HABERSHAM,State Senate,50,Republican,GUY MIDDLETON,4891
LUMPKIN,State Senate,50,Republican,GUY MIDDLETON,4070
RABUN,State Senate,50,Republican,GUY MIDDLETON,2362
STEPHENS,State Senate,50,Republican,GUY MIDDLETON,3459
TOWNS,State Senate,50,Republican,GUY MIDDLETON,2047
UNION,State Senate,50,Republican,GUY MIDDLETON,3086
WHITE,State Senate,50,Republican,GUY MIDDLETON,2604
CHEROKEE,State Senate,51,Republican,BILL STEPHENS,15621
FANNIN,State Senate,51,Republican,BILL STEPHENS,5732
GILMER,State Senate,51,Republican,BILL STEPHENS,4890
GORDON,State Senate,51,Republican,BILL STEPHENS,7307
PICKENS,State Senate,51,Republican,BILL STEPHENS,4271
BARTOW,State Senate,52,Democrat,RICHARD O. MARABLE,5009
FLOYD,State Senate,52,Democrat,RICHARD O. MARABLE,15944
BARTOW,State Senate,52,Republican,CHUCK SHIFLETT,6615
FLOYD,State Senate,52,Republican,CHUCK SHIFLETT,10887
CHATTOOGA,State Senate,53,Democrat,SONNY HUGGINS,3907
DADE,State Senate,53,Democrat,SONNY HUGGINS,1845
WALKER,State Senate,53,Democrat,SONNY HUGGINS,7935
WHITFIELD,State Senate,53,Democrat,SONNY HUGGINS,2548
CHATTOOGA,State Senate,53,Republican,JEFF MULLIS,2558
DADE,State Senate,53,Republican,JEFF MULLIS,2553
WALKER,State Senate,53,Republican,JEFF MULLIS,10883
WHITFIELD,State Senate,53,Republican,JEFF MULLIS,4165
CATOOSA,State Senate,54,Republican,DON R. THOMAS,12627
MURRAY,State Senate,54,Republican,DON R. THOMAS,5750
WHITFIELD,State Senate,54,Republican,DON R. THOMAS,12717
DEKALB,State Senate,55,Democrat,GLORIA BUTLER,30481
CHEROKEE,State Senate,56,Republican,TOM PRICE,7990
FULTON,State Senate,56,Republican,TOM PRICE,43077
GWINNETT,State Senate,56,Republican,TOM PRICE,3839
