county,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
Douglas,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),7487,5001,244,2242,0
Early,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),940,606,32,301,1
Echols,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1,1,0,0,0
Effingham,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),3045,2425,53,567,0
Elbert,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1979,987,101,890,1
Emanuel,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1395,963,52,379,1
Evans,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),435,234,17,184,0
Fannin,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),3546,2136,222,1186,2
Fayette,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),10201,7108,263,2829,1
Floyd,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),4740,3671,159,893,17
Forsyth,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),14101,9865,255,3975,6
Franklin,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2250,1663,90,496,1
Fulton,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),24873,22281,912,1652,28
Gilmer,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2680,1888,135,654,3
Glascock,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),88,71,3,14,0
Glynn,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),6481,4167,170,2138,6
Gordon,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),3626,2540,74,1006,6
Grady,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),684,472,20,191,1
Greene,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2083,1008,145,929,1
Gwinnett,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),33112,27632,1253,4214,13
Habersham,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),3625,2361,163,1099,2
Hall,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),12990,9755,429,2796,10
Hancock,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),44,33,0,11,0
Haralson,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2673,2116,73,483,1
Harris,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2632,2001,112,519,0
Hart,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1594,1198,52,344,0
Heard,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1100,854,66,178,2
Henry,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),10060,6789,387,2884,0
Houston,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),6875,4727,157,1990,1
Irwin,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),834,592,10,229,3
Jackson,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),6110,3979,132,1997,2
Jasper,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1546,878,109,558,1
Jeff Davis,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1340,881,33,426,0
Jefferson,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),68,56,1,11,0
Jenkins,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),192,141,10,41,0
Johnson,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),15,10,1,4,0
Jones,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1696,1163,238,294,1
Lamar,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1277,877,47,349,4
Lanier,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),449,291,8,149,1
Laurens,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2581,1967,102,512,0
Lee,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),4038,3192,66,780,0
Liberty,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),608,452,13,143,0
Lincoln,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1320,693,74,552,1
Long,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),138,97,1,40,0
Lowndes,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),5126,3114,109,1889,14
Lumpkin,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2344,1515,81,745,3
Macon,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),35,33,0,2,0
Madison,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),3246,2154,144,945,3
Marion,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),131,120,0,11,0
McDuffie,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1693,1027,134,531,1
McIntosh,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1200,710,94,394,2
Meriwether,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),436,381,10,45,0
Miller,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),87,71,4,12,0
Mitchell,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),398,237,12,147,2
Monroe,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2001,1610,38,353,0
Montgomery,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),696,580,23,93,0
Morgan,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2074,1469,82,523,0
Murray,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2430,1807,52,571,0
Muscogee,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),5072,3624,507,937,4
Newton,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),5700,4143,167,1390,0
Oconee,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),5820,3482,110,2227,1
Oglethorpe,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1181,867,40,274,0
Paulding,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),7467,4418,603,2443,3
Peach,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1019,729,38,252,0
Pickens,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),3579,2328,34,1216,1
Pierce,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2513,1325,105,1083,0
Pike,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1771,1235,86,449,1
Polk,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2361,1528,55,777,1
Pulaski,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),655,397,11,246,1
Putnam,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1793,1172,161,460,0
Quitman,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),6,1,3,2,0
Rabun,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2064,891,111,1059,3
Randolph,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),41,18,7,16,0
Richmond,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),3594,2609,404,578,3
Rockdale,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),5957,3168,155,2633,1
Schley,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),146,98,0,48,0
Screven,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),664,476,9,179,0
Seminole,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),289,236,6,47,0
Spalding,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),3679,2275,143,1260,1
Stephens,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2433,1170,110,1152,1
Stewart,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),7,6,0,1,0
Sumter,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1045,732,46,267,0
Talbot,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),89,76,5,8,0
Taliaferro,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),22,16,0,6,0
Tattnall,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),768,550,30,187,1
Taylor,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),260,174,16,70,0
Telfair,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),92,71,9,12,0
Terrell,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),391,273,29,89,0
Thomas,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2660,1895,51,714,0
Tift,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),3951,2082,96,1772,1
Toombs,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1784,1304,85,394,1
Towns,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1080,530,30,517,3
Treutlen,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),26,25,0,1,0
Troup,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),5290,3289,273,1728,0
Turner,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),277,174,4,99,0
Twiggs,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),186,161,2,23,0
Union,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1613,979,37,597,0
Upson,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2887,1823,71,990,3
Walker,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),6036,3626,270,2138,2
Walton,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),8262,6726,255,1281,0
Ware,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2866,1962,124,778,2
Warren,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),54,31,7,16,0
Washington,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),311,193,30,88,0
Wayne,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2208,1266,77,864,1
Webster,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),19,13,3,3,0
Wheeler,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),16,16,0,0,0
White,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),2225,1652,126,447,0
Whitfield,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),5163,3943,160,1058,2
Wilcox,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),637,408,61,168,0
Wilkes,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),560,400,13,147,0
Wilkinson,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),193,157,9,27,0
Worth,"Public Service Commission, District 3",3,REP,CHUCK EATON (I),1729,1375,41,313,0
,"Public Service Commission, District 3",3,REP,MATT REID,338858,250452,11483,76721,202
Appling,"Public Service Commission, District 3",3,REP,MATT REID,1224,932,53,238,1
Atkinson,"Public Service Commission, District 3",3,REP,MATT REID,122,88,5,29,0
Bacon,"Public Service Commission, District 3",3,REP,MATT REID,622,355,9,258,0
Baker,"Public Service Commission, District 3",3,REP,MATT REID,6,6,0,0,0
Baldwin,"Public Service Commission, District 3",3,REP,MATT REID,1138,760,55,323,0
Banks,"Public Service Commission, District 3",3,REP,MATT REID,1485,1199,39,246,1
Barrow,"Public Service Commission, District 3",3,REP,MATT REID,2627,1968,68,591,0
Bartow,"Public Service Commission, District 3",3,REP,MATT REID,5106,3777,106,1220,3
Ben Hill,"Public Service Commission, District 3",3,REP,MATT REID,465,311,8,146,0
Berrien,"Public Service Commission, District 3",3,REP,MATT REID,1031,687,34,309,1
Bibb,"Public Service Commission, District 3",3,REP,MATT REID,3225,2486,119,616,4
Bleckley,"Public Service Commission, District 3",3,REP,MATT REID,438,301,21,116,0
Brantley,"Public Service Commission, District 3",3,REP,MATT REID,841,688,11,142,0
Brooks,"Public Service Commission, District 3",3,REP,MATT REID,315,252,3,59,1
Bryan,"Public Service Commission, District 3",3,REP,MATT REID,1302,756,26,516,4
Bulloch,"Public Service Commission, District 3",3,REP,MATT REID,2173,1552,64,557,0
Burke,"Public Service Commission, District 3",3,REP,MATT REID,313,244,9,60,0
Butts,"Public Service Commission, District 3",3,REP,MATT REID,1399,683,31,685,0
Calhoun,"Public Service Commission, District 3",3,REP,MATT REID,12,10,2,0,0
Camden,"Public Service Commission, District 3",3,REP,MATT REID,2162,1640,129,388,5
Candler,"Public Service Commission, District 3",3,REP,MATT REID,295,219,5,71,0
Carroll,"Public Service Commission, District 3",3,REP,MATT REID,5041,4021,109,905,6
Catoosa,"Public Service Commission, District 3",3,REP,MATT REID,2666,1732,51,883,0
Charlton,"Public Service Commission, District 3",3,REP,MATT REID,195,165,3,27,0
Chatham,"Public Service Commission, District 3",3,REP,MATT REID,5602,4487,145,969,1
Chattahoochee,"Public Service Commission, District 3",3,REP,MATT REID,26,24,1,1,0
Chattooga,"Public Service Commission, District 3",3,REP,MATT REID,239,181,3,54,1
Cherokee,"Public Service Commission, District 3",3,REP,MATT REID,14907,9979,629,4294,5
Clarke,"Public Service Commission, District 3",3,REP,MATT REID,2378,1815,76,487,0
Clay,"Public Service Commission, District 3",3,REP,MATT REID,22,20,0,2,0
Clayton,"Public Service Commission, District 3",3,REP,MATT REID,1568,1127,71,369,1
Clinch,"Public Service Commission, District 3",3,REP,MATT REID,373,239,10,124,0
Cobb,"Public Service Commission, District 3",3,REP,MATT REID,28396,22241,1311,4819,25
Coffee,"Public Service Commission, District 3",3,REP,MATT REID,1491,897,27,567,0
Colquitt,"Public Service Commission, District 3",3,REP,MATT REID,1468,1076,26,366,0
Columbia,"Public Service Commission, District 3",3,REP,MATT REID,5846,4655,127,1064,0
Cook,"Public Service Commission, District 3",3,REP,MATT REID,778,444,24,310,0
Coweta,"Public Service Commission, District 3",3,REP,MATT REID,6588,5302,268,1016,2
Crawford,"Public Service Commission, District 3",3,REP,MATT REID,359,277,8,72,2
Crisp,"Public Service Commission, District 3",3,REP,MATT REID,533,368,11,153,1
Dade,"Public Service Commission, District 3",3,REP,MATT REID,1052,612,22,415,3
Dawson,"Public Service Commission, District 3",3,REP,MATT REID,1851,1050,56,744,1
Decatur,"Public Service Commission, District 3",3,REP,MATT REID,228,166,13,49,0
DeKalb,"Public Service Commission, District 3",3,REP,MATT REID,11785,9795,710,1275,5
Dodge,"Public Service Commission, District 3",3,REP,MATT REID,708,494,33,181,0
Dooly,"Public Service Commission, District 3",3,REP,MATT REID,81,62,4,15,0
Dougherty,"Public Service Commission, District 3",3,REP,MATT REID,643,554,26,63,0
Douglas,"Public Service Commission, District 3",3,REP,MATT REID,4092,2862,131,1099,0
Early,"Public Service Commission, District 3",3,REP,MATT REID,315,226,10,79,0
Echols,"Public Service Commission, District 3",3,REP,MATT REID,2,1,0,1,0
Effingham,"Public Service Commission, District 3",3,REP,MATT REID,1926,1555,32,338,1
Elbert,"Public Service Commission, District 3",3,REP,MATT REID,938,545,49,344,0
Emanuel,"Public Service Commission, District 3",3,REP,MATT REID,817,608,19,190,0
Evans,"Public Service Commission, District 3",3,REP,MATT REID,287,152,20,115,0
Fannin,"Public Service Commission, District 3",3,REP,MATT REID,1855,1171,126,558,0
Fayette,"Public Service Commission, District 3",3,REP,MATT REID,8996,6326,194,2475,1
Floyd,"Public Service Commission, District 3",3,REP,MATT REID,3651,2983,91,570,7
Forsyth,"Public Service Commission, District 3",3,REP,MATT REID,11111,7859,194,3044,14
Franklin,"Public Service Commission, District 3",3,REP,MATT REID,1639,1258,54,327,0
Fulton,"Public Service Commission, District 3",3,REP,MATT REID,18379,16500,529,1333,17
Gilmer,"Public Service Commission, District 3",3,REP,MATT REID,2507,1754,114,638,1
Glascock,"Public Service Commission, District 3",3,REP,MATT REID,56,38,4,14,0
Glynn,"Public Service Commission, District 3",3,REP,MATT REID,3651,2382,97,1171,1
Gordon,"Public Service Commission, District 3",3,REP,MATT REID,2729,1968,69,689,3
Grady,"Public Service Commission, District 3",3,REP,MATT REID,326,233,7,86,0
Greene,"Public Service Commission, District 3",3,REP,MATT REID,1026,492,62,472,0
Gwinnett,"Public Service Commission, District 3",3,REP,MATT REID,28427,24016,936,3464,11
Habersham,"Public Service Commission, District 3",3,REP,MATT REID,2699,1766,103,827,3
Hall,"Public Service Commission, District 3",3,REP,MATT REID,10189,7682,301,2199,7
Hancock,"Public Service Commission, District 3",3,REP,MATT REID,44,36,0,8,0
Haralson,"Public Service Commission, District 3",3,REP,MATT REID,2266,1880,51,333,2
Harris,"Public Service Commission, District 3",3,REP,MATT REID,1403,1103,40,260,0
Hart,"Public Service Commission, District 3",3,REP,MATT REID,1108,826,37,245,0
Heard,"Public Service Commission, District 3",3,REP,MATT REID,689,562,23,104,0
Henry,"Public Service Commission, District 3",3,REP,MATT REID,9242,6444,234,2564,0
Houston,"Public Service Commission, District 3",3,REP,MATT REID,2958,2138,43,777,0
Irwin,"Public Service Commission, District 3",3,REP,MATT REID,431,309,1,119,2
Jackson,"Public Service Commission, District 3",3,REP,MATT REID,3768,2516,84,1168,0
Jasper,"Public Service Commission, District 3",3,REP,MATT REID,1129,759,47,320,3
Jeff Davis,"Public Service Commission, District 3",3,REP,MATT REID,814,524,18,272,0
Jefferson,"Public Service Commission, District 3",3,REP,MATT REID,33,27,0,6,0
Jenkins,"Public Service Commission, District 3",3,REP,MATT REID,92,67,2,22,1
Johnson,"Public Service Commission, District 3",3,REP,MATT REID,9,3,0,6,0
Jones,"Public Service Commission, District 3",3,REP,MATT REID,769,555,90,124,0
Lamar,"Public Service Commission, District 3",3,REP,MATT REID,886,633,24,229,0
Lanier,"Public Service Commission, District 3",3,REP,MATT REID,202,135,4,63,0
Laurens,"Public Service Commission, District 3",3,REP,MATT REID,1824,1403,63,358,0
Lee,"Public Service Commission, District 3",3,REP,MATT REID,1747,1385,18,344,0
Liberty,"Public Service Commission, District 3",3,REP,MATT REID,493,381,11,101,0
Lincoln,"Public Service Commission, District 3",3,REP,MATT REID,572,337,16,219,0
Long,"Public Service Commission, District 3",3,REP,MATT REID,117,75,5,36,1
Lowndes,"Public Service Commission, District 3",3,REP,MATT REID,2594,1592,56,934,12
Lumpkin,"Public Service Commission, District 3",3,REP,MATT REID,2133,1291,80,758,4
Macon,"Public Service Commission, District 3",3,REP,MATT REID,22,20,0,2,0
Madison,"Public Service Commission, District 3",3,REP,MATT REID,2023,1401,79,540,3
Marion,"Public Service Commission, District 3",3,REP,MATT REID,88,76,0,12,0
McDuffie,"Public Service Commission, District 3",3,REP,MATT REID,1016,658,64,294,0
McIntosh,"Public Service Commission, District 3",3,REP,MATT REID,558,334,42,182,0
Meriwether,"Public Service Commission, District 3",3,REP,MATT REID,292,267,6,19,0
Miller,"Public Service Commission, District 3",3,REP,MATT REID,44,38,0,4,2
Mitchell,"Public Service Commission, District 3",3,REP,MATT REID,178,112,10,56,0
Monroe,"Public Service Commission, District 3",3,REP,MATT REID,1269,1010,13,246,0
Montgomery,"Public Service Commission, District 3",3,REP,MATT REID,587,469,26,92,0
Morgan,"Public Service Commission, District 3",3,REP,MATT REID,1087,780,42,265,0
Murray,"Public Service Commission, District 3",3,REP,MATT REID,1688,1210,66,412,0
Muscogee,"Public Service Commission, District 3",3,REP,MATT REID,2755,2051,181,522,1
Newton,"Public Service Commission, District 3",3,REP,MATT REID,3182,2314,77,790,1
Oconee,"Public Service Commission, District 3",3,REP,MATT REID,2219,1348,45,826,0
Oglethorpe,"Public Service Commission, District 3",3,REP,MATT REID,678,497,18,162,1
Paulding,"Public Service Commission, District 3",3,REP,MATT REID,6427,3822,449,2152,4
Peach,"Public Service Commission, District 3",3,REP,MATT REID,541,439,7,95,0
Pickens,"Public Service Commission, District 3",3,REP,MATT REID,2181,1449,14,716,2
Pierce,"Public Service Commission, District 3",3,REP,MATT REID,1367,793,43,531,0
Pike,"Public Service Commission, District 3",3,REP,MATT REID,1667,1220,49,397,1
Polk,"Public Service Commission, District 3",3,REP,MATT REID,2750,1787,47,912,4
Pulaski,"Public Service Commission, District 3",3,REP,MATT REID,316,186,5,125,0
Putnam,"Public Service Commission, District 3",3,REP,MATT REID,963,660,64,239,0
Quitman,"Public Service Commission, District 3",3,REP,MATT REID,1,0,1,0,0
Rabun,"Public Service Commission, District 3",3,REP,MATT REID,1352,537,57,758,0
Randolph,"Public Service Commission, District 3",3,REP,MATT REID,22,14,5,3,0
Richmond,"Public Service Commission, District 3",3,REP,MATT REID,2174,1692,204,276,2
Rockdale,"Public Service Commission, District 3",3,REP,MATT REID,2521,1448,58,1012,3
Schley,"Public Service Commission, District 3",3,REP,MATT REID,89,56,1,32,0
Screven,"Public Service Commission, District 3",3,REP,MATT REID,330,235,5,90,0
Seminole,"Public Service Commission, District 3",3,REP,MATT REID,150,116,5,29,0
Spalding,"Public Service Commission, District 3",3,REP,MATT REID,2548,1737,46,765,0
Stephens,"Public Service Commission, District 3",3,REP,MATT REID,1713,834,76,803,0
Stewart,"Public Service Commission, District 3",3,REP,MATT REID,8,4,0,4,0
Sumter,"Public Service Commission, District 3",3,REP,MATT REID,570,387,26,157,0
Talbot,"Public Service Commission, District 3",3,REP,MATT REID,86,71,8,7,0
Taliaferro,"Public Service Commission, District 3",3,REP,MATT REID,13,10,0,2,1
Tattnall,"Public Service Commission, District 3",3,REP,MATT REID,548,386,20,141,1
Taylor,"Public Service Commission, District 3",3,REP,MATT REID,160,112,7,41,0
Telfair,"Public Service Commission, District 3",3,REP,MATT REID,52,41,5,6,0
Terrell,"Public Service Commission, District 3",3,REP,MATT REID,170,136,11,23,0
Thomas,"Public Service Commission, District 3",3,REP,MATT REID,1203,886,20,297,0
Tift,"Public Service Commission, District 3",3,REP,MATT REID,2255,1258,38,956,3
Toombs,"Public Service Commission, District 3",3,REP,MATT REID,1426,1070,52,304,0
Towns,"Public Service Commission, District 3",3,REP,MATT REID,600,312,12,274,2
Treutlen,"Public Service Commission, District 3",3,REP,MATT REID,16,13,2,1,0
Troup,"Public Service Commission, District 3",3,REP,MATT REID,3787,2561,172,1052,2
Turner,"Public Service Commission, District 3",3,REP,MATT REID,229,156,4,69,0
Twiggs,"Public Service Commission, District 3",3,REP,MATT REID,129,103,7,19,0
Union,"Public Service Commission, District 3",3,REP,MATT REID,1242,754,26,461,1
Upson,"Public Service Commission, District 3",3,REP,MATT REID,1624,1081,56,487,0
Walker,"Public Service Commission, District 3",3,REP,MATT REID,3160,2071,101,988,0
Walton,"Public Service Commission, District 3",3,REP,MATT REID,4801,4035,125,641,0
Ware,"Public Service Commission, District 3",3,REP,MATT REID,1515,1094,55,365,1
Warren,"Public Service Commission, District 3",3,REP,MATT REID,31,21,1,9,0
Washington,"Public Service Commission, District 3",3,REP,MATT REID,137,81,2,54,0
Wayne,"Public Service Commission, District 3",3,REP,MATT REID,1420,858,35,527,0
Webster,"Public Service Commission, District 3",3,REP,MATT REID,11,9,2,0,0
Wheeler,"Public Service Commission, District 3",3,REP,MATT REID,1,1,0,0,0
White,"Public Service Commission, District 3",3,REP,MATT REID,1612,1216,84,312,0
Whitfield,"Public Service Commission, District 3",3,REP,MATT REID,3442,2704,102,634,2
Wilcox,"Public Service Commission, District 3",3,REP,MATT REID,285,188,29,68,0
Wilkes,"Public Service Commission, District 3",3,REP,MATT REID,204,157,3,44,0
Wilkinson,"Public Service Commission, District 3",3,REP,MATT REID,117,98,6,13,0
Worth,"Public Service Commission, District 3",3,REP,MATT REID,1140,913,17,209,1
,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,406839,317406,16167,72664,602
Appling,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,752,514,85,153,0
Atkinson,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,666,429,38,199,0
Bacon,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,154,101,3,50,0
Baker,"Public Service Commission, District 3",3,DEM,STEPHEN OPPENHEIMER,701,403,101,196,1
