county,precinct,office,district,party,candidate,election_day,absentee_by_mail,advance_in_person,provisional,votes
Oglethorpe,Lexington,Public Service Commission,District 5,REP,STAN WISE (I),103,12,87,0,202
Oglethorpe,Pleasant Hill,Public Service Commission,District 5,REP,STAN WISE (I),97,0,17,0,114
Oglethorpe,Wolfskin,Public Service Commission,District 5,REP,STAN WISE (I),65,2,24,0,91
Oglethorpe,Woodstock,Public Service Commission,District 5,REP,STAN WISE (I),26,0,14,0,40
Oglethorpe,,Public Service Commission,District 5,REP,STAN WISE (I),795,38,255,1,1089
Oglethorpe,Beaverdam,U.S. Representative,10,REP,PAUL C. BROUN (I),310,9,43,0,362
Oglethorpe,Crawford,U.S. Representative,10,REP,PAUL C. BROUN (I),155,5,54,0,214
Oglethorpe,Falling Creek,U.S. Representative,10,REP,PAUL C. BROUN (I),64,2,24,0,90
Oglethorpe,Grove Creek,U.S. Representative,10,REP,PAUL C. BROUN (I),49,3,13,0,65
Oglethorpe,Glade,U.S. Representative,10,REP,PAUL C. BROUN (I),46,3,2,0,51
Oglethorpe,Goosepond,U.S. Representative,10,REP,PAUL C. BROUN (I),55,3,20,0,78
Oglethorpe,Lexington,U.S. Representative,10,REP,PAUL C. BROUN (I),127,18,126,0,271
Oglethorpe,Pleasant Hill,U.S. Representative,10,REP,PAUL C. BROUN (I),127,2,21,0,150
Oglethorpe,Wolfskin,U.S. Representative,10,REP,PAUL C. BROUN (I),78,3,17,0,98
Oglethorpe,Woodstock,U.S. Representative,10,REP,PAUL C. BROUN (I),27,0,13,0,40
Oglethorpe,,U.S. Representative,10,REP,PAUL C. BROUN (I),1038,48,333,0,1419
Oglethorpe,Beaverdam,U.S. Representative,10,REP,STEPHEN K. SIMPSON,88,1,11,1,101
Oglethorpe,Crawford,U.S. Representative,10,REP,STEPHEN K. SIMPSON,68,4,25,0,97
Oglethorpe,Falling Creek,U.S. Representative,10,REP,STEPHEN K. SIMPSON,21,0,5,0,26
Oglethorpe,Grove Creek,U.S. Representative,10,REP,STEPHEN K. SIMPSON,23,1,5,0,29
Oglethorpe,Glade,U.S. Representative,10,REP,STEPHEN K. SIMPSON,18,0,0,0,18
Oglethorpe,Goosepond,U.S. Representative,10,REP,STEPHEN K. SIMPSON,20,5,8,0,33
Oglethorpe,Lexington,U.S. Representative,10,REP,STEPHEN K. SIMPSON,96,4,51,0,151
Oglethorpe,Pleasant Hill,U.S. Representative,10,REP,STEPHEN K. SIMPSON,44,0,13,0,57
Oglethorpe,Wolfskin,U.S. Representative,10,REP,STEPHEN K. SIMPSON,56,1,29,0,86
Oglethorpe,Woodstock,U.S. Representative,10,REP,STEPHEN K. SIMPSON,16,0,8,0,24
Oglethorpe,,U.S. Representative,10,REP,STEPHEN K. SIMPSON,450,16,155,1,622
Oglethorpe,Beaverdam,State Senator,24,REP,WILLIAM JACKSON (I),327,7,47,1,382
Oglethorpe,Crawford,State Senator,24,REP,WILLIAM JACKSON (I),174,8,66,0,248
Oglethorpe,Falling Creek,State Senator,24,REP,WILLIAM JACKSON (I),75,2,23,0,100
Oglethorpe,Grove Creek,State Senator,24,REP,WILLIAM JACKSON (I),56,1,12,0,69
Oglethorpe,Glade,State Senator,24,REP,WILLIAM JACKSON (I),48,2,1,0,51
Oglethorpe,Goosepond,State Senator,24,REP,WILLIAM JACKSON (I),60,6,23,0,89
Oglethorpe,Lexington,State Senator,24,REP,WILLIAM JACKSON (I),166,18,136,0,320
Oglethorpe,Pleasant Hill,State Senator,24,REP,WILLIAM JACKSON (I),142,2,29,0,173
Oglethorpe,Wolfskin,State Senator,24,REP,WILLIAM JACKSON (I),111,1,33,0,145
Oglethorpe,Woodstock,State Senator,24,REP,WILLIAM JACKSON (I),33,0,17,0,50
Oglethorpe,,State Senator,24,REP,WILLIAM JACKSON (I),1192,47,387,1,1627
Oglethorpe,Beaverdam,State Representative,120,REP,MICKEY CHANNELL (I),325,7,44,1,377
Oglethorpe,Crawford,State Representative,120,REP,MICKEY CHANNELL (I),178,9,68,0,255
Oglethorpe,Falling Creek,State Representative,120,REP,MICKEY CHANNELL (I),76,2,24,0,102
Oglethorpe,Grove Creek,State Representative,120,REP,MICKEY CHANNELL (I),61,1,15,0,77
Oglethorpe,Glade,State Representative,120,REP,MICKEY CHANNELL (I),54,2,1,0,57
Oglethorpe,Goosepond,State Representative,120,REP,MICKEY CHANNELL (I),60,7,24,0,91
Oglethorpe,Lexington,State Representative,120,REP,MICKEY CHANNELL (I),177,18,138,0,333
Oglethorpe,Pleasant Hill,State Representative,120,REP,MICKEY CHANNELL (I),146,2,30,0,178
Oglethorpe,Wolfskin,State Representative,120,REP,MICKEY CHANNELL (I),112,2,33,0,147
Oglethorpe,Woodstock,State Representative,120,REP,MICKEY CHANNELL (I),36,0,16,0,52
Oglethorpe,,State Representative,120,REP,MICKEY CHANNELL (I),1225,50,393,1,1669
