county,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
Chattahoochee,"U.S. Representative, District 2",2,REP,JOHN HOUSE,6,4,1,1,0
Clay,"U.S. Representative, District 2",2,REP,JOHN HOUSE,4,4,0,0,0
Crawford,"U.S. Representative, District 2",2,REP,JOHN HOUSE,62,46,5,11,0
Crisp,"U.S. Representative, District 2",2,REP,JOHN HOUSE,204,151,22,31,0
Decatur,"U.S. Representative, District 2",2,REP,JOHN HOUSE,48,41,4,3,0
Dooly,"U.S. Representative, District 2",2,REP,JOHN HOUSE,26,19,1,6,0
Dougherty,"U.S. Representative, District 2",2,REP,JOHN HOUSE,141,105,23,11,2
Early,"U.S. Representative, District 2",2,REP,JOHN HOUSE,60,45,6,9,0
Grady,"U.S. Representative, District 2",2,REP,JOHN HOUSE,13,9,0,4,0
Lee,"U.S. Representative, District 2",2,REP,JOHN HOUSE,349,293,13,43,0
Macon,"U.S. Representative, District 2",2,REP,JOHN HOUSE,8,8,0,0,0
Marion,"U.S. Representative, District 2",2,REP,JOHN HOUSE,10,10,0,0,0
Miller,"U.S. Representative, District 2",2,REP,JOHN HOUSE,8,7,0,1,0
Mitchell,"U.S. Representative, District 2",2,REP,JOHN HOUSE,58,36,7,15,0
Muscogee,"U.S. Representative, District 2",2,REP,JOHN HOUSE,769,587,148,34,0
Peach,"U.S. Representative, District 2",2,REP,JOHN HOUSE,185,127,18,40,0
Quitman,"U.S. Representative, District 2",2,REP,JOHN HOUSE,0,0,0,0,0
Randolph,"U.S. Representative, District 2",2,REP,JOHN HOUSE,5,0,1,3,1
Schley,"U.S. Representative, District 2",2,REP,JOHN HOUSE,28,18,2,8,0
Seminole,"U.S. Representative, District 2",2,REP,JOHN HOUSE,139,131,5,3,0
Stewart,"U.S. Representative, District 2",2,REP,JOHN HOUSE,7,3,0,4,0
Sumter,"U.S. Representative, District 2",2,REP,JOHN HOUSE,239,210,29,0,0
Talbot,"U.S. Representative, District 2",2,REP,JOHN HOUSE,20,19,1,0,0
Taylor,"U.S. Representative, District 2",2,REP,JOHN HOUSE,35,31,2,2,0
Terrell,"U.S. Representative, District 2",2,REP,JOHN HOUSE,63,51,8,4,0
Webster,"U.S. Representative, District 2",2,REP,JOHN HOUSE,11,8,3,0,0
,"U.S. Representative, District 9",9,REP,DOUG COLLINS,39016,28490,1721,8784,21
Banks,"U.S. Representative, District 9",9,REP,DOUG COLLINS,1978,1599,55,324,0
Clarke,"U.S. Representative, District 9",9,REP,DOUG COLLINS,66,62,3,1,0
Dawson,"U.S. Representative, District 9",9,REP,DOUG COLLINS,616,440,31,145,0
Elbert,"U.S. Representative, District 9",9,REP,DOUG COLLINS,526,372,55,99,0
Fannin,"U.S. Representative, District 9",9,REP,DOUG COLLINS,2773,1971,199,602,1
Forsyth,"U.S. Representative, District 9",9,REP,DOUG COLLINS,2495,1785,54,655,1
Franklin,"U.S. Representative, District 9",9,REP,DOUG COLLINS,1878,1483,68,327,0
Gilmer,"U.S. Representative, District 9",9,REP,DOUG COLLINS,1870,1356,108,406,0
Habersham,"U.S. Representative, District 9",9,REP,DOUG COLLINS,1429,994,95,340,0
Hall,"U.S. Representative, District 9",9,REP,DOUG COLLINS,10420,7906,354,2150,10
Hart,"U.S. Representative, District 9",9,REP,DOUG COLLINS,465,351,38,76,0
Jackson,"U.S. Representative, District 9",9,REP,DOUG COLLINS,4314,3332,99,882,1
Lumpkin,"U.S. Representative, District 9",9,REP,DOUG COLLINS,1519,981,92,443,3
Madison,"U.S. Representative, District 9",9,REP,DOUG COLLINS,3237,2373,144,717,3
Pickens,"U.S. Representative, District 9",9,REP,DOUG COLLINS,1112,735,17,359,1
Rabun,"U.S. Representative, District 9",9,REP,DOUG COLLINS,490,277,49,164,0
Stephens,"U.S. Representative, District 9",9,REP,DOUG COLLINS,1697,817,109,771,0
Towns,"U.S. Representative, District 9",9,REP,DOUG COLLINS,421,276,20,124,1
Union,"U.S. Representative, District 9",9,REP,DOUG COLLINS,643,530,14,99,0
White,"U.S. Representative, District 9",9,REP,DOUG COLLINS,1067,850,117,100,0
,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,32417,23802,1079,7517,19
Banks,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,1245,1011,38,196,0
Clarke,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,61,53,2,6,0
Dawson,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,880,680,21,179,0
Elbert,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,289,210,32,47,0
Fannin,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,1403,966,97,339,1
Forsyth,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,3078,2194,54,828,2
Franklin,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,1089,845,50,194,0
Gilmer,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,1581,1117,63,401,0
Habersham,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,1445,1044,69,332,0
Hall,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,9010,6781,260,1963,6
Hart,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,403,325,19,59,0
Jackson,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,3672,2902,50,720,0
Lumpkin,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,1477,1038,47,386,6
Madison,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,1988,1433,70,482,3
Pickens,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,1156,777,17,362,0
Rabun,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,405,240,28,137,0
Stephens,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,1233,661,73,499,0
Towns,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,392,249,12,130,1
Union,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,738,563,15,160,0
White,"U.S. Representative, District 9",9,REP,MARTHA ZOLLER,872,713,62,97,0
,"U.S. Representative, District 12",12,REP,RICK ALLEN,13626,11023,597,2006,0
Appling,"U.S. Representative, District 12",12,REP,RICK ALLEN,701,562,53,86,0
Bulloch,"U.S. Representative, District 12",12,REP,RICK ALLEN,1119,868,60,191,0
Burke,"U.S. Representative, District 12",12,REP,RICK ALLEN,294,237,17,40,0
Candler,"U.S. Representative, District 12",12,REP,RICK ALLEN,111,86,10,15,0
Coffee,"U.S. Representative, District 12",12,REP,RICK ALLEN,187,134,12,41,0
Columbia,"U.S. Representative, District 12",12,REP,RICK ALLEN,5562,4674,142,746,0
Effingham,"U.S. Representative, District 12",12,REP,RICK ALLEN,203,164,8,31,0
Emanuel,"U.S. Representative, District 12",12,REP,RICK ALLEN,270,200,16,54,0
Evans,"U.S. Representative, District 12",12,REP,RICK ALLEN,139,69,13,57,0
Jeff Davis,"U.S. Representative, District 12",12,REP,RICK ALLEN,464,323,24,117,0
Jenkins,"U.S. Representative, District 12",12,REP,RICK ALLEN,28,19,2,7,0
Laurens,"U.S. Representative, District 12",12,REP,RICK ALLEN,468,379,40,49,0
Montgomery,"U.S. Representative, District 12",12,REP,RICK ALLEN,470,361,29,80,0
Richmond,"U.S. Representative, District 12",12,REP,RICK ALLEN,2437,2014,120,303,0
Screven,"U.S. Representative, District 12",12,REP,RICK ALLEN,176,133,5,38,0
Tattnall,"U.S. Representative, District 12",12,REP,RICK ALLEN,178,127,12,39,0
Toombs,"U.S. Representative, District 12",12,REP,RICK ALLEN,799,653,34,112,0
Treutlen,"U.S. Representative, District 12",12,REP,RICK ALLEN,15,15,0,0,0
Wheeler,"U.S. Representative, District 12",12,REP,RICK ALLEN,5,5,0,0,0
,"U.S. Representative, District 12",12,REP,LEE ANDERSON,13785,11167,565,2052,1
Appling,"U.S. Representative, District 12",12,REP,LEE ANDERSON,1009,811,69,129,0
Bulloch,"U.S. Representative, District 12",12,REP,LEE ANDERSON,1060,877,49,134,0
Burke,"U.S. Representative, District 12",12,REP,LEE ANDERSON,255,214,6,35,0
Candler,"U.S. Representative, District 12",12,REP,LEE ANDERSON,69,44,11,14,0
Coffee,"U.S. Representative, District 12",12,REP,LEE ANDERSON,579,435,18,125,1
Columbia,"U.S. Representative, District 12",12,REP,LEE ANDERSON,5005,4126,131,748,0
Effingham,"U.S. Representative, District 12",12,REP,LEE ANDERSON,280,212,19,49,0
Emanuel,"U.S. Representative, District 12",12,REP,LEE ANDERSON,596,476,25,95,0
Evans,"U.S. Representative, District 12",12,REP,LEE ANDERSON,192,131,13,48,0
Jeff Davis,"U.S. Representative, District 12",12,REP,LEE ANDERSON,669,515,20,134,0
Jenkins,"U.S. Representative, District 12",12,REP,LEE ANDERSON,87,60,8,19,0
Laurens,"U.S. Representative, District 12",12,REP,LEE ANDERSON,906,738,61,107,0
Montgomery,"U.S. Representative, District 12",12,REP,LEE ANDERSON,646,516,32,98,0
Richmond,"U.S. Representative, District 12",12,REP,LEE ANDERSON,1213,1026,54,133,0
Screven,"U.S. Representative, District 12",12,REP,LEE ANDERSON,129,109,0,20,0
Tattnall,"U.S. Representative, District 12",12,REP,LEE ANDERSON,312,237,14,61,0
Toombs,"U.S. Representative, District 12",12,REP,LEE ANDERSON,769,632,35,102,0
Treutlen,"U.S. Representative, District 12",12,REP,LEE ANDERSON,5,5,0,0,0
Wheeler,"U.S. Representative, District 12",12,REP,LEE ANDERSON,4,3,0,1,0
,"State Senator, District 26",26,DEM,DAVID E. LUCAS SR.,8662,6263,579,1808,12
Bibb,"State Senator, District 26",26,DEM,DAVID E. LUCAS SR.,5374,3949,228,1195,2
Hancock,"State Senator, District 26",26,DEM,DAVID E. LUCAS SR.,806,487,177,132,10
Houston,"State Senator, District 26",26,DEM,DAVID E. LUCAS SR.,131,119,2,10,0
Jones,"State Senator, District 26",26,DEM,DAVID E. LUCAS SR.,369,283,34,52,0
Twiggs,"State Senator, District 26",26,DEM,DAVID E. LUCAS SR.,420,327,40,53,0
Washington,"State Senator, District 26",26,DEM,DAVID E. LUCAS SR.,989,635,70,284,0
Wilkinson,"State Senator, District 26",26,DEM,DAVID E. LUCAS SR.,573,463,28,82,0
,"State Senator, District 26",26,DEM,MIRIAM PARIS (I),8446,6026,688,1714,18
Bibb,"State Senator, District 26",26,DEM,MIRIAM PARIS (I),3621,2760,154,706,1
Hancock,"State Senator, District 26",26,DEM,MIRIAM PARIS (I),1076,618,261,180,17
Houston,"State Senator, District 26",26,DEM,MIRIAM PARIS (I),73,63,3,7,0
Jones,"State Senator, District 26",26,DEM,MIRIAM PARIS (I),423,314,46,63,0
Twiggs,"State Senator, District 26",26,DEM,MIRIAM PARIS (I),563,460,33,70,0
Washington,"State Senator, District 26",26,DEM,MIRIAM PARIS (I),1705,990,150,565,0
Wilkinson,"State Senator, District 26",26,DEM,MIRIAM PARIS (I),985,821,41,123,0
,"State Senator, District 31",31,REP,BILL CARRUTH,5262,4012,241,1007,2
Haralson,"State Senator, District 31",31,REP,BILL CARRUTH,1786,1520,55,211,0
Paulding,"State Senator, District 31",31,REP,BILL CARRUTH,2023,1367,159,496,1
Polk,"State Senator, District 31",31,REP,BILL CARRUTH,1453,1125,27,300,1
,"State Senator, District 31",31,REP,BILL HEATH (I),6331,4693,314,1322,2
Haralson,"State Senator, District 31",31,REP,BILL HEATH (I),1119,897,51,170,1
Paulding,"State Senator, District 31",31,REP,BILL HEATH (I),3133,2140,218,774,1
Polk,"State Senator, District 31",31,REP,BILL HEATH (I),2079,1656,45,378,0
,"State Senator, District 44",44,DEM,GAIL BUCKNER,7091,5990,104,993,4
Clayton,"State Senator, District 44",44,DEM,GAIL BUCKNER,6637,5566,85,982,4
DeKalb,"State Senator, District 44",44,DEM,GAIL BUCKNER,454,424,19,11,0
,"State Senator, District 44",44,DEM,GAIL P. DAVENPORT (I,8395,7489,96,808,2
Clayton,"State Senator, District 44",44,DEM,GAIL P. DAVENPORT (I,6870,6035,62,771,2
DeKalb,"State Senator, District 44",44,DEM,GAIL P. DAVENPORT (I,1525,1454,34,37,0
,"State Representative, District 1",1,REP,JOHN DEFFENBAUGH,1878,1349,50,477,2
Dade,"State Representative, District 1",1,REP,JOHN DEFFENBAUGH,1527,1024,29,472,2
Walker,"State Representative, District 1",1,REP,JOHN DEFFENBAUGH,351,325,21,5,0
,"State Representative, District 1",1,REP,ALAN PAINTER,1781,1325,108,341,7
Dade,"State Representative, District 1",1,REP,ALAN PAINTER,1232,849,41,335,7
Walker,"State Representative, District 1",1,REP,ALAN PAINTER,549,476,67,6,0
,"State Representative, District 28",28,REP,DAN GASAWAY,3647,2697,125,825,0
Banks,"State Representative, District 28",28,REP,DAN GASAWAY,2394,1954,56,384,0
Habersham,"State Representative, District 28",28,REP,DAN GASAWAY,500,344,29,127,0
Stephens,"State Representative, District 28",28,REP,DAN GASAWAY,753,399,40,314,0
,"State Representative, District 28",28,REP,JON HEFFER,3272,1916,190,1166,0
Banks,"State Representative, District 28",28,REP,JON HEFFER,797,627,40,130,0
Habersham,"State Representative, District 28",28,REP,JON HEFFER,239,178,7,54,0
Stephens,"State Representative, District 28",28,REP,JON HEFFER,2236,1111,143,982,0
,"State Representative, District 41",41,DEM,DIANA L. ECKLES,364,301,26,37,0
Cobb,"State Representative, District 41",41,DEM,DIANA L. ECKLES,364,301,26,37,0
,"State Representative, District 41",41,DEM,MICHAEL SMITH,577,529,7,41,0
Cobb,"State Representative, District 41",41,DEM,MICHAEL SMITH,577,529,7,41,0
,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,805,705,14,86,0
Douglas,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,134,124,2,8,0
Fulton,"State Representative, District 62",62,DEM,MARVIN ARRINGTON,671,581,12,78,0
,"State Representative, District 62",62,DEM,"LADAWN ""LBJ"" B. JONE",1359,1224,15,120,0
Douglas,"State Representative, District 62",62,DEM,"LADAWN ""LBJ"" B. JONE",217,191,3,23,0
Fulton,"State Representative, District 62",62,DEM,"LADAWN ""LBJ"" B. JONE",1142,1033,12,97,0
,"State Representative, District 63",63,DEM,T. J. COPELAND,907,793,17,97,0
Clayton,"State Representative, District 63",63,DEM,T. J. COPELAND,336,294,1,41,0
Fayette,"State Representative, District 63",63,DEM,T. J. COPELAND,287,247,6,34,0
Fulton,"State Representative, District 63",63,DEM,T. J. COPELAND,284,252,10,22,0
,"State Representative, District 63",63,DEM,RONNIE MABRA,1673,1479,17,172,5
Clayton,"State Representative, District 63",63,DEM,RONNIE MABRA,665,598,4,62,1
Fayette,"State Representative, District 63",63,DEM,RONNIE MABRA,694,602,7,85,0
Fulton,"State Representative, District 63",63,DEM,RONNIE MABRA,314,279,6,25,4
,"State Representative, District 66",66,REP,"MICHAEL ""MIKE"" MILLE",443,335,19,89,0
Douglas,"State Representative, District 66",66,REP,"MICHAEL ""MIKE"" MILLE",353,270,13,70,0
Paulding,"State Representative, District 66",66,REP,"MICHAEL ""MIKE"" MILLE",90,65,6,19,0
,"State Representative, District 66",66,REP,BOB SNELLING,2037,1536,71,430,0
Douglas,"State Representative, District 66",66,REP,BOB SNELLING,1618,1204,42,372,0
Paulding,"State Representative, District 66",66,REP,BOB SNELLING,419,332,29,58,0
,"State Representative, District 92",92,DEM,TONYA P. ANDERSON,405,345,30,30,0
DeKalb,"State Representative, District 92",92,DEM,TONYA P. ANDERSON,249,218,26,5,0
Rockdale,"State Representative, District 92",92,DEM,TONYA P. ANDERSON,156,127,4,25,0
,"State Representative, District 92",92,DEM,DOREEN WILLIAMS,388,287,16,83,2
DeKalb,"State Representative, District 92",92,DEM,DOREEN WILLIAMS,146,133,7,6,0
Rockdale,"State Representative, District 92",92,DEM,DOREEN WILLIAMS,242,154,9,77,2
,"State Representative, District 113",113,DEM,PAM DICKERSON (I),754,616,23,115,0
Newton,"State Representative, District 113",113,DEM,PAM DICKERSON (I),612,494,22,96,0
Rockdale,"State Representative, District 113",113,DEM,PAM DICKERSON (I),142,122,1,19,0
,"State Representative, District 113",113,DEM,SHARON SAWYER,591,373,74,144,0
Newton,"State Representative, District 113",113,DEM,SHARON SAWYER,582,368,74,140,0
Rockdale,"State Representative, District 113",113,DEM,SHARON SAWYER,9,5,0,4,0
,"State Representative, District 139",139,DEM,PATTY BENTLEY,3002,2020,249,731,2
Dooly,"State Representative, District 139",139,DEM,PATTY BENTLEY,921,592,72,255,2
Macon,"State Representative, District 139",139,DEM,PATTY BENTLEY,733,467,54,212,0
Peach,"State Representative, District 139",139,DEM,PATTY BENTLEY,557,340,24,193,0
Taylor,"State Representative, District 139",139,DEM,PATTY BENTLEY,791,621,99,71,0
,"State Representative, District 139",139,DEM,THOMAS COOGLE,2959,1690,136,1132,1
Dooly,"State Representative, District 139",139,DEM,THOMAS COOGLE,1231,710,67,453,1
Macon,"State Representative, District 139",139,DEM,THOMAS COOGLE,1065,476,51,538,0
Peach,"State Representative, District 139",139,DEM,THOMAS COOGLE,125,73,8,44,0
Taylor,"State Representative, District 139",139,DEM,THOMAS COOGLE,538,431,10,97,0
,"District Attorney, Appalachian Circuit", Appalachian Circuit - REP,REP,JOE HENDRICKS (I),4726,3313,225,1188,0
Fannin,"District Attorney, Appalachian Circuit", Appalachian Circuit - REP,REP,JOE HENDRICKS (I),1431,1006,112,313,0
Gilmer,"District Attorney, Appalachian Circuit", Appalachian Circuit - REP,REP,JOE HENDRICKS (I),1331,933,88,310,0
Pickens,"District Attorney, Appalachian Circuit", Appalachian Circuit - REP,REP,JOE HENDRICKS (I),1964,1374,25,565,0
,"District Attorney, Appalachian Circuit", Appalachian Circuit - REP,REP,B. ALISON SOSEBEE,6952,4954,298,1696,4
Fannin,"District Attorney, Appalachian Circuit", Appalachian Circuit - REP,REP,B. ALISON SOSEBEE,3071,2151,200,717,3
Gilmer,"District Attorney, Appalachian Circuit", Appalachian Circuit - REP,REP,B. ALISON SOSEBEE,2319,1679,84,556,0
Pickens,"District Attorney, Appalachian Circuit", Appalachian Circuit - REP,REP,B. ALISON SOSEBEE,1562,1124,14,423,1
,Superior Court Judge, Gwinnett Circuit (Jackson),,TRACEY MASON BLASI,6551,5819,333,399,0
Gwinnett,Superior Court Judge, Gwinnett Circuit (Jackson),,TRACEY MASON BLASI,6551,5819,333,399,0
,Superior Court Judge, Gwinnett Circuit (Jackson),,KATHY SCHRADER,15165,13662,721,780,2
Gwinnett,Superior Court Judge, Gwinnett Circuit (Jackson),,KATHY SCHRADER,15165,13662,721,780,2
