candidate_party,county,race,vote_type,votes
"L.S. ""CASEY"" CAGLE  (REP)",Schley,Governor - REP,Election Day,45
"L.S. ""CASEY"" CAGLE  (REP)",Screven,Governor - REP,Election Day,149
"L.S. ""CASEY"" CAGLE  (REP)",Seminole,Governor - REP,Election Day,237
"L.S. ""CASEY"" CAGLE  (REP)",Spalding,Governor - REP,Election Day,603
"L.S. ""CASEY"" CAGLE  (REP)",Stephens,Governor - REP,Election Day,426
"L.S. ""CASEY"" CAGLE  (REP)",Stewart,Governor - REP,Election Day,22
"L.S. ""CASEY"" CAGLE  (REP)",Sumter,Governor - REP,Election Day,344
"L.S. ""CASEY"" CAGLE  (REP)",Talbot,Governor - REP,Election Day,79
"L.S. ""CASEY"" CAGLE  (REP)",Taliaferro,Governor - REP,Election Day,9
"L.S. ""CASEY"" CAGLE  (REP)",Tattnall,Governor - REP,Election Day,285
"L.S. ""CASEY"" CAGLE  (REP)",Taylor,Governor - REP,Election Day,55
"L.S. ""CASEY"" CAGLE  (REP)",Telfair,Governor - REP,Election Day,196
"L.S. ""CASEY"" CAGLE  (REP)",Terrell,Governor - REP,Election Day,129
"L.S. ""CASEY"" CAGLE  (REP)",Thomas,Governor - REP,Election Day,519
"L.S. ""CASEY"" CAGLE  (REP)",Tift,Governor - REP,Election Day,373
"L.S. ""CASEY"" CAGLE  (REP)",Toombs,Governor - REP,Election Day,228
"L.S. ""CASEY"" CAGLE  (REP)",Towns,Governor - REP,Election Day,189
"L.S. ""CASEY"" CAGLE  (REP)",Treutlen,Governor - REP,Election Day,56
"L.S. ""CASEY"" CAGLE  (REP)",Troup,Governor - REP,Election Day,767
"L.S. ""CASEY"" CAGLE  (REP)",Turner,Governor - REP,Election Day,49
"L.S. ""CASEY"" CAGLE  (REP)",Twiggs,Governor - REP,Election Day,99
"L.S. ""CASEY"" CAGLE  (REP)",Union,Governor - REP,Election Day,523
"L.S. ""CASEY"" CAGLE  (REP)",Upson,Governor - REP,Election Day,263
"L.S. ""CASEY"" CAGLE  (REP)",Walker,Governor - REP,Election Day,727
"L.S. ""CASEY"" CAGLE  (REP)",Walton,Governor - REP,Election Day,1016
"L.S. ""CASEY"" CAGLE  (REP)",Ware,Governor - REP,Election Day,402
"L.S. ""CASEY"" CAGLE  (REP)",Warren,Governor - REP,Election Day,51
"L.S. ""CASEY"" CAGLE  (REP)",Washington,Governor - REP,Election Day,202
"L.S. ""CASEY"" CAGLE  (REP)",Wayne,Governor - REP,Election Day,232
"L.S. ""CASEY"" CAGLE  (REP)",Webster,Governor - REP,Election Day,21
"L.S. ""CASEY"" CAGLE  (REP)",Wheeler,Governor - REP,Election Day,82
"L.S. ""CASEY"" CAGLE  (REP)",White,Governor - REP,Election Day,766
"L.S. ""CASEY"" CAGLE  (REP)",Whitfield,Governor - REP,Election Day,699
"L.S. ""CASEY"" CAGLE  (REP)",Wilcox,Governor - REP,Election Day,119
"L.S. ""CASEY"" CAGLE  (REP)",Wilkes,Governor - REP,Election Day,74
"L.S. ""CASEY"" CAGLE  (REP)",Wilkinson,Governor - REP,Election Day,88
"L.S. ""CASEY"" CAGLE  (REP)",Worth,Governor - REP,Election Day,341
"L.S. ""CASEY"" CAGLE  (REP)",Appling,Governor - REP,Absentee by Mail,49
"L.S. ""CASEY"" CAGLE  (REP)",Atkinson,Governor - REP,Absentee by Mail,10
"L.S. ""CASEY"" CAGLE  (REP)",Bacon,Governor - REP,Absentee by Mail,17
"L.S. ""CASEY"" CAGLE  (REP)",Baker,Governor - REP,Absentee by Mail,7
"L.S. ""CASEY"" CAGLE  (REP)",Baldwin,Governor - REP,Absentee by Mail,41
"L.S. ""CASEY"" CAGLE  (REP)",Banks,Governor - REP,Absentee by Mail,47
"L.S. ""CASEY"" CAGLE  (REP)",Barrow,Governor - REP,Absentee by Mail,73
"L.S. ""CASEY"" CAGLE  (REP)",Bartow,Governor - REP,Absentee by Mail,78
"L.S. ""CASEY"" CAGLE  (REP)",Ben Hill,Governor - REP,Absentee by Mail,13
"L.S. ""CASEY"" CAGLE  (REP)",Berrien,Governor - REP,Absentee by Mail,38
"L.S. ""CASEY"" CAGLE  (REP)",Bibb,Governor - REP,Absentee by Mail,168
"L.S. ""CASEY"" CAGLE  (REP)",Bleckley,Governor - REP,Absentee by Mail,18
"L.S. ""CASEY"" CAGLE  (REP)",Brantley,Governor - REP,Absentee by Mail,12
"L.S. ""CASEY"" CAGLE  (REP)",Brooks,Governor - REP,Absentee by Mail,9
"L.S. ""CASEY"" CAGLE  (REP)",Bryan,Governor - REP,Absentee by Mail,8
"L.S. ""CASEY"" CAGLE  (REP)",Bulloch,Governor - REP,Absentee by Mail,62
"L.S. ""CASEY"" CAGLE  (REP)",Burke,Governor - REP,Absentee by Mail,23
"L.S. ""CASEY"" CAGLE  (REP)",Butts,Governor - REP,Absentee by Mail,26
"L.S. ""CASEY"" CAGLE  (REP)",Calhoun,Governor - REP,Absentee by Mail,2
"L.S. ""CASEY"" CAGLE  (REP)",Camden,Governor - REP,Absentee by Mail,92
"L.S. ""CASEY"" CAGLE  (REP)",Candler,Governor - REP,Absentee by Mail,2
"L.S. ""CASEY"" CAGLE  (REP)",Carroll,Governor - REP,Absentee by Mail,98
"L.S. ""CASEY"" CAGLE  (REP)",Catoosa,Governor - REP,Absentee by Mail,27
"L.S. ""CASEY"" CAGLE  (REP)",Charlton,Governor - REP,Absentee by Mail,3
"L.S. ""CASEY"" CAGLE  (REP)",Chatham,Governor - REP,Absentee by Mail,136
"L.S. ""CASEY"" CAGLE  (REP)",Chattahoochee,Governor - REP,Absentee by Mail,0
"L.S. ""CASEY"" CAGLE  (REP)",Chattooga,Governor - REP,Absentee by Mail,5
"L.S. ""CASEY"" CAGLE  (REP)",Cherokee,Governor - REP,Absentee by Mail,241
"L.S. ""CASEY"" CAGLE  (REP)",Clarke,Governor - REP,Absentee by Mail,80
"L.S. ""CASEY"" CAGLE  (REP)",Clay,Governor - REP,Absentee by Mail,3
"L.S. ""CASEY"" CAGLE  (REP)",Clayton,Governor - REP,Absentee by Mail,55
"L.S. ""CASEY"" CAGLE  (REP)",Clinch,Governor - REP,Absentee by Mail,0
"L.S. ""CASEY"" CAGLE  (REP)",Cobb,Governor - REP,Absentee by Mail,937
"L.S. ""CASEY"" CAGLE  (REP)",Coffee,Governor - REP,Absentee by Mail,6
"L.S. ""CASEY"" CAGLE  (REP)",Colquitt,Governor - REP,Absentee by Mail,19
"L.S. ""CASEY"" CAGLE  (REP)",Columbia,Governor - REP,Absentee by Mail,212
"L.S. ""CASEY"" CAGLE  (REP)",Cook,Governor - REP,Absentee by Mail,32
"L.S. ""CASEY"" CAGLE  (REP)",Coweta,Governor - REP,Absentee by Mail,183
"L.S. ""CASEY"" CAGLE  (REP)",Crawford,Governor - REP,Absentee by Mail,20
"L.S. ""CASEY"" CAGLE  (REP)",Crisp,Governor - REP,Absentee by Mail,38
"L.S. ""CASEY"" CAGLE  (REP)",Dade,Governor - REP,Absentee by Mail,0
"L.S. ""CASEY"" CAGLE  (REP)",Dawson,Governor - REP,Absentee by Mail,36
"L.S. ""CASEY"" CAGLE  (REP)",Decatur,Governor - REP,Absentee by Mail,22
"L.S. ""CASEY"" CAGLE  (REP)",DeKalb,Governor - REP,Absentee by Mail,345
"L.S. ""CASEY"" CAGLE  (REP)",Dodge,Governor - REP,Absentee by Mail,24
"L.S. ""CASEY"" CAGLE  (REP)",Dooly,Governor - REP,Absentee by Mail,6
"L.S. ""CASEY"" CAGLE  (REP)",Dougherty,Governor - REP,Absentee by Mail,46
"L.S. ""CASEY"" CAGLE  (REP)",Douglas,Governor - REP,Absentee by Mail,74
"L.S. ""CASEY"" CAGLE  (REP)",Early,Governor - REP,Absentee by Mail,19
"L.S. ""CASEY"" CAGLE  (REP)",Echols,Governor - REP,Absentee by Mail,2
"L.S. ""CASEY"" CAGLE  (REP)",Effingham,Governor - REP,Absentee by Mail,40
"L.S. ""CASEY"" CAGLE  (REP)",Elbert,Governor - REP,Absentee by Mail,34
"L.S. ""CASEY"" CAGLE  (REP)",Emanuel,Governor - REP,Absentee by Mail,23
"L.S. ""CASEY"" CAGLE  (REP)",Evans,Governor - REP,Absentee by Mail,18
"L.S. ""CASEY"" CAGLE  (REP)",Fannin,Governor - REP,Absentee by Mail,78
"L.S. ""CASEY"" CAGLE  (REP)",Fayette,Governor - REP,Absentee by Mail,63
"L.S. ""CASEY"" CAGLE  (REP)",Floyd,Governor - REP,Absentee by Mail,56
"L.S. ""CASEY"" CAGLE  (REP)",Forsyth,Governor - REP,Absentee by Mail,300
"L.S. ""CASEY"" CAGLE  (REP)",Franklin,Governor - REP,Absentee by Mail,62
"L.S. ""CASEY"" CAGLE  (REP)",Fulton,Governor - REP,Absentee by Mail,530
"L.S. ""CASEY"" CAGLE  (REP)",Gilmer,Governor - REP,Absentee by Mail,59
"L.S. ""CASEY"" CAGLE  (REP)",Glascock,Governor - REP,Absentee by Mail,5
"L.S. ""CASEY"" CAGLE  (REP)",Glynn,Governor - REP,Absentee by Mail,60
"L.S. ""CASEY"" CAGLE  (REP)",Gordon,Governor - REP,Absentee by Mail,50
"L.S. ""CASEY"" CAGLE  (REP)",Grady,Governor - REP,Absentee by Mail,26
"L.S. ""CASEY"" CAGLE  (REP)",Greene,Governor - REP,Absentee by Mail,23
"L.S. ""CASEY"" CAGLE  (REP)",Gwinnett,Governor - REP,Absentee by Mail,546
"L.S. ""CASEY"" CAGLE  (REP)",Habersham,Governor - REP,Absentee by Mail,177
"L.S. ""CASEY"" CAGLE  (REP)",Hall,Governor - REP,Absentee by Mail,329
"L.S. ""CASEY"" CAGLE  (REP)",Hancock,Governor - REP,Absentee by Mail,4
"L.S. ""CASEY"" CAGLE  (REP)",Haralson,Governor - REP,Absentee by Mail,19
"L.S. ""CASEY"" CAGLE  (REP)",Harris,Governor - REP,Absentee by Mail,53
"L.S. ""CASEY"" CAGLE  (REP)",Hart,Governor - REP,Absentee by Mail,18
"L.S. ""CASEY"" CAGLE  (REP)",Heard,Governor - REP,Absentee by Mail,68
"L.S. ""CASEY"" CAGLE  (REP)",Henry,Governor - REP,Absentee by Mail,151
"L.S. ""CASEY"" CAGLE  (REP)",Houston,Governor - REP,Absentee by Mail,94
"L.S. ""CASEY"" CAGLE  (REP)",Irwin,Governor - REP,Absentee by Mail,5
"L.S. ""CASEY"" CAGLE  (REP)",Jackson,Governor - REP,Absentee by Mail,67
"L.S. ""CASEY"" CAGLE  (REP)",Jasper,Governor - REP,Absentee by Mail,20
"L.S. ""CASEY"" CAGLE  (REP)",Jeff Davis,Governor - REP,Absentee by Mail,10
"L.S. ""CASEY"" CAGLE  (REP)",Jefferson,Governor - REP,Absentee by Mail,17
"L.S. ""CASEY"" CAGLE  (REP)",Jenkins,Governor - REP,Absentee by Mail,3
"L.S. ""CASEY"" CAGLE  (REP)",Johnson,Governor - REP,Absentee by Mail,14
"L.S. ""CASEY"" CAGLE  (REP)",Jones,Governor - REP,Absentee by Mail,147
"L.S. ""CASEY"" CAGLE  (REP)",Lamar,Governor - REP,Absentee by Mail,26
"L.S. ""CASEY"" CAGLE  (REP)",Lanier,Governor - REP,Absentee by Mail,14
"L.S. ""CASEY"" CAGLE  (REP)",Laurens,Governor - REP,Absentee by Mail,128
"L.S. ""CASEY"" CAGLE  (REP)",Lee,Governor - REP,Absentee by Mail,25
"L.S. ""CASEY"" CAGLE  (REP)",Liberty,Governor - REP,Absentee by Mail,13
"L.S. ""CASEY"" CAGLE  (REP)",Lincoln,Governor - REP,Absentee by Mail,19
"L.S. ""CASEY"" CAGLE  (REP)",Long,Governor - REP,Absentee by Mail,1
"L.S. ""CASEY"" CAGLE  (REP)",Lowndes,Governor - REP,Absentee by Mail,45
"L.S. ""CASEY"" CAGLE  (REP)",Lumpkin,Governor - REP,Absentee by Mail,63
"L.S. ""CASEY"" CAGLE  (REP)",Macon,Governor - REP,Absentee by Mail,5
"L.S. ""CASEY"" CAGLE  (REP)",Madison,Governor - REP,Absentee by Mail,30
"L.S. ""CASEY"" CAGLE  (REP)",Marion,Governor - REP,Absentee by Mail,2
"L.S. ""CASEY"" CAGLE  (REP)",McDuffie,Governor - REP,Absentee by Mail,120
"L.S. ""CASEY"" CAGLE  (REP)",McIntosh,Governor - REP,Absentee by Mail,25
"L.S. ""CASEY"" CAGLE  (REP)",Meriwether,Governor - REP,Absentee by Mail,14
"L.S. ""CASEY"" CAGLE  (REP)",Miller,Governor - REP,Absentee by Mail,7
"L.S. ""CASEY"" CAGLE  (REP)",Mitchell,Governor - REP,Absentee by Mail,20
"L.S. ""CASEY"" CAGLE  (REP)",Monroe,Governor - REP,Absentee by Mail,49
"L.S. ""CASEY"" CAGLE  (REP)",Montgomery,Governor - REP,Absentee by Mail,24
"L.S. ""CASEY"" CAGLE  (REP)",Morgan,Governor - REP,Absentee by Mail,13
"L.S. ""CASEY"" CAGLE  (REP)",Murray,Governor - REP,Absentee by Mail,4
"L.S. ""CASEY"" CAGLE  (REP)",Muscogee,Governor - REP,Absentee by Mail,238
"L.S. ""CASEY"" CAGLE  (REP)",Newton,Governor - REP,Absentee by Mail,44
"L.S. ""CASEY"" CAGLE  (REP)",Oconee,Governor - REP,Absentee by Mail,27
"L.S. ""CASEY"" CAGLE  (REP)",Oglethorpe,Governor - REP,Absentee by Mail,46
"L.S. ""CASEY"" CAGLE  (REP)",Paulding,Governor - REP,Absentee by Mail,243
"L.S. ""CASEY"" CAGLE  (REP)",Peach,Governor - REP,Absentee by Mail,18
"L.S. ""CASEY"" CAGLE  (REP)",Pickens,Governor - REP,Absentee by Mail,11
"L.S. ""CASEY"" CAGLE  (REP)",Pierce,Governor - REP,Absentee by Mail,34
"L.S. ""CASEY"" CAGLE  (REP)",Pike,Governor - REP,Absentee by Mail,50
"L.S. ""CASEY"" CAGLE  (REP)",Polk,Governor - REP,Absentee by Mail,32
"L.S. ""CASEY"" CAGLE  (REP)",Pulaski,Governor - REP,Absentee by Mail,10
"L.S. ""CASEY"" CAGLE  (REP)",Putnam,Governor - REP,Absentee by Mail,27
"L.S. ""CASEY"" CAGLE  (REP)",Quitman,Governor - REP,Absentee by Mail,1
"L.S. ""CASEY"" CAGLE  (REP)",Rabun,Governor - REP,Absentee by Mail,182
"L.S. ""CASEY"" CAGLE  (REP)",Randolph,Governor - REP,Absentee by Mail,9
"L.S. ""CASEY"" CAGLE  (REP)",Richmond,Governor - REP,Absentee by Mail,172
"L.S. ""CASEY"" CAGLE  (REP)",Rockdale,Governor - REP,Absentee by Mail,50
"L.S. ""CASEY"" CAGLE  (REP)",Schley,Governor - REP,Absentee by Mail,4
"L.S. ""CASEY"" CAGLE  (REP)",Screven,Governor - REP,Absentee by Mail,8
"L.S. ""CASEY"" CAGLE  (REP)",Seminole,Governor - REP,Absentee by Mail,10
"L.S. ""CASEY"" CAGLE  (REP)",Spalding,Governor - REP,Absentee by Mail,61
"L.S. ""CASEY"" CAGLE  (REP)",Stephens,Governor - REP,Absentee by Mail,96
"L.S. ""CASEY"" CAGLE  (REP)",Stewart,Governor - REP,Absentee by Mail,2
"L.S. ""CASEY"" CAGLE  (REP)",Sumter,Governor - REP,Absentee by Mail,21
"L.S. ""CASEY"" CAGLE  (REP)",Talbot,Governor - REP,Absentee by Mail,2
"L.S. ""CASEY"" CAGLE  (REP)",Taliaferro,Governor - REP,Absentee by Mail,3
"L.S. ""CASEY"" CAGLE  (REP)",Tattnall,Governor - REP,Absentee by Mail,39
"L.S. ""CASEY"" CAGLE  (REP)",Taylor,Governor - REP,Absentee by Mail,8
"L.S. ""CASEY"" CAGLE  (REP)",Telfair,Governor - REP,Absentee by Mail,9
"L.S. ""CASEY"" CAGLE  (REP)",Terrell,Governor - REP,Absentee by Mail,27
"L.S. ""CASEY"" CAGLE  (REP)",Thomas,Governor - REP,Absentee by Mail,30
"L.S. ""CASEY"" CAGLE  (REP)",Tift,Governor - REP,Absentee by Mail,23
"L.S. ""CASEY"" CAGLE  (REP)",Toombs,Governor - REP,Absentee by Mail,28
"L.S. ""CASEY"" CAGLE  (REP)",Towns,Governor - REP,Absentee by Mail,19
"L.S. ""CASEY"" CAGLE  (REP)",Treutlen,Governor - REP,Absentee by Mail,7
"L.S. ""CASEY"" CAGLE  (REP)",Troup,Governor - REP,Absentee by Mail,98
"L.S. ""CASEY"" CAGLE  (REP)",Turner,Governor - REP,Absentee by Mail,1
"L.S. ""CASEY"" CAGLE  (REP)",Twiggs,Governor - REP,Absentee by Mail,10
"L.S. ""CASEY"" CAGLE  (REP)",Union,Governor - REP,Absentee by Mail,34
"L.S. ""CASEY"" CAGLE  (REP)",Upson,Governor - REP,Absentee by Mail,27
"L.S. ""CASEY"" CAGLE  (REP)",Walker,Governor - REP,Absentee by Mail,62
"L.S. ""CASEY"" CAGLE  (REP)",Walton,Governor - REP,Absentee by Mail,91
"L.S. ""CASEY"" CAGLE  (REP)",Ware,Governor - REP,Absentee by Mail,43
"L.S. ""CASEY"" CAGLE  (REP)",Warren,Governor - REP,Absentee by Mail,10
"L.S. ""CASEY"" CAGLE  (REP)",Washington,Governor - REP,Absentee by Mail,16
"L.S. ""CASEY"" CAGLE  (REP)",Wayne,Governor - REP,Absentee by Mail,57
